Player,UID,FB,WB,IWB,CWB,NNFB
Andrés Céspedes,2000043877.0,9.3,6.95,8.45,7.23,9.15
José Curras,67294881.0,13.4,11.85,12.85,11.81,13.0
Arnau Comas,67258409.0,12.55,11.0,12.5,11.15,12.95
Samir Kacem,2000433838.0,13.85,11.5,13.15,11.77,14.15
Javi López,67293674.0,13.3,13.3,13.15,13.19,12.25
Borja Sainz,67277845.0,11.1,12.05,11.1,12.46,10.15
Adil Aouchiche,49048441.0,10.1,10.6,10.15,11.42,9.1
Xabier Garmendia,2000631378.0,12.6,12.15,12.5,12.73,11.3
Ander Imaz,2000439533.0,10.0,11.45,9.35,11.73,8.0
Rafa Mir,67221051.0,11.15,11.0,10.5,11.08,10.75
Alexander Sørloth,53063430.0,10.55,9.8,10.2,10.31,10.55
Arnar Bragason,2000357424.0,13.3,12.05,13.25,11.73,14.7
Carlos Abad,67198215.0,9.15,6.6,9.7,7.62,9.75
Lirim Kastrati,24058534.0,10.45,11.65,8.85,11.12,9.55
Joseph Ngwem,2000202611.0,10.0,10.35,9.35,10.62,9.25
Asier Rodríguez,2000572954.0,10.0,11.05,9.15,11.42,8.5
David Martínez,14136117.0,13.3,11.95,13.65,12.31,13.15
Luca Sangalli,67190076.0,11.95,11.5,12.2,11.81,12.75
Birger Meling,29126536.0,12.45,11.7,12.1,11.85,12.35
Ibrahim Sangaré,48042717.0,12.9,12.3,13.2,12.38,13.45
Vyacheslav Karavaev,58076747.0,13.05,12.8,12.9,12.88,13.0
Schurrle,83223653.0,12.35,12.25,12.55,12.35,11.15
Suleimane Rodrigues,2000190096.0,11.4,11.4,12.5,12.0,11.55
Stefan Ranđelović,62247042.0,10.6,7.5,10.25,8.04,9.95
Rubén Garrido,2000515088.0,11.3,10.75,11.75,11.35,10.15
0,2000068663.0,11.55,11.05,10.4,11.35,9.7
