Player,UID,AF,CF,DLF,F9,P,PF,TM
Andrés Céspedes,2000043877.0,9.0,7.15,9.45,7.8,9.0,9.65,8.15
José Curras,67294881.0,11.65,10.5,11.5,11.4,11.65,11.8,10.8
Arnau Comas,67258409.0,11.0,11.35,12.0,10.65,11.0,11.5,11.8
Samir Kacem,2000433838.0,11.1,11.3,12.2,11.2,11.1,12.2,11.65
Javi López,67293674.0,12.95,11.85,13.0,12.7,12.95,11.65,12.25
Borja Sainz,67277845.0,12.7,11.75,12.3,12.9,12.7,11.75,11.4
Adil Aouchiche,49048441.0,13.75,12.2,13.65,13.4,13.75,11.7,12.5
Xabier Garmendia,2000631378.0,15.7,14.6,14.8,14.55,15.7,14.9,15.35
Ander Imaz,2000439533.0,13.15,10.9,11.0,12.0,13.15,11.7,10.0
Rafa Mir,67221051.0,13.55,12.7,12.4,11.7,13.55,12.7,12.8
Alexander Sørloth,53063430.0,13.65,13.0,13.1,12.4,13.65,13.0,13.5
Arnar Bragason,2000357424.0,12.15,11.0,12.2,11.15,12.15,12.2,11.1
Carlos Abad,67198215.0,7.8,8.8,10.45,8.55,7.8,9.15,8.55
Lirim Kastrati,24058534.0,13.6,10.7,10.3,10.6,13.6,13.4,10.0
Joseph Ngwem,2000202611.0,14.2,12.05,12.65,12.7,14.2,13.45,13.15
Asier Rodríguez,2000572954.0,11.8,9.9,10.45,11.8,11.8,10.6,8.95
David Martínez,14136117.0,12.0,11.95,13.15,12.3,12.0,11.85,11.9
Luca Sangalli,67190076.0,11.05,11.65,12.1,11.85,11.05,12.2,10.65
Birger Meling,29126536.0,10.7,10.65,11.1,11.25,10.7,11.6,10.3
Ibrahim Sangaré,48042717.0,11.55,12.05,12.9,12.0,11.55,11.75,12.45
Vyacheslav Karavaev,58076747.0,11.8,11.75,12.35,12.3,11.8,12.35,11.8
Schurrle,83223653.0,12.85,12.7,13.25,13.2,12.85,12.3,11.55
Suleimane Rodrigues,2000190096.0,11.65,12.45,12.8,12.3,11.65,11.65,11.75
Stefan Ranđelović,62247042.0,8.8,9.4,10.9,8.95,8.8,10.45,9.4
Rubén Garrido,2000515088.0,12.6,12.2,13.75,13.2,12.6,12.05,12.55
0,2000068663.0,11.8,12.55,11.1,11.15,11.8,12.35,12.45
