Player,UID,DM,AM,BWM,HB,SV,RGA
Andrés Céspedes,2000043877.0,8.9,8.45,8.45,10.0,8.4,8.6
José Curras,67294881.0,13.35,12.95,12.95,12.85,12.6,12.5
Arnau Comas,67258409.0,12.45,12.3,12.3,12.75,12.35,10.95
Samir Kacem,2000433838.0,13.75,13.6,13.6,14.1,13.1,11.35
Javi López,67293674.0,13.05,13.0,13.0,12.05,13.3,13.1
Borja Sainz,67277845.0,10.15,10.1,10.1,10.35,11.25,12.25
Adil Aouchiche,49048441.0,9.4,9.65,9.65,9.8,10.5,12.5
Xabier Garmendia,2000631378.0,12.5,12.4,12.4,11.95,12.35,14.4
Ander Imaz,2000439533.0,8.95,8.75,8.75,8.35,9.3,10.9
Rafa Mir,67221051.0,11.0,10.6,10.6,10.9,10.75,12.1
Alexander Sørloth,53063430.0,10.7,10.7,10.7,11.3,10.35,12.0
Arnar Bragason,2000357424.0,13.65,12.85,12.85,13.95,13.5,11.3
Carlos Abad,67198215.0,10.0,9.6,9.6,10.6,9.55,10.05
Lirim Kastrati,24058534.0,8.65,8.65,8.65,9.9,8.65,9.7
Joseph Ngwem,2000202611.0,9.5,9.95,9.95,10.6,9.6,10.25
Asier Rodríguez,2000572954.0,8.85,8.85,8.85,8.9,8.95,10.9
David Martínez,14136117.0,13.2,13.15,13.15,13.0,13.7,12.7
Luca Sangalli,67190076.0,12.3,12.7,12.7,13.15,12.2,11.95
Birger Meling,29126536.0,12.15,12.5,12.5,12.75,12.55,11.25
Ibrahim Sangaré,48042717.0,13.6,13.4,13.4,13.2,13.35,12.6
Vyacheslav Karavaev,58076747.0,12.75,12.9,12.9,13.05,13.25,12.25
Schurrle,83223653.0,12.45,12.4,12.4,11.35,12.15,13.7
Suleimane Rodrigues,2000190096.0,11.6,11.2,11.2,11.2,12.35,12.0
Stefan Ranđelović,62247042.0,10.7,11.35,11.35,11.5,10.0,9.75
Rubén Garrido,2000515088.0,11.6,11.75,11.75,11.35,11.65,12.4
0,2000068663.0,11.0,11.45,11.45,10.4,10.45,12.05
