Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Andrés Céspedes,2000043877.0,5.0,11.12,14.5,8.0,4.83,4.67,7.75,12.42
José Curras,67294881.0,13.0,13.0,13.5,10.67,8.17,11.0,10.5,14.08
Arnau Comas,67258409.0,13.33,13.25,14.0,11.0,8.5,9.5,14.5,12.75
Samir Kacem,2000433838.0,13.33,13.88,14.0,8.83,6.5,10.33,12.0,14.5
Javi López,67293674.0,14.0,13.88,14.75,13.17,11.0,13.17,13.0,11.5
Borja Sainz,67277845.0,10.17,11.38,14.0,13.33,12.83,13.33,9.5,11.33
Adil Aouchiche,49048441.0,6.33,12.75,14.25,14.33,14.0,14.33,11.0,11.75
Xabier Garmendia,2000631378.0,7.5,15.62,14.5,13.17,15.5,15.33,14.0,14.17
Ander Imaz,2000439533.0,4.33,13.5,16.0,12.0,9.83,14.0,6.0,9.75
Rafa Mir,67221051.0,7.17,14.5,14.0,11.0,13.17,11.67,15.0,11.25
Alexander Sørloth,53063430.0,4.83,13.75,12.5,11.67,14.17,13.0,14.5,13.42
Arnar Bragason,2000357424.0,14.33,14.62,12.5,8.5,9.33,9.83,11.0,13.08
Carlos Abad,67198215.0,5.83,10.62,9.0,10.5,5.83,6.17,8.0,11.92
Lirim Kastrati,24058534.0,4.5,13.0,18.0,9.33,12.0,10.67,7.0,10.33
Joseph Ngwem,2000202611.0,4.0,14.38,14.0,10.83,12.83,12.67,11.25,11.58
Asier Rodríguez,2000572954.0,6.0,11.25,15.0,11.33,8.67,15.33,7.0,11.08
David Martínez,14136117.0,14.0,12.88,13.5,12.5,9.5,12.0,12.0,12.75
Luca Sangalli,67190076.0,11.5,11.88,9.0,12.33,12.0,11.83,4.0,13.08
Birger Meling,29126536.0,12.0,10.5,11.0,9.67,9.83,10.5,7.0,13.58
Ibrahim Sangaré,48042717.0,13.67,14.5,11.0,12.33,9.83,11.5,14.25,12.17
Vyacheslav Karavaev,58076747.0,13.83,11.38,13.0,12.17,11.5,11.67,10.0,13.25
Schurrle,83223653.0,10.17,12.62,13.0,15.33,12.33,13.0,8.0,12.5
Suleimane Rodrigues,2000190096.0,10.33,13.0,11.5,13.33,10.83,11.5,10.25,10.17
Stefan Ranđelović,62247042.0,5.67,10.88,11.5,10.0,6.17,7.0,8.0,13.83
Rubén Garrido,2000515088.0,7.33,14.12,11.5,13.0,11.83,11.67,10.0,13.08
0,2000068663.0,9.0,8.5,14.0,10.5,13.0,14.67,14.5,12.58
