Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Hans Garli,2000621604,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Marat Shadrin,2000232973,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Marash Kumbulla,43296495,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Glaysson,2000607603,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Luis González,2000561873,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Mathias Jovanović,2000507455,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessio Giustini,2000506990,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Giuseppe Assogna,2000506989,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zahari Tanev,2000503649,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Djérson,2000485898,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Domiziano Cosimi,2000434782,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Emanuele Tassinari,2000434778,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Markos Bouroutzikas,2000232927,0,1,0,1,0,1,0,0,0,1,0,0,1,0
Arne Maier,91151073,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Ulises Xavier Pérez Lazarte,2000541711,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Leonardo Gazzola,2000506995,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Dante Sottoriva,2000504182,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Branko Kovačec-Buinac,2000436681,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Mykola Matvienko,71075952,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Fabio Depaoli,43161628,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Andrea Belotti,43066936,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mario Pasalic,24021244,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Bruno Amione,14216968,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Petr Zich,2000436245,0,0,0,0,0,0,0,0,0,1,0,0,1,0
João Ramos,2000506993,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Marijo Lizatović,2000439945,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Giammarco Solimina,2000506991,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Michael Woud,28106413,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederico Plisca,2000537059,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Massimo D'Andrea,2000566966,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Christian Pulisic,92074020,0,0,0,0,0,0,0,1,0,1,1,1,1,0
Demba Thiam,43304017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emil Audero,43152255,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Raimondi,2000434779,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gonzalo Villar,67219031,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ibañez,19337893,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marcelo Biedrzicki,2000566970,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Rafael Brito,83243058,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Amine Gouiri,48044735,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Matteo Cardinali,43372028,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Pellegrini,43094100,0,0,0,0,0,1,0,0,1,0,0,1,1,0
