Player,UID,Position
Hans Garli,2000621604,"DM, M (LC), AM (C)"
Marat Shadrin,2000232973,M/AM (R)
Marash Kumbulla,43296495,D (C)
Glaysson,2000607603,M/AM (LC)
Luis González,2000561873,D/WB/AM (L)
Mathias Jovanović,2000507455,GK
Alessio Giustini,2000506990,"AM (RL), ST (C)"
Giuseppe Assogna,2000506989,GK
Zahari Tanev,2000503649,"M/AM (C), ST (C)"
Djérson,2000485898,M/AM (C)
Domiziano Cosimi,2000434782,"D (LC), WB (L)"
Emanuele Tassinari,2000434778,D/WB/AM (R)
Markos Bouroutzikas,2000232927,"D (RL), DM, M/AM (L)"
Arne Maier,91151073,"DM, M/AM (C)"
Ulises Xavier Pérez Lazarte,2000541711,"AM (RLC), ST (C)"
Leonardo Gazzola,2000506995,"D (C), DM, M (C)"
Dante Sottoriva,2000504182,"M (L), AM (LC), ST (C)"
Branko Kovačec-Buinac,2000436681,M/AM (R)
Mykola Matvienko,71075952,"D (LC), WB (L)"
Fabio Depaoli,43161628,D/WB/M (R)
Andrea Belotti,43066936,ST (C)
Mario Pasalic,24021244,"DM, M/AM (C)"
Bruno Amione,14216968,D (LC)
Petr Zich,2000436245,M/AM (L)
João Ramos,2000506993,"D (RC), DM"
Marijo Lizatović,2000439945,"DM, M (C)"
Giammarco Solimina,2000506991,"D (C), DM, M (RC)"
Michael Woud,28106413,GK
Frederico Plisca,2000537059,"AM (LC), ST (C)"
Massimo D'Andrea,2000566966,M/AM (RC)
Christian Pulisic,92074020,"M (RL), AM (RLC)"
Demba Thiam,43304017,GK
Emil Audero,43152255,GK
Angelo Raimondi,2000434779,D (LC)
Gonzalo Villar,67219031,"DM, M (C)"
Ibañez,19337893,D (C)
Marcelo Biedrzicki,2000566970,M/AM (C)
Rafael Brito,83243058,"D (RC), DM, M (C)"
Amine Gouiri,48044735,"M/AM (L), ST (C)"
Matteo Cardinali,43372028,GK
Lorenzo Pellegrini,43094100,"DM, M (C), AM (LC)"
