Player,UID,FB,WB,IWB,CWB,NNFB
Hans Garli,2000621604.0,11.5,11.2,12.2,12.0,11.9
Marat Shadrin,2000232973.0,12.4,12.7,12.2,13.08,11.7
Marash Kumbulla,43296495.0,15.2,12.7,14.8,12.46,15.4
Glaysson,2000607603.0,7.2,8.75,7.1,10.19,6.55
Luis González,2000561873.0,12.5,13.45,12.1,13.73,12.15
Mathias Jovanović,2000507455.0,8.7,6.4,9.25,7.12,7.4
Alessio Giustini,2000506990.0,11.0,11.35,9.9,11.35,10.05
Giuseppe Assogna,2000506989.0,4.25,2.95,3.5,3.42,5.55
Zahari Tanev,2000503649.0,14.65,13.1,12.6,12.62,13.05
Djérson,2000485898.0,8.85,9.0,10.3,10.58,9.1
Domiziano Cosimi,2000434782.0,14.8,12.8,13.3,12.54,13.0
Emanuele Tassinari,2000434778.0,13.05,12.75,11.75,12.31,11.25
Markos Bouroutzikas,2000232927.0,11.75,9.9,10.8,10.35,12.1
Arne Maier,91151073.0,12.6,12.0,13.1,12.69,11.8
Ulises Xavier Pérez Lazarte,2000541711.0,12.1,13.4,12.1,13.85,11.1
Leonardo Gazzola,2000506995.0,13.8,11.7,13.1,12.15,13.6
Dante Sottoriva,2000504182.0,12.6,12.8,12.9,13.38,11.5
Branko Kovačec-Buinac,2000436681.0,10.0,10.85,9.45,11.65,8.5
Mykola Matvienko,71075952.0,13.65,13.4,13.45,13.31,13.15
Fabio Depaoli,43161628.0,13.35,13.0,13.0,12.96,12.6
Andrea Belotti,43066936.0,11.55,10.05,11.65,10.73,12.05
Mario Pasalic,24021244.0,11.4,11.25,12.2,11.96,11.45
Bruno Amione,14216968.0,13.55,12.2,13.2,12.15,14.05
Petr Zich,2000436245.0,10.4,10.6,9.3,11.23,8.45
João Ramos,2000506993.0,14.6,12.35,13.2,11.96,14.25
Marijo Lizatović,2000439945.0,12.3,11.15,13.2,12.08,12.85
Giammarco Solimina,2000506991.0,11.45,10.7,12.95,11.62,12.05
Michael Woud,28106413.0,10.1,6.8,9.1,6.81,9.8
Frederico Plisca,2000537059.0,10.8,11.4,11.1,12.38,9.5
Massimo D'Andrea,2000566966.0,11.75,11.9,11.2,12.46,10.4
Christian Pulisic,92074020.0,12.4,12.8,12.2,13.08,11.0
Demba Thiam,43304017.0,7.85,5.9,7.55,6.31,8.75
Emil Audero,43152255.0,10.85,7.35,10.1,7.46,11.05
Angelo Raimondi,2000434779.0,13.9,12.4,13.3,12.23,13.4
Gonzalo Villar,67219031.0,13.75,12.85,14.75,13.81,13.1
Ibañez,19337893.0,15.0,13.5,14.6,13.38,15.0
Marcelo Biedrzicki,2000566970.0,11.8,11.9,12.5,12.92,11.1
Rafael Brito,83243058.0,13.55,12.35,13.35,12.5,12.55
Amine Gouiri,48044735.0,11.0,11.5,11.0,12.15,10.5
Matteo Cardinali,43372028.0,9.0,5.7,7.8,5.73,8.7
Lorenzo Pellegrini,43094100.0,12.65,12.75,13.65,13.5,12.35
