Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Nicolas Balestracci,2000507375.0,10.0,11.0,12.0,7.67,3.0,8.0,8.0,12.0,arezzo
Diferdio Misidjan,37084985.0,10.33,12.25,14.25,10.17,9.5,10.33,7.0,10.75,arezzo
Giuseppe Rossetti,2000511011.0,12.0,12.75,10.75,7.67,6.33,7.5,12.5,12.5,arezzo
Carlo Schettino,2000567623.0,9.67,14.75,14.0,7.83,8.5,11.5,8.5,13.42,arezzo
Raoul Petretta,98041022.0,12.67,11.38,12.0,9.33,9.5,11.17,8.0,12.17,arezzo
Emil Andri Valdimarsson,2000355768.0,12.0,16.38,17.5,15.83,11.17,16.0,9.5,15.75,atalanta
Jacopo Lombardini,2000626005.0,15.0,14.25,14.0,8.33,9.0,9.67,13.5,12.33,atalanta
Gianni Rizzo,2000323580.0,14.0,12.62,15.25,9.33,7.5,10.0,16.5,12.42,atalanta
Pervis Estupiñán,86045976.0,12.67,15.0,15.0,11.0,12.0,13.0,9.5,12.67,atalanta
Tommaso Risaliti,2000198565.0,12.67,10.88,14.0,9.83,6.83,10.0,11.5,9.92,benevento
Amir Rrahmani,11023165.0,14.67,6.62,5.25,7.0,7.17,7.67,14.0,13.92,benevento
Enrico Del Prato,43252473.0,13.0,12.5,13.5,12.67,11.0,11.67,11.5,13.33,benevento
Lennart Czyborra,91166521.0,12.0,13.75,13.75,11.5,10.17,13.0,11.0,13.42,benevento
Jonathan Augustinsson,93051231.0,14.0,12.75,12.0,10.17,9.17,11.5,12.0,13.58,benevento
Giovanni Mosca,2000567186.0,12.17,13.5,11.0,9.0,6.33,7.83,10.5,11.25,bologna
Danilo Brizi,2000567640.0,9.67,13.62,14.75,9.5,10.17,12.67,8.0,11.0,bologna
Jacopo Besana,2000660239.0,11.5,13.12,12.5,9.5,8.5,11.5,10.5,12.67,bologna
Pablo García,67288495.0,12.0,13.5,14.0,11.5,11.17,12.67,7.0,12.25,bologna
Alessandro Buongiorno,43270682.0,13.67,13.75,11.75,9.83,8.5,11.0,15.0,13.42,bologna
Ibrahima Thiam,2000325354.0,11.33,12.62,12.25,8.67,8.5,9.33,12.0,12.25,fiorentina
Alfonso Pedraza,67212046.0,12.33,12.75,13.25,11.83,12.83,12.67,11.5,13.92,fiorentina
