Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Alessandro Ottaviano,2000512150.0,14.0,8.67,9.0,10.0,10.5,9.33,8.33,8.5,10.0,10.5,10.0,11.5,9.0,9.33,11.0,8.67,9.0,9.5,11.0,7.0,12.0,arezzo
Fabiano De Nadai,2000573667.0,12.0,11.17,8.5,9.0,12.0,10.67,9.5,10.0,9.0,12.0,9.75,11.25,10.6,8.67,11.0,10.83,11.5,11.0,14.5,6.17,9.5,arezzo
Aniello Zampella,2000199610.0,15.0,11.17,14.0,9.75,11.75,11.33,9.17,9.75,9.75,9.0,10.25,10.62,11.0,7.33,11.62,10.67,9.5,10.0,14.75,9.67,5.0,arezzo
Giordano Rossi,2000021846.0,8.0,10.83,6.5,6.5,14.75,10.33,11.33,10.75,6.5,11.5,6.5,12.12,10.8,7.0,14.12,10.33,9.5,15.25,10.5,10.5,8.0,arezzo
Manolo Portanova,43297054.0,14.0,13.0,9.0,10.0,10.5,10.83,9.67,12.25,10.0,10.0,9.5,11.0,11.9,9.17,11.62,12.17,12.0,10.0,11.75,9.33,12.5,arezzo
Adam Maher,37012969.0,7.0,13.33,6.0,11.25,14.5,12.17,14.33,10.75,11.25,13.0,11.75,12.25,12.5,8.67,7.88,11.83,12.0,15.25,7.25,11.5,8.5,arezzo
Samuele Bonaldo,2000325145.0,13.0,9.17,6.0,8.5,12.0,12.0,12.33,11.0,8.5,14.25,10.0,10.0,10.8,8.5,14.75,10.5,12.5,14.0,12.25,10.0,5.0,arezzo
Emiliano Sacco,2000324227.0,9.0,11.67,7.0,9.25,12.5,11.5,12.5,9.75,9.25,12.5,11.25,10.25,11.3,7.67,15.38,10.83,9.0,13.0,12.75,10.67,7.5,arezzo
Näis Djouahra,49037903.0,6.0,9.33,6.0,12.5,12.0,11.67,12.83,10.5,12.5,13.0,9.75,11.5,10.8,10.83,13.25,10.0,10.0,12.5,12.0,10.0,5.5,arezzo
Elidon Gega,2000189330.0,6.0,12.17,8.0,15.0,14.25,13.0,12.5,12.75,15.0,11.0,12.25,12.25,12.8,12.33,15.0,12.33,9.5,14.25,14.75,11.67,8.0,atalanta
Marten Ortmann,2000503144.0,5.0,15.67,8.0,11.0,16.0,12.67,12.33,14.5,11.0,15.5,12.0,12.0,14.2,9.67,14.25,14.33,15.0,13.5,11.0,13.0,7.0,atalanta
Alessandro Granelli,2000435799.0,11.0,12.67,9.0,11.0,15.25,14.0,13.17,15.5,11.0,13.75,9.75,11.5,14.0,9.83,13.0,13.67,13.0,16.0,12.0,13.0,7.5,atalanta
Fabio De Santis,2000434022.0,7.0,14.67,6.0,6.5,15.0,13.5,12.0,13.75,6.5,13.5,8.5,8.75,14.1,6.83,13.12,13.83,13.0,14.5,14.25,11.83,8.5,atalanta
Mario Miola,2000273723.0,8.0,8.83,4.0,11.0,12.5,13.33,11.0,11.0,11.0,13.75,12.0,11.5,11.4,9.5,15.0,10.5,14.5,13.0,15.25,12.5,9.0,atalanta
