Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Marco Cuneo,2000572664.0,7.5,5.67,7.5,4.25,11.5,4.67,10.5,7.0,4.25,11.25,5.5,10.75,6.2,2.83,12.12,4.67,7.0,10.5,8.0,7.17,0.0,arezzo
Francesco Sibilia,2000512153.0,6.0,8.83,8.0,8.5,11.0,9.67,10.5,7.75,8.5,12.5,8.25,11.88,9.0,6.67,13.0,8.67,9.5,11.25,11.5,8.17,5.0,arezzo
Aniello Zampella,2000199610.0,15.0,11.17,14.0,9.75,11.75,11.33,9.17,9.75,9.75,9.0,10.25,10.62,11.0,7.33,11.62,10.67,9.5,10.0,14.75,9.67,5.0,arezzo
Diego Zuppel,43426148.0,16.0,10.17,13.0,12.0,10.0,9.67,9.67,12.25,12.0,9.25,11.75,12.38,10.0,9.33,12.25,11.33,11.5,10.5,13.75,10.67,9.0,arezzo
Dario Manicone,2000323773.0,16.0,9.5,9.0,9.0,12.5,11.33,10.0,8.0,9.0,11.25,11.0,9.5,10.2,7.83,15.5,9.17,13.5,10.0,14.25,10.67,6.0,arezzo
Yari Diamanti,2000572662.0,13.0,12.67,8.0,8.5,11.0,13.33,12.0,12.0,8.5,10.5,11.0,13.25,13.0,8.0,13.25,12.33,13.0,11.5,12.0,10.0,6.0,arezzo
Ruben Bank,2000711214.0,15.0,10.33,6.0,9.0,11.5,10.33,13.67,9.5,9.0,13.0,11.0,10.5,10.2,7.33,15.5,10.0,10.0,13.0,12.5,9.67,4.0,arezzo
Giacomo Cobianchi,2000434023.0,9.0,13.17,13.0,13.5,17.75,13.33,14.5,13.25,13.5,16.0,13.75,12.62,13.4,10.67,13.5,13.0,15.5,16.75,16.75,14.83,4.0,atalanta
Giorgio Addessi,2000434016.0,13.0,12.17,14.0,13.0,14.75,14.0,11.5,12.25,13.0,14.5,11.75,13.88,12.8,9.67,13.5,13.0,12.5,13.25,13.75,14.83,4.0,atalanta
Yannick Ako,2000186992.0,5.0,9.67,12.0,9.5,13.5,12.67,14.0,10.0,9.5,14.5,8.75,10.25,11.2,7.5,14.0,10.33,12.0,13.5,12.5,11.0,4.0,atalanta
Oscar Barreto,2000541646.0,15.0,14.0,13.0,10.5,16.0,13.0,13.33,13.0,10.5,16.5,11.5,11.5,13.6,9.67,17.25,13.0,14.0,15.5,15.0,13.33,6.0,atalanta
Kasper Dolberg,27102380.0,13.0,11.83,12.0,11.5,14.0,12.33,12.33,11.25,11.5,12.75,12.75,11.12,12.2,8.33,13.0,11.33,13.5,13.5,11.75,14.33,3.0,atalanta
Moussa Dembélé,85104422.0,14.0,12.33,15.0,12.0,15.0,13.33,12.67,12.5,12.0,14.5,14.0,13.0,12.6,9.0,15.5,13.0,17.0,14.5,16.0,14.67,3.0,atalanta
Wiliam Ávalos,2000564454.0,5.0,13.0,12.0,12.5,15.5,13.67,12.33,13.0,12.5,15.5,14.0,12.5,13.2,11.67,16.0,13.33,15.0,13.5,11.5,12.33,4.0,atalanta
Ding Lei,2000566986.0,8.0,13.67,8.0,7.5,12.5,12.0,9.67,16.5,7.5,11.0,9.5,12.75,13.4,6.0,11.0,14.33,10.0,12.0,10.0,8.33,6.0,benevento
Francesco Boron,2000510618.0,11.0,7.5,8.0,8.75,15.5,10.17,13.0,12.0,8.75,15.25,7.5,9.75,9.5,6.83,11.75,9.83,7.5,15.0,11.25,10.5,2.0,benevento
Matteo Canini,2000437226.0,13.0,9.5,12.0,11.25,14.25,12.0,9.5,9.75,11.25,14.0,10.75,11.62,10.8,8.83,14.88,10.0,13.5,11.0,11.0,12.0,5.0,benevento
Cristian Ferrari,2000570040.0,9.0,11.67,7.0,9.5,14.75,13.67,12.17,14.5,9.5,14.25,10.5,12.75,13.4,8.33,13.25,12.67,12.0,15.25,10.5,13.0,3.0,benevento
Giacomo Raspadori,43316850.0,7.0,13.83,10.0,10.5,14.0,13.67,13.0,13.25,10.5,12.75,12.75,13.62,13.6,8.0,14.75,13.67,13.5,14.0,13.75,12.67,4.0,benevento
Amath N'Diaye,67213756.0,8.0,10.5,6.0,8.0,13.0,10.33,11.33,8.25,8.0,11.25,8.75,11.88,10.4,6.33,13.0,9.0,12.5,11.0,10.25,11.67,3.0,benevento
Cristian Pavón,14083972.0,6.0,9.5,5.0,9.0,11.5,9.33,12.33,10.0,9.0,11.75,11.5,12.5,9.6,8.5,13.25,9.5,12.5,12.0,10.25,11.33,4.0,benevento
Connor Barron,2000483573.0,8.0,12.17,7.0,6.0,15.25,13.0,10.17,11.5,6.0,14.5,7.5,9.5,12.6,5.33,16.12,11.83,13.5,12.0,12.0,10.33,4.5,bologna
Jonathan David,18108540.0,8.0,13.33,7.0,9.25,13.5,13.33,12.0,12.5,9.25,12.5,12.5,12.0,13.0,8.67,14.5,13.33,13.0,13.0,12.5,12.67,5.0,bologna
Emir Lilaj,2000434777.0,10.5,7.67,7.0,8.0,12.75,10.0,12.83,11.0,8.0,12.25,8.25,12.5,9.4,6.83,12.0,9.33,8.0,13.0,12.0,11.0,3.5,bologna
Giovanni Fabiani,2000327318.0,15.0,13.67,11.0,9.0,14.5,14.5,10.67,12.75,9.0,13.5,10.0,8.5,13.9,7.5,12.38,13.5,16.0,13.0,12.25,12.33,5.5,bologna
Giorgio Matera,2000323826.0,16.0,7.83,11.0,12.0,11.5,10.0,11.0,8.25,12.0,9.25,11.25,8.38,8.4,9.0,11.0,9.33,11.5,12.0,11.25,11.33,3.0,bologna
Jesús María Sola,2000197806.0,11.0,11.67,11.0,9.0,13.5,14.5,10.0,11.75,9.0,13.0,10.0,9.0,12.7,7.17,14.12,12.83,16.0,12.5,12.75,12.33,5.5,bologna
Benjamin Šeško,62246208.0,16.0,12.83,16.0,12.75,14.0,12.0,11.33,12.25,12.75,14.0,13.5,11.88,12.3,11.83,13.88,12.5,14.0,13.0,14.25,12.33,6.5,bologna
Mario Marco,2000489132.0,10.0,12.0,9.0,9.75,14.5,12.17,14.33,12.75,9.75,13.5,10.25,13.25,12.5,7.67,13.62,11.83,9.0,14.75,10.25,9.5,4.5,bologna
Michele Testi,2000507005.0,11.0,14.33,11.0,12.0,17.0,15.67,13.33,15.0,12.0,16.5,12.5,11.25,14.6,10.33,14.25,15.67,13.0,14.5,14.5,15.67,5.0,bologna
Tobias Christensen,53138127.0,7.0,13.5,7.0,10.5,15.5,13.67,14.83,12.0,10.5,15.25,13.0,11.25,13.6,10.33,11.62,12.5,15.5,16.0,9.5,12.33,4.5,bologna
Per Kruse,2000322907.0,14.0,10.33,19.0,11.0,16.5,13.67,12.17,12.5,11.0,15.0,11.25,14.5,12.0,9.5,14.0,12.33,12.0,13.5,14.0,13.33,2.5,bologna
Gianluca Manfroni,2000191905.0,14.0,16.0,12.0,10.0,14.0,14.83,12.0,15.75,10.0,13.0,11.5,10.75,15.5,9.83,14.88,15.5,18.0,13.0,16.25,14.67,7.5,bologna
Thomas Perotta,2000342207.0,13.0,9.67,8.0,8.5,13.5,11.83,8.33,10.75,8.5,11.0,10.0,11.0,10.9,7.17,14.38,10.5,13.0,10.0,12.25,11.33,5.5,fiorentina
Nicola Brambilla,2000323520.0,10.0,11.0,10.0,10.25,13.0,11.17,10.67,12.25,10.25,11.5,10.75,8.75,11.1,8.0,8.88,11.83,15.0,11.75,10.75,11.83,4.5,fiorentina
Tomas Kral,2000197839.0,6.0,8.17,7.0,10.5,14.0,11.0,9.17,8.25,10.5,15.75,11.25,10.12,9.4,8.0,14.62,9.0,13.5,11.0,11.5,10.33,5.0,fiorentina
Gonçalo Guedes,55041710.0,9.0,12.0,7.0,11.0,12.5,13.0,13.33,10.0,11.0,12.5,11.0,12.0,12.4,9.83,12.25,11.0,14.0,13.0,11.0,13.33,6.0,fiorentina
Gerónimo Pezzella,2000285534.0,8.0,11.33,9.0,10.0,13.0,10.33,9.83,13.0,10.0,13.0,10.25,13.75,11.4,8.17,17.38,11.33,13.0,11.0,15.0,11.0,3.5,fiorentina
Walter Zampina,2000507379.0,15.0,11.67,13.0,11.0,14.5,11.5,10.83,11.5,11.0,12.5,11.25,12.38,11.5,9.83,12.5,11.67,10.0,10.5,16.0,13.33,3.0,fiorentina
Pino Birettoni,2000191463.0,16.0,9.67,15.0,12.0,14.25,12.0,12.5,11.0,12.0,13.75,12.75,12.5,10.8,9.83,15.62,11.0,15.0,14.0,16.25,14.0,3.5,fiorentina
