Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Alessandro Ottaviano,2000512150.0,9.0,11.25,12.0,9.67,9.0,11.0,11.5,9.17,arezzo
Lorenzo Libutti,43204023.0,12.0,10.88,11.25,12.33,9.83,10.33,10.0,12.08,arezzo
Diferdio Misidjan,37084985.0,10.33,12.25,14.25,10.17,9.5,10.33,7.0,10.75,arezzo
Ulisse Bizzarri,2000566954.0,12.67,14.5,16.0,13.33,8.67,13.33,7.0,13.5,atalanta
Francisco Palacios,2000497737.0,8.0,14.0,16.5,11.17,10.0,11.0,8.5,11.25,atalanta
Malo Gusto,49056280.0,13.0,14.25,13.0,11.67,9.5,12.67,12.5,13.17,atalanta
Carlos Rojas,2000561489.0,8.0,12.12,14.25,7.83,5.67,9.83,9.0,8.92,benevento
Fidel Blasco,2000573382.0,2.5,10.88,14.25,13.17,10.17,12.67,8.5,11.08,benevento
Raffaele Civita,2000437228.0,11.33,14.0,16.25,9.33,8.67,12.5,11.5,10.08,benevento
Claud Adjapong,43202413.0,12.33,12.25,15.5,11.67,10.0,11.33,11.5,12.17,benevento
Enrico Del Prato,43252473.0,13.0,12.5,13.5,12.67,11.0,11.67,11.5,13.33,benevento
Chancel Mbemba,18057323.0,14.0,9.38,9.25,10.0,9.0,11.0,11.0,14.75,benevento
Danilo Brizi,2000567640.0,9.67,13.62,14.75,9.5,10.17,12.67,8.0,11.0,bologna
Vincenzo Savarese,2000567190.0,11.33,11.5,12.0,9.67,6.5,8.67,12.5,11.33,bologna
Claudio Cellamare,2000019160.0,11.33,14.88,16.25,10.33,9.33,11.0,8.0,12.75,bologna
Álvaro Odriozola,67199408.0,12.33,12.0,12.5,12.17,10.83,14.17,7.5,13.92,fiorentina
Carlos Soler,67196204.0,11.67,14.0,14.5,15.0,14.0,14.0,10.5,13.33,inter
Luciano Puglisi,2000191663.0,15.0,16.75,16.0,13.67,11.0,14.33,14.0,15.33,inter
Riccardo Sottil,43270713.0,4.83,12.88,14.0,11.67,12.67,13.0,9.5,11.25,lazio
Josha Vagnoman,91184445.0,11.67,13.5,15.5,11.33,10.67,12.33,11.5,12.5,lazio
Gabriele Zappa,43272248.0,13.33,14.25,13.25,11.17,12.5,12.67,12.5,13.75,lazio
Davide Calabria,43123020.0,14.67,12.75,13.5,9.33,11.33,12.0,8.0,14.5,milan
Wilfried Singo,12078947.0,13.33,14.75,16.0,12.67,12.0,12.67,14.5,13.83,milan
Rui Quintanilha,2000567666.0,10.0,12.0,11.0,8.67,5.5,10.67,7.0,8.83,napoli
Victor De Martino,2000193930.0,12.0,14.38,11.5,10.67,8.17,10.67,12.25,12.17,napoli
Carlos Peña,2000192897.0,12.33,13.75,15.0,10.67,9.0,10.33,8.5,12.17,napoli
Russel Abega,2000188792.0,14.33,13.25,13.5,7.67,7.33,6.67,14.5,13.0,napoli
Giovanni Di Lorenzo,43075156.0,14.0,10.0,9.5,10.33,12.67,11.0,12.0,13.83,napoli
Mauro Coppolaro,43159454.0,12.67,13.75,12.0,9.0,9.67,10.0,13.0,13.17,parma
Amir Murillo,80028885.0,12.83,5.25,10.0,4.33,0.0,7.67,13.5,7.08,parma
Emanuele Tassinari,2000434778.0,10.33,13.5,16.25,12.33,8.67,11.17,13.0,12.58,roma
Fabio Depaoli,43161628.0,11.67,14.0,14.25,12.83,9.83,12.33,6.5,13.25,roma
Colin Dagba,49034905.0,12.33,12.38,14.5,11.0,11.5,12.33,7.0,11.58,salernitana
Héctor Bellerín,28066082.0,13.33,11.75,11.0,11.33,12.0,13.5,9.5,14.83,salernitana
Enrique Lago,2000491309.0,9.83,12.62,15.0,11.17,9.5,10.67,8.0,12.25,salernitana
Simone Massi,2000569290.0,11.33,13.5,11.0,9.0,6.5,8.33,12.0,13.58,salernitana
Nicola Mauri,2000512034.0,12.17,14.0,13.5,8.0,7.17,7.83,9.0,12.33,sampdoria
Nadir Zortea,43252462.0,11.67,13.0,13.5,11.67,11.0,11.67,9.5,12.17,sampdoria
Paolo Ghiglione,43140923.0,11.67,12.75,12.25,12.83,11.17,12.0,13.0,12.75,sampdoria
Shurandy Sambo,37060947.0,13.67,14.5,13.0,12.17,10.5,12.0,9.5,13.42,sampdoria
Raimondo Gadau,2000192601.0,6.67,14.12,15.25,9.67,8.83,9.0,9.5,10.75,sassuolo
Vincenzo Puccinelli,2000192602.0,7.67,15.25,13.5,9.5,8.0,10.83,11.0,9.67,sassuolo
Nicolò Armini,43373238.0,13.33,15.12,13.25,10.67,8.33,11.17,13.0,13.42,sassuolo
Emerson,19158043.0,12.67,10.75,10.0,13.0,11.33,13.33,8.5,12.83,sassuolo
Nahitan Nández,78067241.0,13.0,14.0,11.5,13.0,12.67,11.67,7.0,15.0,sassuolo
Damiano Manzella,2000438268.0,14.33,14.62,12.5,9.83,9.17,11.33,9.5,13.92,sassuolo
Pol Lirola,67211095.0,11.0,12.62,13.25,11.67,9.67,12.83,10.0,12.25,sassuolo
Adam Steele,2000187747.0,10.67,14.88,15.5,11.0,9.5,13.17,9.5,12.83,spal
Kiki Kouyaté,13186668.0,13.67,13.5,12.25,8.17,8.5,8.67,15.5,13.08,spal
Walter Erra,2000569294.0,8.83,11.12,10.5,13.5,6.67,11.33,11.0,9.08,spezia
Alessio Marafioti,2000436508.0,8.33,13.5,12.5,9.0,8.17,11.5,11.5,10.92,spezia
Carlos Cuesta,76047487.0,12.67,12.12,12.5,10.33,11.5,10.67,10.5,13.08,spezia
Filip Braut,24065858.0,13.33,12.25,16.0,11.0,8.0,8.0,7.5,11.33,spezia
Kevin Rüegg,98041554.0,12.0,13.25,13.0,10.17,9.83,11.17,7.0,12.75,spezia
Raul Cannataro,2000506760.0,11.67,13.5,12.5,7.67,7.33,8.0,11.5,14.67,torino
Eneko Pascual,2000193396.0,5.5,12.38,15.5,14.33,11.83,14.67,5.5,10.83,torino
Ivano Dutto,2000191667.0,10.33,12.38,15.25,10.33,7.67,11.33,11.5,14.58,torino
Luca Campanile,2000065615.0,12.33,13.62,13.25,9.33,7.67,7.0,6.5,11.92,udinese
Lorenzo Raimondo,2000199594.0,9.67,12.88,15.25,7.67,8.17,10.0,9.0,9.58,verona
Valentin Rosier,50047466.0,12.67,11.12,13.0,13.67,11.5,12.33,7.5,13.42,verona
Thierry Correia,83111501.0,10.67,13.12,15.0,11.67,9.83,11.33,8.0,12.42,verona
Federico Chiesa,43161651.0,8.17,14.0,15.5,14.0,13.67,14.33,7.5,12.83,zebre
Mateu Morey,67258408.0,12.0,13.75,15.5,14.33,11.0,15.0,6.5,14.0,zebre
Achraf Hakimi,67228634.0,11.67,15.25,17.0,14.0,14.33,13.67,9.5,13.17,zebre
