Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Marco Cuneo,2000572664.0,0.0,9.12,14.5,8.83,7.33,11.33,7.5,6.25,arezzo
Francesco Sibilia,2000512153.0,4.17,11.75,13.5,10.33,10.17,12.17,7.0,9.67,arezzo
Aniello Zampella,2000199610.0,4.17,13.38,9.5,10.83,10.67,10.33,14.5,10.75,arezzo
Diego Zuppel,43426148.0,8.17,12.38,12.5,8.67,12.0,9.17,14.5,11.83,arezzo
Dario Manicone,2000323773.0,6.0,14.25,15.5,11.17,12.0,12.5,12.5,9.17,arezzo
Yari Diamanti,2000572662.0,6.0,12.75,13.5,13.33,11.67,10.67,10.5,13.67,arezzo
Ruben Bank,2000711214.0,5.0,13.25,15.5,11.0,10.0,11.67,10.5,10.67,arezzo
Giacomo Cobianchi,2000434023.0,6.83,14.12,12.5,14.67,15.5,16.67,11.0,13.0,atalanta
Giorgio Addessi,2000434016.0,6.17,13.62,14.5,12.0,15.17,14.33,13.5,12.33,atalanta
Yannick Ako,2000186992.0,5.17,12.0,14.5,12.0,9.33,13.33,8.5,10.08,atalanta
Oscar Barreto,2000541646.0,7.33,15.25,16.5,14.0,12.33,15.67,14.0,12.17,atalanta
Kasper Dolberg,27102380.0,4.17,11.62,13.0,12.67,14.33,12.5,12.5,11.67,atalanta
Moussa Dembélé,85104422.0,4.67,15.0,15.0,12.33,16.33,14.33,14.5,13.5,atalanta
Wiliam Ávalos,2000564454.0,7.0,14.5,16.5,12.67,15.0,15.67,8.5,12.17,atalanta
Ding Lei,2000566986.0,4.33,11.0,11.0,12.0,8.67,11.67,8.0,12.67,benevento
Francesco Boron,2000510618.0,3.5,12.75,9.5,10.0,8.33,14.5,9.5,7.92,benevento
Matteo Canini,2000437226.0,5.33,13.0,16.0,10.83,14.33,14.33,12.5,9.58,benevento
Cristian Ferrari,2000570040.0,6.0,12.12,13.5,15.0,11.33,14.5,8.0,12.42,benevento
Giacomo Raspadori,43316850.0,4.5,13.12,14.5,13.67,14.0,13.17,8.5,13.33,benevento
Amath N'Diaye,67213756.0,3.83,11.12,14.0,11.33,11.67,11.83,7.0,9.67,benevento
Cristian Pavón,14083972.0,6.33,13.25,14.5,10.5,11.0,11.5,5.5,11.33,benevento
Connor Barron,2000483573.0,4.17,13.5,15.5,12.0,9.17,14.67,7.5,10.25,bologna
Jonathan David,18108540.0,6.17,12.75,15.5,12.67,13.17,13.0,7.5,12.58,bologna
Emir Lilaj,2000434777.0,5.0,11.88,12.0,10.5,8.67,12.17,8.75,10.42,bologna
Giovanni Fabiani,2000327318.0,5.17,12.62,12.0,13.33,13.5,13.67,13.0,11.0,bologna
Giorgio Matera,2000323826.0,4.5,10.62,11.0,9.33,14.33,10.5,13.5,8.67,bologna
Jesús María Sola,2000197806.0,5.17,12.38,14.0,12.33,14.5,13.33,11.0,11.33,bologna
Benjamin Šeško,62246208.0,9.0,13.88,14.0,12.33,13.67,14.33,16.0,12.33,bologna
Mario Marco,2000489132.0,4.5,12.12,15.0,13.5,9.83,13.33,9.5,11.08,bologna
Michele Testi,2000507005.0,7.0,14.5,13.5,12.67,14.67,16.67,11.0,13.0,bologna
Tobias Christensen,53138127.0,6.83,11.75,11.5,15.5,13.17,15.17,7.0,11.58,bologna
Per Kruse,2000322907.0,5.67,13.88,14.0,11.33,12.67,15.67,16.5,12.08,bologna
