Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Alessandro Ottaviano,2000512150.0,14.0,8.67,9.0,10.0,10.5,9.33,8.33,8.5,10.0,10.5,10.0,11.5,9.0,9.33,11.0,8.67,9.0,9.5,11.0,7.0,12.0,arezzo
Lorenzo Libutti,43204023.0,11.0,12.67,9.0,13.0,10.5,11.17,11.17,11.25,13.0,9.5,12.75,12.5,11.9,12.33,11.0,11.5,10.0,10.5,10.75,6.83,13.0,arezzo
Diferdio Misidjan,37084985.0,7.0,10.5,7.0,11.0,9.75,10.0,8.0,9.5,11.0,10.0,12.0,11.0,10.2,10.67,13.25,9.83,12.5,8.75,10.0,8.33,10.0,arezzo
Ulisse Bizzarri,2000566954.0,4.0,14.0,10.0,10.0,14.5,15.33,13.67,14.5,10.0,13.5,12.5,10.75,14.4,11.33,15.25,15.0,12.0,14.5,13.0,9.67,13.0,atalanta
Francisco Palacios,2000497737.0,9.0,12.83,8.0,9.75,11.25,11.0,11.17,14.25,9.75,11.5,11.25,9.38,12.2,9.17,15.62,13.0,13.5,12.0,12.5,8.33,8.0,atalanta
Malo Gusto,49056280.0,15.0,13.67,10.0,13.5,13.5,12.33,12.33,14.0,13.5,12.5,12.5,12.75,12.8,13.33,13.25,14.0,11.0,13.5,13.5,8.83,12.0,atalanta
Carlos Rojas,2000561489.0,9.0,10.17,9.0,5.0,10.5,8.83,8.33,10.0,5.0,10.75,7.0,9.38,9.3,6.0,13.5,10.17,8.5,10.25,9.0,7.5,12.0,benevento
Fidel Blasco,2000573382.0,8.5,14.83,8.5,4.75,11.75,13.67,11.0,14.25,4.75,14.25,10.0,8.88,14.6,3.17,14.12,13.67,14.5,10.75,10.0,9.5,7.5,benevento
Raffaele Civita,2000437228.0,14.0,10.67,9.0,9.25,13.25,8.83,10.33,10.75,9.25,13.0,8.5,11.38,9.9,10.17,16.0,10.17,12.0,12.0,13.0,9.5,12.0,benevento
Claud Adjapong,43202413.0,12.0,12.83,11.0,13.25,11.25,11.33,11.33,12.25,13.25,11.0,13.25,11.25,12.0,12.5,14.62,12.33,11.5,11.25,10.5,8.33,13.0,benevento
Enrico Del Prato,43252473.0,12.0,13.5,11.0,13.75,11.25,13.0,11.67,12.75,13.75,11.5,14.25,12.0,13.0,13.5,13.62,13.33,12.5,11.75,12.0,8.0,13.0,benevento
Chancel Mbemba,18057323.0,10.0,13.0,12.0,12.25,12.0,12.5,10.67,14.75,12.25,10.5,13.0,13.62,12.5,13.17,10.0,14.5,11.0,11.5,10.25,8.83,13.0,benevento
Danilo Brizi,2000567640.0,7.0,11.33,9.0,9.5,12.5,9.67,11.33,11.25,9.5,11.5,12.5,8.62,10.2,9.33,14.5,11.5,12.0,11.0,11.25,7.83,13.0,bologna
Vincenzo Savarese,2000567190.0,12.0,12.67,13.0,10.25,9.5,10.83,8.17,10.75,10.25,7.25,10.25,12.25,11.3,10.83,10.5,11.83,7.0,7.75,11.75,5.33,11.0,bologna
Claudio Cellamare,2000019160.0,8.0,14.0,8.0,11.75,10.5,12.5,10.33,13.25,11.75,11.0,12.5,10.12,12.7,11.5,16.0,14.17,14.0,10.0,13.75,6.83,10.0,bologna
Álvaro Odriozola,67199408.0,7.0,12.5,8.0,11.25,15.0,13.33,14.33,13.5,11.25,14.25,12.5,14.38,12.8,11.83,12.5,13.5,13.5,14.5,11.25,12.5,12.0,fiorentina
Carlos Soler,67196204.0,10.0,14.0,11.0,13.5,14.5,14.0,14.67,12.5,13.5,14.0,13.5,13.75,13.8,13.0,14.25,13.33,14.0,15.5,13.5,14.0,10.0,inter
Luciano Puglisi,2000191663.0,16.0,14.67,12.0,14.5,15.5,14.33,15.0,13.5,14.5,14.5,13.0,15.25,14.2,14.33,17.0,14.33,14.0,15.0,17.5,11.67,14.0,inter
Riccardo Sottil,43270713.0,11.0,12.0,8.0,9.25,12.5,11.5,12.5,11.25,9.25,13.5,10.75,11.0,11.7,7.67,13.62,11.5,13.0,12.0,11.25,12.0,4.5,lazio
Josha Vagnoman,91184445.0,14.0,11.67,9.0,12.0,12.0,12.0,11.83,12.0,12.0,12.5,12.5,13.0,11.8,11.67,14.5,12.0,12.0,11.5,14.0,10.0,12.0,lazio
Gabriele Zappa,43272248.0,14.0,13.17,11.0,13.0,13.25,12.67,12.67,14.0,13.0,12.5,13.0,12.5,12.6,13.0,13.5,14.17,14.5,13.25,13.5,12.33,13.0,lazio
Davide Calabria,43123020.0,8.0,13.33,8.0,13.0,12.5,11.0,12.33,13.5,13.0,11.5,13.5,14.0,11.6,13.33,14.0,14.0,14.0,12.0,11.5,10.0,16.0,milan
Wilfried Singo,12078947.0,16.0,12.33,13.0,14.5,12.0,13.33,12.33,13.0,14.5,13.0,15.0,14.75,12.8,13.67,15.5,13.0,13.0,12.5,15.0,9.33,14.0,milan
