Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Alessandro Ottaviano,2000512150,0,0,0,0,1,0,0,0,1,0,0,1,0,0,arezzo
Lorenzo Libutti,43204023,0,1,0,0,1,0,0,0,0,0,0,0,0,0,arezzo
Diferdio Misidjan,37084985,0,1,0,1,1,0,1,0,0,0,0,0,1,0,arezzo
Ulisse Bizzarri,2000566954,0,1,0,0,1,0,0,0,0,0,0,0,0,0,atalanta
Francisco Palacios,2000497737,0,1,0,0,1,0,0,0,0,0,1,0,0,0,atalanta
Malo Gusto,49056280,0,1,0,0,1,1,0,0,1,0,0,0,0,0,atalanta
Carlos Rojas,2000561489,0,1,0,0,1,0,0,1,0,0,1,0,0,0,benevento
Fidel Blasco,2000573382,0,0,0,0,1,0,0,1,0,0,1,0,0,0,benevento
Raffaele Civita,2000437228,0,1,0,0,1,0,0,1,0,0,1,0,0,0,benevento
Claud Adjapong,43202413,0,1,0,0,1,0,0,1,0,0,0,0,0,0,benevento
Enrico Del Prato,43252473,0,1,1,1,1,0,0,1,1,0,0,0,0,0,benevento
Chancel Mbemba,18057323,0,1,1,0,1,1,0,0,0,0,0,0,0,0,benevento
Danilo Brizi,2000567640,0,0,0,1,1,0,0,1,0,0,0,0,0,0,bologna
Vincenzo Savarese,2000567190,0,1,1,0,1,0,0,0,0,0,0,0,0,0,bologna
Claudio Cellamare,2000019160,0,1,1,0,1,0,0,0,0,0,0,0,0,0,bologna
Álvaro Odriozola,67199408,0,1,0,0,1,0,0,0,0,0,0,0,0,0,fiorentina
Carlos Soler,67196204,0,0,0,0,1,1,0,1,1,0,1,1,1,0,inter
Luciano Puglisi,2000191663,0,1,1,0,1,0,0,0,0,1,0,0,0,0,inter
Riccardo Sottil,43270713,0,1,0,0,1,0,0,1,0,1,1,0,1,1,lazio
Josha Vagnoman,91184445,0,1,1,1,1,0,1,0,0,0,0,0,0,0,lazio
Gabriele Zappa,43272248,0,1,1,0,1,0,0,1,0,0,0,0,0,0,lazio
Davide Calabria,43123020,0,1,0,1,1,0,1,0,1,0,0,0,0,0,milan
Wilfried Singo,12078947,0,1,0,0,1,0,0,0,0,0,0,0,0,0,milan
Rui Quintanilha,2000567666,0,1,0,1,1,1,0,1,0,0,0,0,0,0,napoli
Victor De Martino,2000193930,0,0,0,0,1,0,0,0,1,0,0,0,0,0,napoli
Carlos Peña,2000192897,0,1,0,0,1,0,0,0,0,0,0,0,0,0,napoli
Russel Abega,2000188792,0,1,1,0,1,1,0,0,0,0,0,0,0,0,napoli
Giovanni Di Lorenzo,43075156,0,1,1,1,1,1,1,1,0,0,0,0,0,0,napoli
Mauro Coppolaro,43159454,0,1,1,0,1,0,0,0,0,0,0,0,0,0,parma
Amir Murillo,80028885,0,1,1,0,1,0,0,0,0,0,0,0,0,0,parma
Emanuele Tassinari,2000434778,0,1,0,0,1,0,0,0,0,0,1,0,0,0,roma
Fabio Depaoli,43161628,0,1,0,0,1,0,0,1,0,0,0,0,0,0,roma
Colin Dagba,49034905,0,1,0,1,1,0,0,0,0,0,0,0,0,0,salernitana
Héctor Bellerín,28066082,0,1,0,0,1,0,0,0,0,0,0,0,0,0,salernitana
Enrique Lago,2000491309,0,0,0,0,1,0,0,1,0,0,1,0,0,0,salernitana
Simone Massi,2000569290,0,1,1,0,1,1,0,0,0,0,0,0,0,0,salernitana
Nicola Mauri,2000512034,0,1,1,0,1,0,0,0,0,0,0,0,0,0,sampdoria
Nadir Zortea,43252462,0,1,0,0,1,0,0,1,0,0,1,0,0,0,sampdoria
Paolo Ghiglione,43140923,0,1,0,0,1,0,0,1,0,0,1,0,0,0,sampdoria
Shurandy Sambo,37060947,0,1,1,0,1,0,0,1,0,0,0,0,0,0,sampdoria
Raimondo Gadau,2000192601,0,1,0,1,1,0,0,0,0,0,1,0,0,0,sassuolo
Vincenzo Puccinelli,2000192602,0,0,0,0,1,0,0,1,0,0,1,0,0,0,sassuolo
Nicolò Armini,43373238,0,1,1,1,1,0,0,0,0,0,0,0,0,0,sassuolo
Emerson,19158043,0,1,0,1,1,0,1,0,0,0,0,0,0,0,sassuolo
Nahitan Nández,78067241,0,0,0,0,1,1,0,1,1,0,1,0,0,0,sassuolo
Damiano Manzella,2000438268,0,1,0,0,1,1,0,0,0,0,0,0,0,0,sassuolo
Pol Lirola,67211095,0,1,0,1,1,0,0,1,0,0,0,0,0,0,sassuolo
