Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Nicolas Balestracci,2000507375.0,10.0,11.0,12.0,7.67,3.0,8.0,8.0,12.0,arezzo
Diferdio Misidjan,37084985.0,10.33,12.25,14.25,10.17,9.5,10.33,7.0,10.75,arezzo
Raoul Petretta,98041022.0,12.67,11.38,12.0,9.33,9.5,11.17,8.0,12.17,arezzo
Pervis Estupiñán,86045976.0,12.67,15.0,15.0,11.0,12.0,13.0,9.5,12.67,atalanta
Lennart Czyborra,91166521.0,12.0,13.75,13.75,11.5,10.17,13.0,11.0,13.42,benevento
Jonathan Augustinsson,93051231.0,14.0,12.75,12.0,10.17,9.17,11.5,12.0,13.58,benevento
Pablo García,67288495.0,12.0,13.5,14.0,11.5,11.17,12.67,7.0,12.25,bologna
Alfonso Pedraza,67212046.0,12.33,12.75,13.25,11.83,12.83,12.67,11.5,13.92,fiorentina
Nicola Improta,2000507382.0,12.67,13.88,12.5,9.5,9.5,9.67,11.25,12.67,fiorentina
Krystian Palacz,96159314.0,11.67,13.88,15.25,10.67,9.33,12.17,10.5,11.75,fiorentina
Olexandr Zinchenko,71081391.0,9.0,13.0,13.5,13.0,11.67,13.0,10.0,14.33,inter
Nuno Mendes,83261910.0,13.67,15.25,15.5,13.33,12.33,15.0,12.0,14.0,inter
Abdulaziz Yılmazer,2000433229.0,8.33,16.5,17.5,13.33,12.67,15.33,11.5,13.0,inter
Fulvio Colacicco,2000191153.0,10.67,15.0,13.0,10.83,8.5,10.83,11.5,13.25,lazio
Robin Gosens,37041773.0,12.33,12.12,11.75,10.67,14.33,13.17,12.0,14.92,lazio
Josha Vagnoman,91184445.0,11.67,13.5,15.5,11.33,10.67,12.33,11.5,12.5,lazio
Christophe Mercier,2000431621.0,12.0,15.25,12.5,13.0,8.67,13.67,12.5,13.5,milan
Cristian Carlos Iglesias,2000511849.0,11.0,12.5,15.5,12.33,11.5,12.0,9.5,13.67,milan
Davide Calabria,43123020.0,14.67,12.75,13.5,9.33,11.33,12.0,8.0,14.5,milan
Andrea Merli,2000192307.0,6.83,13.38,15.0,8.0,6.67,11.33,10.5,8.75,napoli
Marco Friedl,91143703.0,12.0,12.75,14.0,11.67,11.33,11.33,13.5,13.17,napoli
Giovanni Di Lorenzo,43075156.0,14.0,10.0,9.5,10.33,12.67,11.0,12.0,13.83,napoli
