Player,UID,DM,AM,BWM,HB,SV,RGA
Unai Simón,67200923.0,11.1,10.8,10.8,11.3,11.4,11.7
Noël Roux,2000188122.0,13.2,13.0,13.0,13.1,12.9,13.25
Ronald Araújo,78085068.0,15.2,15.4,15.4,14.9,15.2,12.9
Alessandro Bastoni,43252460.0,14.9,14.9,14.9,14.6,14.5,13.5
Juan Vela,2000489085.0,14.05,14.2,14.2,13.75,13.85,12.25
Florentino Luís,83169817.0,16.0,16.2,16.2,16.0,15.9,14.5
Phil Foden,28108494.0,12.9,12.7,12.7,12.3,13.8,16.2
Jonay Morán,2000194461.0,13.1,12.7,12.7,12.1,13.9,15.0
Diego Laínez,51063318.0,11.8,11.7,11.7,12.2,12.6,14.3
Rayan Cherki,49056279.0,10.9,10.7,10.7,10.4,11.5,14.2
Radovan Drakulić,2000211170.0,12.5,12.2,12.2,12.4,12.8,14.3
0,35017428.0,10.7,10.8,10.8,11.7,11.8,12.0
Joan Planchart,2000509911.0,15.6,16.0,16.0,16.35,14.6,13.55
Ilaix Moriba,67279753.0,13.2,12.8,12.8,13.25,13.7,15.35
Péricles,2000410450.0,10.0,10.1,10.1,10.6,10.3,12.7
Pierre Fournier,2000435814.0,10.8,10.5,10.5,10.1,12.0,14.2
Pau Torres,67217522.0,15.2,14.9,14.9,14.8,15.0,12.7
Dejan Kulusevski,43295814.0,13.2,12.9,12.9,13.2,13.7,15.7
Gabriel Jesus,19220266.0,11.7,11.8,11.8,12.2,12.4,14.2
Rodrygo,19306929.0,10.75,9.95,9.95,10.2,11.2,13.4
Harry Kane,28049320.0,13.4,13.5,13.5,13.55,14.2,15.35
Benoît Badiashile,49038942.0,14.2,14.0,14.0,13.95,13.9,12.65
Sergio Reguilón,67211900.0,14.25,14.35,14.35,14.35,14.2,14.2
Vítor Ferreira,83174762.0,13.8,13.7,13.7,13.6,14.5,15.6
Tomás Esteves,83228786.0,13.85,13.9,13.9,12.8,13.75,14.1
Franck Lacroix,2000192663.0,10.8,10.4,10.4,10.3,11.15,13.2
Gennady Korshunov,2000238109.0,9.45,8.8,8.8,9.75,10.55,12.85
