Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Unai Simón,67200923.0,11.2,11.2,11.2,11.2,7.9,7.9,9.8,9.8,8.83,8.83
Noël Roux,2000188122.0,12.75,12.75,12.75,12.75,13.9,13.9,12.3,12.3,12.83,12.83
Ronald Araújo,78085068.0,12.8,12.8,12.8,12.8,11.7,11.7,12.2,12.2,12.5,12.5
Alessandro Bastoni,43252460.0,13.2,13.2,13.2,13.2,12.9,12.9,12.7,12.7,13.42,13.42
Juan Vela,2000489085.0,11.6,11.6,11.6,11.6,12.3,12.3,11.3,11.3,12.83,12.83
Florentino Luís,83169817.0,14.2,14.2,14.2,14.2,13.1,13.1,13.7,13.7,13.0,13.0
Phil Foden,28108494.0,16.4,16.4,16.4,16.4,15.4,15.4,16.0,16.0,14.17,14.17
Jonay Morán,2000194461.0,15.7,15.7,15.7,15.7,14.4,14.4,14.9,14.9,13.83,13.83
Diego Laínez,51063318.0,15.4,15.4,15.4,15.4,15.6,15.6,14.8,14.8,14.0,14.0
Rayan Cherki,49056279.0,14.8,14.8,14.8,14.8,14.4,14.4,14.6,14.6,13.5,13.5
Radovan Drakulić,2000211170.0,15.1,15.1,15.1,15.1,14.5,14.5,14.8,14.8,14.75,14.75
Marc-André ter Stegen,35017428.0,11.0,11.0,11.0,11.0,7.4,7.4,9.9,9.9,8.08,8.08
Joan Planchart,2000509911.0,13.6,13.6,13.6,13.6,13.85,13.85,13.35,13.35,13.04,13.04
Ilaix Moriba,67279753.0,15.4,15.4,15.4,15.4,14.2,14.2,15.0,15.0,14.08,14.08
Péricles,2000410450.0,13.6,13.6,13.6,13.6,14.2,14.2,14.0,14.0,13.75,13.75
Pierre Fournier,2000435814.0,14.4,14.4,14.4,14.4,14.3,14.3,14.0,14.0,13.58,13.58
Pau Torres,67217522.0,12.6,12.6,12.6,12.6,10.3,10.3,12.1,12.1,11.33,11.33
Dejan Kulusevski,43295814.0,16.2,16.2,16.2,16.2,15.1,15.1,15.8,15.8,14.42,14.42
Gabriel Jesus,19220266.0,14.7,14.7,14.7,14.7,14.2,14.2,14.8,14.8,13.67,13.67
Rodrygo,19306929.0,14.0,14.0,14.0,14.0,13.55,13.55,14.65,14.65,12.88,12.88
Harry Kane,28049320.0,15.3,15.3,15.3,15.3,13.3,13.3,15.4,15.4,13.08,13.08
Benoît Badiashile,49038942.0,12.6,12.6,12.6,12.6,12.25,12.25,12.05,12.05,13.04,13.04
Sergio Reguilón,67211900.0,14.45,14.45,14.45,14.45,14.5,14.5,14.2,14.2,13.58,13.58
Vítor Ferreira,83174762.0,15.9,15.9,15.9,15.9,14.4,14.4,15.2,15.2,13.0,13.0
Tomás Esteves,83228786.0,14.2,14.2,14.2,14.2,14.6,14.6,13.4,13.4,14.17,14.17
Franck Lacroix,2000192663.0,14.35,14.35,14.35,14.35,14.5,14.5,14.8,14.8,14.17,14.17
Gennady Korshunov,2000238109.0,13.15,13.15,13.15,13.15,12.8,12.8,13.5,13.5,12.92,12.92
