Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Unai Simón,67200923.0,6.33,11.5,13.5,10.0,6.0,9.67,13.5,13.67
Noël Roux,2000188122.0,13.0,15.75,17.5,12.83,10.33,13.0,7.5,13.83
Ronald Araújo,78085068.0,15.67,13.75,14.5,11.67,9.0,12.33,16.5,15.0
Alessandro Bastoni,43252460.0,14.67,15.5,14.0,12.33,11.33,12.0,16.0,15.17
Juan Vela,2000489085.0,14.67,15.38,14.75,10.83,11.0,10.33,15.5,13.5
Florentino Luís,83169817.0,16.0,14.75,12.5,12.67,12.0,13.0,12.5,16.17
Phil Foden,28108494.0,9.67,15.0,15.5,17.33,15.67,17.33,8.0,14.83
Jonay Morán,2000194461.0,12.0,14.5,15.0,15.67,13.67,15.0,11.0,13.33
Diego Laínez,51063318.0,6.67,15.25,15.5,15.0,13.67,15.67,6.0,14.17
Rayan Cherki,49056279.0,6.33,15.5,15.0,15.33,15.33,17.33,9.0,12.33
Radovan Drakulić,2000211170.0,7.67,17.0,16.0,13.67,14.33,16.33,16.0,13.5
0,35017428.0,5.67,10.25,7.0,11.33,6.67,9.67,11.5,15.33
Joan Planchart,2000509911.0,14.67,17.38,15.5,13.0,11.67,11.5,9.0,15.92
Ilaix Moriba,67279753.0,12.17,15.25,15.5,17.0,13.33,16.67,13.5,14.08
Péricles,2000410450.0,5.0,14.5,16.0,13.0,14.67,15.33,11.5,11.83
Pierre Fournier,2000435814.0,7.67,13.5,17.5,14.67,13.0,16.67,10.0,12.83
Pau Torres,67217522.0,16.33,12.25,13.5,10.0,8.0,12.0,16.5,14.5
Dejan Kulusevski,43295814.0,9.33,15.5,15.0,17.0,14.67,16.33,11.0,15.17
Gabriel Jesus,19220266.0,7.33,13.5,14.5,15.0,15.33,15.33,11.0,13.5
Rodrygo,19306929.0,6.0,14.88,15.0,12.83,14.33,16.17,9.5,12.42
Harry Kane,28049320.0,10.83,10.0,9.5,16.33,18.0,13.67,12.0,16.25
Benoît Badiashile,49038942.0,14.33,15.5,15.0,12.0,9.67,11.83,17.0,13.92
Sergio Reguilón,67211900.0,13.67,14.25,13.5,13.0,13.5,13.0,9.0,14.75
Vítor Ferreira,83174762.0,12.33,14.5,15.0,15.67,14.67,16.0,6.0,15.0
Tomás Esteves,83228786.0,13.0,14.5,16.25,13.33,12.67,13.5,12.0,13.08
Franck Lacroix,2000192663.0,6.83,15.75,16.0,12.33,14.83,17.0,12.5,11.42
Gennady Korshunov,2000238109.0,7.17,14.0,15.0,13.0,16.83,14.67,13.5,11.17
