Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Unai Simón,67200923.0,14.2,11.7,11.3,12.2,13.6,11.7,11.0,12.3
Noël Roux,2000188122.0,12.95,13.05,13.1,12.7,12.95,13.15,13.85,13.2
Ronald Araújo,78085068.0,14.3,12.5,14.9,13.7,14.3,12.0,12.3,15.0
Alessandro Bastoni,43252460.0,14.5,13.3,14.6,14.1,14.2,13.5,13.6,14.6
Juan Vela,2000489085.0,12.6,12.1,13.75,12.55,12.4,12.1,12.25,13.65
Florentino Luís,83169817.0,15.4,14.2,16.0,15.1,15.2,13.8,14.1,16.1
Phil Foden,28108494.0,15.5,15.8,12.3,15.3,15.3,16.6,17.1,14.3
Jonay Morán,2000194461.0,14.4,14.9,12.1,15.0,15.1,15.4,15.8,13.8
Diego Laínez,51063318.0,13.9,14.1,12.2,14.2,14.0,15.1,15.5,13.1
Rayan Cherki,49056279.0,14.0,14.0,10.4,13.5,13.6,15.4,15.6,11.8
Radovan Drakulić,2000211170.0,14.2,13.9,12.4,14.3,14.2,14.8,15.8,13.3
0,35017428.0,14.7,11.7,11.7,12.3,13.4,11.5,11.2,12.4
Joan Planchart,2000509911.0,14.3,12.85,16.35,14.85,15.0,13.25,13.85,14.9
Ilaix Moriba,67279753.0,14.85,14.55,13.25,14.6,15.0,15.2,15.9,13.95
Péricles,2000410450.0,12.8,12.2,10.6,12.9,12.7,13.7,14.6,11.5
Pierre Fournier,2000435814.0,13.7,13.8,10.1,13.6,13.6,14.7,15.0,12.2
Pau Torres,67217522.0,13.8,13.0,14.8,13.4,13.9,12.0,11.7,14.9
Dejan Kulusevski,43295814.0,15.5,15.6,13.2,15.2,15.5,16.2,16.4,14.3
Gabriel Jesus,19220266.0,14.1,13.6,12.2,14.1,13.9,14.5,14.8,12.9
Rodrygo,19306929.0,12.85,13.2,10.2,13.1,12.65,14.05,14.5,11.85
Harry Kane,28049320.0,16.05,15.55,13.55,15.4,15.6,15.6,14.3,14.65
Benoît Badiashile,49038942.0,13.5,12.15,13.95,13.05,13.4,12.1,12.7,13.7
Sergio Reguilón,67211900.0,13.75,14.25,14.35,14.8,14.2,14.2,14.3,14.5
Vítor Ferreira,83174762.0,16.0,15.3,13.6,15.5,15.7,15.9,16.3,14.7
Tomás Esteves,83228786.0,14.1,13.85,12.8,14.2,13.95,14.05,14.25,13.85
Franck Lacroix,2000192663.0,12.35,12.45,10.3,13.1,12.7,13.8,15.3,11.45
Gennady Korshunov,2000238109.0,12.4,12.35,9.75,12.15,11.8,13.8,14.3,10.05
