Player,UID,AMC,AP,T,SS,AM,EG
Unai Simón,67200923.0,12.0,10.8,12.0,9.8,11.2,9.2
Noël Roux,2000188122.0,12.85,12.75,12.85,12.3,12.75,13.15
Ronald Araújo,78085068.0,13.3,12.6,13.3,12.2,12.8,12.1
Alessandro Bastoni,43252460.0,13.8,13.4,13.8,12.7,13.2,12.8
Juan Vela,2000489085.0,12.4,11.8,12.4,11.3,11.6,11.6
Florentino Luís,83169817.0,14.7,14.0,14.7,13.7,14.2,13.5
Phil Foden,28108494.0,16.2,16.3,16.2,16.0,16.4,16.6
Jonay Morán,2000194461.0,15.2,15.4,15.2,14.9,15.7,15.6
Diego Laínez,51063318.0,14.9,15.0,14.9,14.8,15.4,15.8
Rayan Cherki,49056279.0,14.0,14.5,14.0,14.6,14.8,15.2
Radovan Drakulić,2000211170.0,14.3,14.3,14.3,14.8,15.1,15.2
0,35017428.0,12.0,11.0,12.0,9.9,11.0,10.0
Joan Planchart,2000509911.0,14.35,14.35,14.35,13.35,13.6,13.65
Ilaix Moriba,67279753.0,14.65,15.3,14.65,15.0,15.4,15.6
Péricles,2000410450.0,12.8,13.4,12.8,14.0,13.6,14.0
Pierre Fournier,2000435814.0,13.9,14.3,13.9,14.0,14.4,14.8
Pau Torres,67217522.0,12.9,11.7,12.9,12.1,12.6,10.7
Dejan Kulusevski,43295814.0,15.6,15.8,15.6,15.8,16.2,16.1
Gabriel Jesus,19220266.0,14.7,14.9,14.7,14.8,14.7,15.0
Rodrygo,19306929.0,13.6,13.7,13.6,14.65,14.0,14.2
Harry Kane,28049320.0,15.75,15.8,15.75,15.4,15.3,14.7
Benoît Badiashile,49038942.0,12.85,12.55,12.85,12.05,12.6,12.55
Sergio Reguilón,67211900.0,14.6,14.4,14.6,14.2,14.45,14.25
Vítor Ferreira,83174762.0,15.7,15.6,15.7,15.2,15.9,15.6
Tomás Esteves,83228786.0,14.4,14.2,14.4,13.4,14.2,14.1
Franck Lacroix,2000192663.0,12.9,13.5,12.9,14.8,14.35,14.85
Gennady Korshunov,2000238109.0,12.05,12.75,12.05,13.5,13.15,13.85
