Player,UID,FB,WB,IWB,CWB,NNFB
Unai Simón,67200923.0,11.1,7.6,11.3,8.85,10.3
Noël Roux,2000188122.0,14.0,13.4,13.15,13.23,13.1
Ronald Araújo,78085068.0,15.3,12.7,14.9,12.92,14.9
Alessandro Bastoni,43252460.0,14.6,13.0,14.1,13.08,14.5
Juan Vela,2000489085.0,14.2,12.7,13.4,12.46,13.75
Florentino Luís,83169817.0,15.7,13.6,15.6,13.62,15.7
Phil Foden,28108494.0,13.3,13.6,14.1,14.46,11.9
Jonay Morán,2000194461.0,13.4,13.8,14.3,14.31,12.4
Diego Laínez,51063318.0,12.6,13.2,12.6,13.54,11.5
Rayan Cherki,49056279.0,10.9,12.0,11.4,12.92,9.8
Radovan Drakulić,2000211170.0,12.4,12.4,12.5,13.08,11.7
Marc-André ter Stegen,35017428.0,9.8,5.7,11.2,7.77,10.6
Joan Planchart,2000509911.0,15.6,13.4,14.6,13.38,16.15
Ilaix Moriba,67279753.0,13.3,13.35,14.0,14.12,13.2
Péricles,2000410450.0,10.9,11.1,10.1,11.77,9.3
Pierre Fournier,2000435814.0,11.9,12.4,11.9,13.31,9.8
Pau Torres,67217522.0,14.9,12.8,14.9,12.92,15.2
Dejan Kulusevski,43295814.0,13.2,13.4,14.0,14.15,12.7
Gabriel Jesus,19220266.0,12.2,12.0,12.3,12.85,11.5
Rodrygo,19306929.0,10.7,11.55,10.85,12.58,9.9
Harry Kane,28049320.0,12.7,12.25,14.1,13.12,12.8
Benoît Badiashile,49038942.0,14.2,12.6,13.7,12.69,14.15
Sergio Reguilón,67211900.0,14.5,14.45,14.25,14.19,14.2
Vítor Ferreira,83174762.0,14.1,13.7,14.6,14.31,13.3
Tomás Esteves,83228786.0,14.55,14.35,13.75,14.0,12.65
Franck Lacroix,2000192663.0,11.45,12.2,11.0,12.62,10.05
Gennady Korshunov,2000238109.0,9.8,10.95,10.1,11.77,9.85
