Player,UID,WM,W,DW,IW,IF,WG
Unai Simón,67200923.0,8.4,7.9,9.9,11.2,9.8,8.83
Noël Roux,2000188122.0,12.5,13.9,12.8,12.75,12.3,12.83
Ronald Araújo,78085068.0,12.3,11.7,14.3,12.8,12.2,12.5
Alessandro Bastoni,43252460.0,13.1,12.9,14.1,13.2,12.7,13.42
Juan Vela,2000489085.0,12.15,12.3,13.35,11.6,11.3,12.83
Florentino Luís,83169817.0,14.0,13.1,15.4,14.2,13.7,13.0
Phil Foden,28108494.0,15.0,15.4,13.2,16.4,16.0,14.17
Jonay Morán,2000194461.0,14.2,14.4,13.2,15.7,14.9,13.83
Diego Laínez,51063318.0,14.1,15.6,12.3,15.4,14.8,14.0
Rayan Cherki,49056279.0,13.2,14.4,10.7,14.8,14.6,13.5
Radovan Drakulić,2000211170.0,13.4,14.5,11.5,15.1,14.8,14.75
0,35017428.0,8.4,7.4,10.3,11.0,9.9,8.08
Joan Planchart,2000509911.0,13.0,13.85,14.4,13.6,13.35,13.04
Ilaix Moriba,67279753.0,13.9,14.2,12.8,15.4,15.0,14.08
Péricles,2000410450.0,12.4,14.2,9.9,13.6,14.0,13.75
Pierre Fournier,2000435814.0,12.8,14.3,11.0,14.4,14.0,13.58
Pau Torres,67217522.0,12.3,10.3,14.4,12.6,12.1,11.33
Dejan Kulusevski,43295814.0,14.7,15.1,13.4,16.2,15.8,14.42
Gabriel Jesus,19220266.0,13.3,14.2,11.8,14.7,14.8,13.67
Rodrygo,19306929.0,12.85,13.55,10.4,14.0,14.65,12.88
Harry Kane,28049320.0,14.7,13.3,14.1,15.3,15.4,13.08
Benoît Badiashile,49038942.0,11.9,12.25,13.1,12.6,12.05,13.04
Sergio Reguilón,67211900.0,14.5,14.5,14.5,14.45,14.2,13.58
Vítor Ferreira,83174762.0,14.4,14.4,13.7,15.9,15.2,13.0
Tomás Esteves,83228786.0,13.7,14.6,13.6,14.2,13.4,14.17
Franck Lacroix,2000192663.0,12.35,14.5,10.05,14.35,14.8,14.17
Gennady Korshunov,2000238109.0,11.05,12.8,8.9,13.15,13.5,12.92
