Player,UID,AMC,AP,T,SS,AM,EG
Ulisse Bizzarri,2000566954.0,14.1,13.8,14.1,13.1,14.0,13.2
Elidon Gega,2000189330.0,12.25,12.65,12.25,11.5,12.25,12.5
Luigi Braga,2000506750.0,9.4,8.6,9.4,8.8,9.25,9.05
Marten Ortmann,2000503144.0,14.3,14.6,14.3,14.0,14.7,14.6
Francisco Palacios,2000497737.0,12.3,12.3,12.3,11.0,11.6,11.8
Alessandro Granelli,2000435799.0,13.9,14.6,13.9,13.35,13.8,13.7
Giacomo Cobianchi,2000434023.0,14.25,14.45,14.25,14.6,14.45,15.1
Fabio De Santis,2000434022.0,13.05,13.65,13.05,12.45,13.15,13.55
Giorgio Addessi,2000434016.0,12.85,13.45,12.85,14.4,13.55,13.8
Mario Miola,2000273723.0,12.7,13.0,12.7,13.2,13.05,13.9
Alexandros Goublias,2000234468.0,14.05,14.55,14.05,13.6,14.35,14.15
Gianluca Bettoni,2000189336.0,12.85,13.2,12.85,12.95,13.3,13.15
Yannick Ako,2000186992.0,10.55,11.4,10.55,11.0,11.5,12.1
Sebastián Vázquez,2000180227.0,9.85,9.25,9.85,8.35,8.95,9.15
Luca Cellino,2000566956.0,11.1,11.5,11.1,11.4,12.0,11.85
Oscar Barreto,2000541646.0,13.5,13.9,13.5,13.4,13.9,14.6
Emil Andri Valdimarsson,2000355768.0,15.35,15.55,15.35,14.6,15.4,15.45
Dušan Milovac,2000211178.0,13.2,13.3,13.2,13.1,13.6,13.8
Malo Gusto,49056280.0,13.5,13.1,13.5,12.55,13.5,12.7
Emanuel Vignato,43296186.0,14.5,15.0,14.5,14.7,15.2,15.6
Matteo Pessina,43155796.0,14.75,14.6,14.75,14.4,14.6,14.1
Kasper Dolberg,27102380.0,11.8,12.2,11.8,11.9,11.8,12.25
Filippo D'Alena,2000323504.0,9.55,8.4,9.55,7.95,8.7,8.0
Jacopo Lombardini,2000626005.0,11.3,11.1,11.3,10.6,10.7,10.4
Moussa Dembélé,85104422.0,13.3,13.4,13.3,14.1,13.6,13.9
Luigi Cima,2000566953.0,12.25,11.65,12.25,11.4,11.7,10.65
Gianni Rizzo,2000323580.0,11.45,10.85,11.45,10.7,11.55,10.35
Pierluigi Gollini,43090278.0,11.65,10.55,11.65,9.75,10.45,9.15
Wiliam Ávalos,2000564454.0,13.9,14.2,13.9,14.6,14.7,14.4
Danilo,2000410771.0,13.9,14.4,13.9,14.1,14.4,14.7
Claudio Corti,2000506751.0,13.0,12.2,13.0,12.4,12.6,11.8
Pervis Estupiñán,86045976.0,13.3,13.1,13.3,13.0,13.3,13.2
Sante Curto,2000566959.0,14.75,14.4,14.75,13.25,14.2,13.35
Tanguy Nianzou,49048365.0,13.3,13.2,13.3,12.7,13.4,13.5
Tommaso Pobega,43269242.0,13.5,13.1,13.5,13.4,13.6,13.0
Ludovico Gelmi,43372276.0,6.95,6.1,6.95,5.65,6.1,5.3
