Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Ulisse Bizzarri,2000566954,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Elidon Gega,2000189330,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Luigi Braga,2000506750,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marten Ortmann,2000503144,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Francisco Palacios,2000497737,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Alessandro Granelli,2000435799,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Giacomo Cobianchi,2000434023,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fabio De Santis,2000434022,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Giorgio Addessi,2000434016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mario Miola,2000273723,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Alexandros Goublias,2000234468,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Gianluca Bettoni,2000189336,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Yannick Ako,2000186992,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Sebastián Vázquez,2000180227,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Luca Cellino,2000566956,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Oscar Barreto,2000541646,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Emil Andri Valdimarsson,2000355768,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Dušan Milovac,2000211178,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Malo Gusto,49056280,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Emanuel Vignato,43296186,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Matteo Pessina,43155796,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Kasper Dolberg,27102380,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Filippo D'Alena,2000323504,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacopo Lombardini,2000626005,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Moussa Dembélé,85104422,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luigi Cima,2000566953,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Gianni Rizzo,2000323580,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pierluigi Gollini,43090278,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wiliam Ávalos,2000564454,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Danilo,2000410771,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Claudio Corti,2000506751,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Pervis Estupiñán,86045976,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Sante Curto,2000566959,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Tanguy Nianzou,49048365,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Tommaso Pobega,43269242,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ludovico Gelmi,43372276,1,0,0,0,0,0,0,0,0,0,0,0,0,0
