Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Ulisse Bizzarri,2000566954.0,12.67,14.5,16.0,13.33,8.67,13.33,7.0,13.5
Elidon Gega,2000189330.0,9.5,13.25,15.0,13.33,11.17,11.67,7.0,11.5
Luigi Braga,2000506750.0,12.0,13.0,12.0,7.33,6.5,8.33,12.5,9.58
Marten Ortmann,2000503144.0,7.0,13.25,13.5,13.33,13.0,16.0,6.5,12.67
Francisco Palacios,2000497737.0,8.0,14.0,16.5,11.17,10.0,11.0,8.5,11.25
Alessandro Granelli,2000435799.0,8.33,13.38,12.5,14.5,11.67,13.5,10.0,11.75
Giacomo Cobianchi,2000434023.0,6.83,14.12,12.5,14.67,15.5,16.67,11.0,13.0
Fabio De Santis,2000434022.0,6.83,13.88,11.5,14.0,9.67,13.67,6.5,11.0
Giorgio Addessi,2000434016.0,6.17,13.62,14.5,12.0,15.17,14.33,13.5,12.33
Mario Miola,2000273723.0,8.67,15.0,14.5,12.5,12.5,12.83,6.0,10.5
Alexandros Goublias,2000234468.0,6.5,12.88,15.5,14.33,11.5,15.33,5.0,13.17
Gianluca Bettoni,2000189336.0,10.67,12.38,11.75,14.0,9.67,13.67,7.5,10.92
Yannick Ako,2000186992.0,5.17,12.0,14.5,12.0,9.33,13.33,8.5,10.08
Sebastián Vázquez,2000180227.0,13.33,13.75,13.5,8.33,8.33,6.67,13.5,11.17
Luca Cellino,2000566956.0,6.0,10.88,15.0,11.83,9.17,12.5,10.5,11.25
Oscar Barreto,2000541646.0,7.33,15.25,16.5,14.0,12.33,15.67,14.0,12.17
Emil Andri Valdimarsson,2000355768.0,12.0,16.38,17.5,15.83,11.17,16.0,9.5,15.75
Dušan Milovac,2000211178.0,5.33,16.5,17.5,11.33,10.67,15.33,11.0,12.17
Malo Gusto,49056280.0,13.0,14.25,13.0,11.67,9.5,12.67,12.5,13.17
Emanuel Vignato,43296186.0,7.33,14.5,15.5,15.67,13.67,16.67,7.0,13.5
Matteo Pessina,43155796.0,11.83,14.0,13.0,13.67,13.5,13.33,12.0,14.58
Kasper Dolberg,27102380.0,4.17,11.62,13.0,12.67,14.33,12.5,12.5,11.67
Filippo D'Alena,2000323504.0,7.33,12.5,13.5,7.83,5.67,6.0,8.75,10.67
Jacopo Lombardini,2000626005.0,15.0,14.25,14.0,8.33,9.0,9.67,13.5,12.33
Moussa Dembélé,85104422.0,4.67,15.0,15.0,12.33,16.33,14.33,14.5,13.5
Luigi Cima,2000566953.0,12.33,12.62,9.75,9.0,7.67,10.5,13.75,13.0
Gianni Rizzo,2000323580.0,14.0,12.62,15.25,9.33,7.5,10.0,16.5,12.42
Pierluigi Gollini,43090278.0,6.5,12.38,10.0,8.0,6.17,8.17,10.0,14.5
Wiliam Ávalos,2000564454.0,7.0,14.5,16.5,12.67,15.0,15.67,8.5,12.17
Danilo,2000410771.0,9.33,13.5,16.5,13.33,13.0,15.0,11.0,11.17
Claudio Corti,2000506751.0,12.67,15.0,15.5,8.33,8.67,12.67,15.0,14.67
Pervis Estupiñán,86045976.0,12.67,15.0,15.0,11.0,12.0,13.0,9.5,12.67
Sante Curto,2000566959.0,12.33,14.12,14.0,13.0,10.17,13.33,8.5,13.67
Tanguy Nianzou,49048365.0,14.67,16.25,16.5,13.67,10.67,12.67,16.0,14.17
Tommaso Pobega,43269242.0,14.67,15.0,14.0,12.67,11.67,12.0,14.0,14.0
Ludovico Gelmi,43372276.0,6.17,8.5,9.0,7.5,4.0,3.67,9.0,11.5
