Player,UID,Position
Ulisse Bizzarri,2000566954,D/WB (R)
Elidon Gega,2000189330,"D (C), DM, M/AM (C)"
Luigi Braga,2000506750,D (C)
Marten Ortmann,2000503144,"M (R), AM (RC)"
Francisco Palacios,2000497737,D/WB/AM (R)
Alessandro Granelli,2000435799,M/AM (C)
Giacomo Cobianchi,2000434023,ST (C)
Fabio De Santis,2000434022,"DM, M/AM (C)"
Giorgio Addessi,2000434016,ST (C)
Mario Miola,2000273723,M/AM (C)
Alexandros Goublias,2000234468,"M (C), AM (RLC)"
Gianluca Bettoni,2000189336,"DM, M/AM (C)"
Yannick Ako,2000186992,"M/AM (L), ST (C)"
Sebastián Vázquez,2000180227,D (C)
Luca Cellino,2000566956,"M (LC), AM (L)"
Oscar Barreto,2000541646,"AM (RLC), ST (C)"
Emil Andri Valdimarsson,2000355768,D (RL)
Dušan Milovac,2000211178,M/AM (L)
Malo Gusto,49056280,"D/WB (R), DM, M (C)"
Emanuel Vignato,43296186,"M (R), AM (RLC)"
Matteo Pessina,43155796,"DM, M/AM (C)"
Kasper Dolberg,27102380,"M (L), AM (RLC), ST (C)"
Filippo D'Alena,2000323504,GK
Jacopo Lombardini,2000626005,D (LC)
Moussa Dembélé,85104422,ST (C)
Luigi Cima,2000566953,"D (C), DM, M (C)"
Gianni Rizzo,2000323580,D (LC)
Pierluigi Gollini,43090278,GK
Wiliam Ávalos,2000564454,"AM (R), ST (C)"
Danilo,2000410771,"M (C), AM (RC)"
Claudio Corti,2000506751,D (RC)
Pervis Estupiñán,86045976,D/WB/M/AM (L)
Sante Curto,2000566959,"DM, M (C)"
Tanguy Nianzou,49048365,"D (C), DM"
Tommaso Pobega,43269242,"DM, M (C)"
Ludovico Gelmi,43372276,GK
