Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Ulisse Bizzarri,2000566954.0,14.0,14.0,12.5,13.8,14.0,13.9,14.1,13.9
Elidon Gega,2000189330.0,13.4,12.35,10.85,12.45,13.0,13.1,12.95,11.55
Luigi Braga,2000506750.0,10.05,9.3,10.65,9.8,9.8,9.05,10.0,10.5
Marten Ortmann,2000503144.0,13.2,12.7,11.2,13.9,14.0,14.3,14.7,12.5
Francisco Palacios,2000497737.0,11.7,10.9,11.0,11.95,11.7,11.8,12.05,11.25
Alessandro Granelli,2000435799.0,13.45,12.5,10.8,13.7,13.85,13.45,13.7,12.15
Giacomo Cobianchi,2000434023.0,14.3,14.05,11.55,14.05,13.9,14.3,15.05,12.35
Fabio De Santis,2000434022.0,12.25,11.65,10.35,12.6,12.75,12.6,13.7,11.4
Giorgio Addessi,2000434016.0,12.6,11.85,12.05,13.55,13.3,12.3,12.85,12.05
Mario Miola,2000273723.0,11.6,11.6,11.4,12.45,12.0,11.8,13.05,11.75
Alexandros Goublias,2000234468.0,13.35,12.55,10.65,13.4,13.45,13.8,14.4,12.0
Gianluca Bettoni,2000189336.0,13.05,12.2,11.25,13.15,13.25,12.45,13.05,13.0
Yannick Ako,2000186992.0,10.95,11.25,8.45,10.8,10.6,12.2,12.3,9.05
Sebastián Vázquez,2000180227.0,10.15,9.75,12.1,10.1,9.95,9.75,9.9,11.4
Luca Cellino,2000566956.0,10.2,9.8,8.9,10.45,10.6,10.95,11.85,9.7
Oscar Barreto,2000541646.0,13.4,12.6,10.8,13.1,13.2,13.9,15.0,11.5
Emil Andri Valdimarsson,2000355768.0,15.4,14.65,14.25,15.3,15.4,14.9,16.05,14.85
Dušan Milovac,2000211178.0,12.6,11.8,11.3,12.9,13.0,13.3,14.4,11.7
Malo Gusto,49056280.0,13.6,13.0,13.2,13.7,14.0,13.1,13.2,13.6
Emanuel Vignato,43296186.0,14.2,14.7,11.5,14.2,14.2,15.5,15.8,12.7
Matteo Pessina,43155796.0,14.2,14.25,13.85,14.7,14.5,14.55,14.6,14.25
Kasper Dolberg,27102380.0,12.3,11.6,9.55,11.4,11.35,12.65,12.4,9.75
Filippo D'Alena,2000323504.0,11.1,9.65,10.75,10.15,11.15,9.0,8.8,10.85
Jacopo Lombardini,2000626005.0,12.1,11.0,12.8,12.3,12.2,11.1,11.1,12.7
Moussa Dembélé,85104422.0,13.1,12.7,11.3,13.2,12.6,13.8,14.3,11.4
Luigi Cima,2000566953.0,11.9,11.2,12.85,12.05,12.25,10.6,10.8,12.4
Gianni Rizzo,2000323580.0,12.3,11.3,12.75,12.15,12.3,10.9,11.4,12.8
Pierluigi Gollini,43090278.0,13.25,10.9,12.7,12.4,13.05,10.5,10.3,12.55
Wiliam Ávalos,2000564454.0,13.0,12.6,11.1,13.7,13.5,14.6,14.6,12.1
Danilo,2000410771.0,13.4,13.0,11.3,14.0,13.7,14.0,14.2,12.9
Claudio Corti,2000506751.0,12.8,12.0,13.8,13.1,13.2,12.0,12.3,13.5
Pervis Estupiñán,86045976.0,12.8,13.2,12.8,13.7,13.1,13.4,13.5,13.5
Sante Curto,2000566959.0,15.0,13.25,13.65,14.65,14.95,13.65,13.65,14.6
Tanguy Nianzou,49048365.0,13.6,13.3,14.3,13.4,13.9,13.4,13.7,13.9
Tommaso Pobega,43269242.0,13.8,13.4,14.2,14.1,14.3,13.4,13.6,14.5
Ludovico Gelmi,43372276.0,8.5,7.95,8.4,7.15,7.75,7.4,7.5,8.0
