Player,UID,CD,BPD,NNCB,Lib
Ulisse Bizzarri,2000566954.0,11.5,12.4,11.3,13.8
Elidon Gega,2000189330.0,9.35,10.0,9.65,11.4
Luigi Braga,2000506750.0,11.4,11.6,11.6,10.55
Marten Ortmann,2000503144.0,9.4,9.5,8.5,11.9
Francisco Palacios,2000497737.0,10.05,9.6,9.3,10.4
Alessandro Granelli,2000435799.0,9.7,10.2,9.4,11.5
Giacomo Cobianchi,2000434023.0,10.65,11.6,10.65,12.6
Fabio De Santis,2000434022.0,9.2,9.6,8.45,11.35
Giorgio Addessi,2000434016.0,10.45,10.7,10.65,10.5
Mario Miola,2000273723.0,8.95,9.6,9.45,10.95
Alexandros Goublias,2000234468.0,8.8,8.9,7.95,11.65
Gianluca Bettoni,2000189336.0,10.0,11.45,9.9,12.55
Yannick Ako,2000186992.0,7.7,8.3,7.8,9.3
Sebastián Vázquez,2000180227.0,12.95,12.35,12.5,10.75
Luca Cellino,2000566956.0,8.65,8.8,8.2,9.45
Oscar Barreto,2000541646.0,10.9,11.2,10.5,11.9
Emil Andri Valdimarsson,2000355768.0,13.05,13.15,12.85,14.45
Dušan Milovac,2000211178.0,9.9,9.8,9.3,10.3
Malo Gusto,49056280.0,12.8,13.0,12.7,13.0
Emanuel Vignato,43296186.0,10.0,10.6,9.7,13.0
Matteo Pessina,43155796.0,12.8,12.9,12.9,13.8
Kasper Dolberg,27102380.0,9.35,9.2,9.15,9.95
Filippo D'Alena,2000323504.0,9.6,9.9,9.4,8.75
Jacopo Lombardini,2000626005.0,13.3,12.7,12.8,11.8
Moussa Dembélé,85104422.0,11.0,11.1,10.8,11.1
Luigi Cima,2000566953.0,12.9,12.05,13.05,11.35
Gianni Rizzo,2000323580.0,13.65,13.55,13.7,11.9
Pierluigi Gollini,43090278.0,11.05,10.4,10.75,9.45
Wiliam Ávalos,2000564454.0,9.5,10.1,9.4,11.6
Danilo,2000410771.0,10.0,11.3,10.0,12.6
Claudio Corti,2000506751.0,13.9,13.0,13.6,11.9
Pervis Estupiñán,86045976.0,12.3,12.3,11.7,13.1
Sante Curto,2000566959.0,12.0,12.45,11.6,13.45
Tanguy Nianzou,49048365.0,14.9,14.8,14.8,13.5
Tommaso Pobega,43269242.0,14.1,14.3,13.9,13.6
Ludovico Gelmi,43372276.0,8.8,8.2,8.9,6.8
