Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Adil Aouchiche,49048441.0,3.0,12.75,14.25,11.75,1.75,2.0,2.0,3.5,alaves
Xabier Garmendia,2000631378.0,3.5,15.62,14.5,14.17,3.25,3.0,1.75,3.25,alaves
Luca Sangalli,67190076.0,2.25,11.88,9.0,13.08,3.5,1.5,2.25,2.75,alaves
Ibrahim Sangaré,48042717.0,3.0,14.5,11.0,12.17,2.0,4.5,3.0,2.0,alaves
Schurrle,83223653.0,3.0,12.62,13.0,12.5,2.25,3.5,2.75,2.25,alaves
Suleimane Rodrigues,2000190096.0,3.0,13.0,11.5,10.17,3.25,3.5,2.0,1.25,alaves
Rubén Garrido,2000515088.0,2.25,14.12,11.5,13.08,2.25,1.0,3.0,3.25,alaves
Ramiro Gabarri,2000198124.0,1.75,14.62,15.0,10.17,1.75,1.5,2.0,2.0,albacete
Luis Nsambi,2000631649.0,2.75,12.62,12.75,11.83,2.25,3.0,2.5,3.25,albacete
Francisco Jesús Carbonell,2000440196.0,2.0,12.88,13.0,13.08,2.5,3.0,1.75,2.25,albacete
Gustavo Zamora,2000512210.0,3.25,13.38,15.5,10.33,3.25,3.0,2.5,3.75,albacete
Álex Olmedo,2000034591.0,1.0,11.75,14.0,9.83,1.5,2.0,2.5,2.0,albacete
Antonio Sánchez,67272744.0,2.0,11.88,11.75,12.08,3.0,3.0,2.75,3.0,albacete
Chema Nuñez,67232678.0,3.5,9.62,11.5,10.33,2.25,3.5,2.25,1.75,albacete
Simone Panada,43425634.0,2.0,15.0,13.5,13.5,3.0,3.0,1.5,1.5,amadrd
Sergej Milinković-Savić,62127037.0,2.5,14.5,11.5,15.17,2.5,2.0,1.5,3.0,amadrd
Nikola Stanković,2000211075.0,1.5,14.88,17.75,12.58,2.5,2.0,4.0,2.75,amadrd
Manoel Azambuja,2000410625.0,2.25,15.38,16.0,14.42,2.5,1.5,2.25,2.75,amadrd
Pierre Dwomoh,2000006277.0,1.0,13.25,14.5,13.33,2.0,3.0,2.0,2.0,amadrd
Thomas Lemar,85093001.0,3.0,12.0,14.0,12.67,2.0,3.0,2.0,2.0,amadrd
Marcos Llorente,67196198.0,2.5,12.0,11.5,14.33,2.0,1.0,2.5,1.5,amadrd
Dimo Krastev,22081455.0,2.75,14.62,13.25,11.75,3.0,3.0,2.5,3.5,amadrd
