Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Borja Sainz,67277845.0,4.0,11.38,14.0,11.33,2.0,1.5,2.25,1.5,alaves
Lirim Kastrati,24058534.0,3.75,13.0,18.0,10.33,2.75,3.5,2.0,3.75,alaves
Mamadou Coly,2000440193.0,3.0,13.5,15.5,10.33,2.75,3.0,2.25,2.25,albacete
Kike Barja,67196202.0,2.25,11.38,12.5,11.83,2.0,2.5,2.0,2.0,albacete
Fran Pérez,95078306.0,3.75,11.5,14.5,9.67,2.25,3.5,2.25,2.0,albacete
Ángel Luis Arcas,2000571805.0,2.5,12.62,14.75,13.0,4.0,3.5,2.75,3.5,albacete
Nikola Stanković,2000211075.0,1.5,14.88,17.75,12.58,2.5,2.0,4.0,2.75,amadrd
Thomas Lemar,85093001.0,3.0,12.0,14.0,12.67,2.0,3.0,2.0,2.0,amadrd
Lee Sang-Hoon,2000495264.0,2.0,15.5,16.5,10.33,1.5,2.0,2.0,2.5,amadrd
Alexander Villarreal,2000499325.0,4.0,14.5,15.5,11.17,2.75,2.5,2.0,2.0,amadrd
Diego Laínez,51063318.0,2.0,15.25,15.5,14.17,2.0,2.0,1.0,1.0,barc
Dejan Kulusevski,43295814.0,2.0,15.5,15.0,15.17,3.0,3.0,1.5,3.0,barc
Rodrygo,19306929.0,2.75,14.88,15.0,12.42,2.75,1.5,2.5,2.25,barc
Carlos Bidaurrázaga,2000573859.0,2.0,14.5,14.5,12.17,2.5,1.0,2.0,2.0,bilbao
Fran Alonso,2000570282.0,2.5,13.75,16.0,11.58,1.75,2.0,3.5,2.5,bilbao
Javier Karanka,2000193733.0,2.0,12.88,15.0,10.5,2.0,2.5,3.5,1.5,bilbao
Luka Jovanović,2000604683.0,2.0,13.0,15.0,9.83,1.5,1.0,2.0,3.0,cadiz
Gerardo Gallardo,2000440602.0,2.75,11.62,17.0,10.0,2.5,2.5,3.5,3.25,cadiz
Matías Cavalleri,75049257.0,2.25,12.62,14.5,11.92,3.25,2.5,1.75,2.25,coruna
Nicolas Pépé,85136376.0,1.75,10.38,13.0,10.0,2.25,2.5,2.5,2.75,coruna
Xabier Santamaría,2000202642.0,2.0,12.88,12.0,10.58,2.75,2.5,2.0,2.75,coruna
Tasos Chatzigiovanis,36096701.0,2.5,11.12,15.0,9.42,2.5,2.0,3.25,2.25,coruna
Oier Zarraga,67260201.0,2.25,13.38,14.5,13.33,3.0,3.0,2.0,3.5,espanyol
Óscar Melendo,67214687.0,2.75,13.0,14.0,13.25,2.5,2.5,3.25,1.5,espanyol
Francisco Conceição,83261140.0,3.25,12.12,13.5,12.33,2.0,2.5,3.0,1.75,espanyol
Brais Méndez,67199158.0,2.25,11.38,12.5,12.25,2.25,1.5,2.0,2.5,espanyol
Jorge De Frutos,67231100.0,2.5,11.5,14.5,12.08,2.75,3.0,2.5,3.0,espanyol
Miguel Menino,83320117.0,2.0,13.38,14.0,12.5,3.0,1.5,2.75,2.75,espanyol
Moussa Djenepo,6601602.0,2.75,13.12,15.0,12.0,2.0,2.5,2.5,3.0,granada
Jesse Lingard,28047560.0,2.0,8.38,10.0,13.83,2.75,2.5,3.0,2.75,granada
Edimilson Fernandes,98030084.0,4.0,11.25,10.5,11.33,2.5,4.5,2.5,2.0,granada
Félix,2000192673.0,1.75,12.5,13.0,11.92,2.25,2.0,3.25,3.0,granada
Gil Dias,55082920.0,1.5,11.38,13.0,10.58,2.5,2.0,4.5,2.75,laspalmas
