Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Borja Sainz,67277845.0,10.17,11.38,14.0,13.33,12.83,13.33,9.5,11.33,alaves
Xabier Garmendia,2000631378.0,7.5,15.62,14.5,13.17,15.5,15.33,14.0,14.17,alaves
Ander Imaz,2000439533.0,4.33,13.5,16.0,12.0,9.83,14.0,6.0,9.75,alaves
Rafa Mir,67221051.0,7.17,14.5,14.0,11.0,13.17,11.67,15.0,11.25,alaves
Alexander Sørloth,53063430.0,4.83,13.75,12.5,11.67,14.17,13.0,14.5,13.42,alaves
Lirim Kastrati,24058534.0,4.5,13.0,18.0,9.33,12.0,10.67,7.0,10.33,alaves
Joseph Ngwem,2000202611.0,4.0,14.38,14.0,10.83,12.83,12.67,11.25,11.58,alaves
0,2000068663.0,9.0,8.5,14.0,10.5,13.0,14.67,14.5,12.58,alaves
Raúl De Tomás,67156425.0,6.5,9.75,10.5,13.67,14.67,12.67,11.5,11.75,albacete
Bright Adjei,2000660374.0,6.33,12.5,12.0,11.67,13.33,15.33,8.5,11.83,albacete
Chema Nuñez,67232678.0,9.0,9.62,11.5,14.83,11.5,12.33,6.75,10.33,albacete
Ezequiel Aranda,14246685.0,6.33,14.38,15.0,11.83,14.0,14.83,10.5,13.42,albacete
João Félix,83169822.0,5.67,13.25,12.5,17.33,17.0,17.0,9.0,14.33,amadrd
Oğuz Civelek,2000232509.0,7.17,16.0,16.5,13.33,16.67,15.5,13.5,12.83,amadrd
Pierre Dwomoh,2000006277.0,8.0,13.25,14.5,15.33,13.67,16.0,13.5,13.33,amadrd
Lorenzo Granelli,2000437491.0,7.67,16.75,15.5,13.67,15.67,16.33,12.0,13.5,amadrd
Rayan Cherki,49056279.0,6.33,15.5,15.0,15.33,15.33,17.33,9.0,12.33,barc
Radovan Drakulić,2000211170.0,7.67,17.0,16.0,13.67,14.33,16.33,16.0,13.5,barc
Péricles,2000410450.0,5.0,14.5,16.0,13.0,14.67,15.33,11.5,11.83,barc
Pierre Fournier,2000435814.0,7.67,13.5,17.5,14.67,13.0,16.67,10.0,12.83,barc
Dejan Kulusevski,43295814.0,9.33,15.5,15.0,17.0,14.67,16.33,11.0,15.17,barc
Gabriel Jesus,19220266.0,7.33,13.5,14.5,15.0,15.33,15.33,11.0,13.5,barc
Rodrygo,19306929.0,6.0,14.88,15.0,12.83,14.33,16.17,9.5,12.42,barc
Harry Kane,28049320.0,10.83,10.0,9.5,16.33,18.0,13.67,12.0,16.25,barc
Franck Lacroix,2000192663.0,6.83,15.75,16.0,12.33,14.83,17.0,12.5,11.42,barc
Gennady Korshunov,2000238109.0,7.17,14.0,15.0,13.0,16.83,14.67,13.5,11.17,barc
Carlos Bidaurrázaga,2000573859.0,8.67,14.5,14.5,10.33,17.0,13.67,10.0,12.17,bilbao
Romain Bertrand,2000438620.0,10.17,15.5,13.0,14.33,16.0,15.33,14.5,13.5,bilbao
Javier Arrue,2000438617.0,3.0,14.5,16.0,13.0,11.33,14.33,14.5,10.17,bilbao
Mikel Garai,2000438623.0,8.17,15.25,13.5,13.5,16.83,17.0,12.0,12.33,bilbao
Jon Magunazelaia,2000438619.0,6.33,12.5,13.0,14.5,12.33,14.0,8.5,13.0,bilbao
Henry Onyekuru,18093594.0,4.0,12.38,15.0,13.67,14.5,13.0,7.0,11.17,cadiz
Toni Dorado,2000197158.0,8.83,12.88,10.0,15.0,14.33,14.0,9.5,12.25,cadiz
Terry Ashton,2000505936.0,6.0,13.0,16.0,14.0,12.67,14.33,7.5,12.0,cadiz
