Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Andrés Céspedes,2000043877.0,13.5,10.33,2.0,10.75,6.0,8.67,6.67,11.75,10.75,3.5,10.25,12.75,9.2,7.5,13.12,11.5,3.0,8.75,10.75,3.0,2.5,alaves
Carlos Abad,67198215.0,14.5,11.0,1.5,12.5,8.25,9.0,10.0,12.5,12.5,6.75,11.25,12.0,10.0,9.0,9.25,11.67,2.5,14.0,10.5,6.0,1.5,alaves
Stefan Ranđelović,62247042.0,13.5,15.67,2.5,13.25,9.0,8.67,8.33,14.25,13.25,6.0,12.25,13.62,12.0,9.5,10.88,13.83,2.5,10.25,11.25,4.17,2.5,alaves
Mauricio Morán,2000192669.0,12.5,10.0,1.5,11.0,5.0,8.67,6.67,12.0,11.0,3.75,9.5,12.62,9.0,8.17,13.12,11.67,1.0,8.75,14.0,3.17,2.0,albacete
Guillermo Centurión,78095397.0,14.5,8.83,1.5,9.0,9.75,8.33,9.33,12.0,9.0,6.25,8.0,11.75,8.6,7.17,12.0,10.83,1.5,13.0,9.5,5.67,2.5,albacete
Sem Westerveld,37079077.0,16.0,4.33,0.0,10.0,4.0,6.33,5.33,10.0,10.0,2.5,10.5,11.75,5.2,6.67,8.25,8.67,3.0,8.0,7.0,1.67,0.0,albacete
Jan Oblak,64016316.0,13.0,11.33,3.0,16.5,12.0,15.0,10.0,14.5,16.5,7.25,16.5,12.25,13.2,11.67,8.25,14.0,1.0,14.0,10.5,5.17,2.0,amadrd
Matteo Godfroid,18114989.0,17.0,10.67,9.0,12.75,9.5,8.0,7.83,10.25,12.75,5.25,13.25,8.5,8.8,9.17,12.25,10.83,3.0,10.75,11.75,3.83,2.0,amadrd
Unai Simón,67200923.0,15.0,14.0,12.0,16.0,13.0,10.67,9.33,13.5,16.0,8.0,15.0,11.25,11.8,11.33,12.25,14.0,1.0,13.0,10.0,5.0,1.0,barc
0,35017428.0,16.0,14.33,7.0,15.5,13.5,11.67,11.0,13.5,15.5,8.0,16.5,14.25,12.2,11.33,9.25,14.67,1.0,15.5,12.5,5.33,1.0,barc
Diego Aizpurua,2000193388.0,13.0,10.33,1.0,13.0,10.5,10.67,9.0,12.0,13.0,7.25,13.0,10.25,10.0,9.33,13.5,12.33,1.5,12.5,13.5,6.5,2.0,bilbao
Arkaitz Jauregi,2000350400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bilbao
Alfredo Trelles,2000200467.0,11.5,11.67,1.5,12.5,4.5,9.17,5.5,14.0,12.5,2.5,10.5,12.88,10.5,9.17,10.75,12.67,1.5,6.5,9.5,3.0,1.5,cadiz
Juan Soriano,67193103.0,15.5,12.67,5.5,11.0,6.75,12.17,5.0,12.75,11.0,4.5,13.0,11.25,12.1,8.5,10.25,13.17,11.0,6.5,12.0,3.5,2.5,cadiz
José Aurelio Suárez,67153377.0,13.5,9.0,3.5,11.5,12.25,9.33,9.0,11.5,11.5,7.5,12.25,11.0,8.8,8.5,10.75,11.33,1.5,12.5,12.5,6.67,1.0,coruna
Saúl,2000664224.0,14.0,10.67,1.5,9.0,3.5,9.5,5.0,13.0,9.0,4.0,11.0,12.12,10.1,7.0,10.38,12.0,1.5,6.25,8.0,4.33,2.0,coruna
Gregor Kobel,98040383.0,17.0,12.0,6.5,14.5,10.0,9.0,7.17,12.75,14.5,5.25,14.0,11.62,10.2,10.67,12.25,12.5,3.0,10.0,12.75,4.17,2.0,espanyol
Cezary Miszta,96122113.0,18.5,10.5,6.0,12.5,10.75,10.67,9.33,11.5,12.5,7.25,13.5,11.5,9.8,9.17,11.0,12.5,7.5,13.0,9.5,6.0,1.5,espanyol
Arnau Tenas,67265794.0,16.5,8.5,2.0,10.5,11.25,12.0,9.33,9.5,10.5,7.25,10.5,12.0,10.0,8.5,11.25,10.17,2.0,13.0,10.0,6.17,2.0,granada
Cristian Rivero,67246343.0,12.5,12.0,2.5,10.5,6.25,9.5,5.67,13.75,10.5,4.0,12.0,10.5,10.7,7.83,11.5,12.83,3.0,7.5,8.5,2.67,3.5,granada
Koke Vegas,67196252.0,14.0,11.83,9.0,12.75,9.0,9.33,6.67,11.75,12.75,5.5,13.25,12.12,10.0,9.17,10.0,12.33,2.0,9.0,11.25,3.33,3.0,laspalmas
Alfredo Iglesias,2000194460.0,14.5,15.0,2.5,8.5,5.25,10.17,5.5,15.75,8.5,4.25,7.5,10.0,12.7,6.83,11.75,14.5,2.5,7.5,10.0,3.33,3.5,laspalmas
Javi Izquierdo,67288498.0,17.0,12.0,2.0,14.0,8.0,9.33,7.0,11.25,14.0,4.0,12.0,11.0,10.0,9.83,11.75,12.17,2.0,9.0,12.25,3.17,3.5,leganes
Aarón Escandell,67192427.0,13.0,11.83,4.0,13.5,4.0,8.67,4.67,11.75,13.5,2.5,12.25,11.12,9.8,9.5,8.75,12.0,1.0,5.75,9.5,2.67,3.0,leganes
Ramiro Macagno,14157119.0,13.5,14.0,6.5,11.0,8.25,13.17,5.83,12.75,11.0,4.75,12.0,10.25,13.3,8.17,11.75,13.5,2.5,7.5,11.0,3.83,3.5,realhisp
