Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Adil Aouchiche,49048441.0,3.0,12.75,14.25,11.75,1.75,2.0,2.0,3.5,alaves
Rafa Mir,67221051.0,2.75,14.5,14.0,11.25,2.25,5.0,1.5,3.0,alaves
Alexander Sørloth,53063430.0,3.0,13.75,12.5,13.42,2.5,3.0,1.5,3.25,alaves
Schurrle,83223653.0,3.0,12.62,13.0,12.5,2.25,3.5,2.75,2.25,alaves
Suleimane Rodrigues,2000190096.0,3.0,13.0,11.5,10.17,3.25,3.5,2.0,1.25,alaves
Ramiro Gabarri,2000198124.0,1.75,14.62,15.0,10.17,1.75,1.5,2.0,2.0,albacete
Luis Nsambi,2000631649.0,2.75,12.62,12.75,11.83,2.25,3.0,2.5,3.25,albacete
Francisco Jesús Carbonell,2000440196.0,2.0,12.88,13.0,13.08,2.5,3.0,1.75,2.25,albacete
Alberto,2000512206.0,2.0,13.38,13.0,10.17,2.5,1.5,3.25,1.75,albacete
Raúl De Tomás,67156425.0,2.75,9.75,10.5,11.75,1.75,1.5,2.25,2.25,albacete
Gustavo Zamora,2000512210.0,3.25,13.38,15.5,10.33,3.25,3.0,2.5,3.75,albacete
Bright Adjei,2000660374.0,1.5,12.5,12.0,11.83,2.0,1.0,3.5,1.5,albacete
Álex Olmedo,2000034591.0,1.0,11.75,14.0,9.83,1.5,2.0,2.5,2.0,albacete
Chema Nuñez,67232678.0,3.5,9.62,11.5,10.33,2.25,3.5,2.25,1.75,albacete
Ángel Luis Arcas,2000571805.0,2.5,12.62,14.75,13.0,4.0,3.5,2.75,3.5,albacete
Sergej Milinković-Savić,62127037.0,2.5,14.5,11.5,15.17,2.5,2.0,1.5,3.0,amadrd
Manoel Azambuja,2000410625.0,2.25,15.38,16.0,14.42,2.5,1.5,2.25,2.75,amadrd
João Félix,83169822.0,2.0,13.25,12.5,14.33,2.5,3.0,2.0,2.0,amadrd
Pierre Dwomoh,2000006277.0,1.0,13.25,14.5,13.33,2.0,3.0,2.0,2.0,amadrd
Thomas Lemar,85093001.0,3.0,12.0,14.0,12.67,2.0,3.0,2.0,2.0,amadrd
Marcos Llorente,67196198.0,2.5,12.0,11.5,14.33,2.0,1.0,2.5,1.5,amadrd
Alexander Villarreal,2000499325.0,4.0,14.5,15.5,11.17,2.75,2.5,2.0,2.0,amadrd
Phil Foden,28108494.0,2.0,15.0,15.5,14.83,2.5,3.0,3.0,2.0,barc
Jonay Morán,2000194461.0,3.0,14.5,15.0,13.33,2.5,2.5,3.25,1.75,barc
Diego Laínez,51063318.0,2.0,15.25,15.5,14.17,2.0,2.0,1.0,1.0,barc
Rayan Cherki,49056279.0,1.5,15.5,15.0,12.33,2.0,1.0,2.0,2.0,barc
Ilaix Moriba,67279753.0,2.25,15.25,15.5,14.08,2.25,1.5,2.5,1.75,barc
Dejan Kulusevski,43295814.0,2.0,15.5,15.0,15.17,3.0,3.0,1.5,3.0,barc
Gabriel Jesus,19220266.0,1.5,13.5,14.5,13.5,1.5,3.0,2.0,3.0,barc
Harry Kane,28049320.0,2.25,10.0,9.5,16.25,2.0,3.5,2.5,1.25,barc
Vítor Ferreira,83174762.0,2.0,14.5,15.0,15.0,1.5,2.0,2.5,2.5,barc
Gennady Korshunov,2000238109.0,2.75,14.0,15.0,11.17,2.25,1.5,2.75,2.0,barc
Oihan Sancet,67260204.0,2.75,14.0,15.0,12.92,1.5,1.5,2.0,2.0,bilbao
Fran Alonso,2000570282.0,2.5,13.75,16.0,11.58,1.75,2.0,3.5,2.5,bilbao
