Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
José Curras,67294881.0,3.5,13.0,13.5,14.08,1.75,3.0,1.75,2.75,alaves
Vyacheslav Karavaev,58076747.0,1.25,11.38,13.0,13.25,2.5,1.0,3.0,2.75,alaves
Juan Ángel Muñoz,2000512204.0,1.5,12.38,12.0,14.0,2.25,1.5,2.5,2.25,albacete
Diego Moreno,2000024303.0,1.5,12.88,15.5,12.08,3.0,2.0,2.25,3.5,albacete
Ángel Luis Arcas,2000571805.0,2.5,12.62,14.75,13.0,4.0,3.5,2.75,3.5,albacete
Marc Jurado,2000032704.0,2.0,14.0,17.0,12.0,1.75,1.5,2.25,3.0,amadrd
José Giménez,78060464.0,1.5,11.0,10.0,15.83,2.5,1.0,3.25,2.75,amadrd
Noël Roux,2000188122.0,3.0,15.75,17.5,13.83,2.0,4.0,2.5,2.25,barc
Juan Vela,2000489085.0,2.75,15.38,14.75,13.5,3.0,2.5,3.0,3.25,barc
Joan Planchart,2000509911.0,1.75,17.38,15.5,15.92,4.0,2.0,2.5,2.75,barc
Tomás Esteves,83228786.0,2.5,14.5,16.25,13.08,1.75,2.5,2.5,3.0,barc
Asier Grande,2000048078.0,2.0,13.88,16.0,13.58,1.5,2.0,2.25,2.25,bilbao
Yeray,67192475.0,2.5,11.25,12.5,14.92,3.0,1.5,1.75,2.5,bilbao
Unai Núñez,67214595.0,3.25,12.75,12.5,14.25,2.75,1.5,2.0,1.75,bilbao
Julen Letamendia,2000570277.0,2.0,14.0,14.0,15.67,2.75,2.5,3.0,3.5,bilbao
Cameron Wells,2000431769.0,2.25,14.25,15.5,12.08,1.75,2.0,1.75,1.75,cadiz
Cacá,19350725.0,2.25,12.12,12.25,13.5,2.0,2.0,2.25,3.0,cadiz
Nico Mickelson,53138009.0,2.25,12.75,14.0,11.42,2.5,2.5,2.75,1.5,cadiz
Carlos Fernando,2000194985.0,1.5,14.25,12.75,14.25,2.25,3.5,3.0,2.5,coruna
Luis Muñoz,90065199.0,2.75,10.75,11.0,13.75,2.0,2.5,1.75,2.25,coruna
Karim Pérez,2000193717.0,3.75,14.38,12.5,12.92,2.25,1.5,2.25,2.25,coruna
Enock Kwateng,85134692.0,4.0,11.88,11.5,13.25,2.75,2.5,1.75,1.5,coruna
Xabier Santamaría,2000202642.0,2.0,12.88,12.0,10.58,2.75,2.5,2.0,2.75,coruna
Acyr,2000408996.0,3.0,9.0,6.5,15.75,2.5,3.0,1.75,2.0,coruna
César Ramírez,2000194011.0,1.75,13.5,11.0,15.08,3.5,3.0,1.25,2.75,espanyol
Isak Amundsen,53178292.0,3.75,14.75,13.0,14.08,2.75,1.5,1.75,1.25,espanyol
Lucas Forsberg,93141098.0,1.75,12.62,16.5,12.42,3.0,2.0,2.5,3.5,espanyol
Chumi,95036003.0,2.0,12.25,12.0,13.08,3.0,3.0,2.0,2.5,espanyol
Guillem Molina,67260507.0,3.25,12.5,15.0,12.75,2.25,2.0,3.0,3.75,espanyol
Cristian Manea,57120897.0,2.75,13.25,14.5,12.75,2.25,1.5,3.5,1.5,granada
Lovre Vujčić,2000188309.0,1.5,14.0,14.0,12.67,2.5,2.0,1.0,3.0,granada
Ismael Casas,67271373.0,4.25,12.88,15.0,13.58,2.5,1.5,1.5,2.5,granada
Clement Nwabueze,2000710897.0,3.5,14.5,13.0,13.17,1.5,2.0,1.0,2.5,laspalmas
Eugene Kulakov,2000434056.0,2.5,13.75,13.0,12.83,2.0,3.0,2.5,3.5,laspalmas
Nikola Katic,24047814.0,2.25,11.75,9.5,12.92,2.0,4.0,2.25,3.0,laspalmas
Jose Alcaide,2000437774.0,3.0,13.5,12.75,15.58,2.75,2.5,3.75,2.25,laspalmas
Ryan Johansson,90086790.0,2.25,12.62,12.0,12.17,2.75,1.5,4.0,2.25,leganes
Rasmus Lauritsen,27069979.0,2.0,12.88,12.25,14.75,2.5,2.0,3.0,3.0,leganes
Víctor Gómez,67257950.0,1.25,12.12,14.5,11.0,3.0,2.0,2.25,2.25,leganes
Patric,67100019.0,2.75,8.88,6.75,15.5,3.0,2.0,2.5,3.5,leganes
Sergi Rosanas,67265793.0,1.75,12.38,14.5,12.58,3.5,1.0,4.0,3.0,leganes
Eduardo Sarriegi,2000438820.0,1.75,12.62,13.0,13.75,2.5,1.5,3.5,2.5,realhisp
Omar Rekik,91187786.0,1.5,11.25,14.5,13.17,1.0,1.0,2.0,3.0,realhisp
Mujaid Sadick,67249928.0,2.0,13.12,12.75,13.17,2.75,2.5,3.75,3.25,realhisp
Friday Opara,2000442249.0,2.25,13.0,11.5,13.08,2.75,3.0,1.75,4.0,realhisp
Joselito,2000510697.0,3.75,12.75,13.0,14.25,3.5,2.0,3.0,1.75,realhisp
Takehiro Tomiyasu,45095490.0,2.5,15.0,15.0,14.17,2.25,4.0,1.75,1.75,rmdrd
Éder Militão,19273276.0,2.5,15.25,15.0,14.67,2.0,2.0,2.5,2.5,rmdrd
Fabrice Mbassi,2000191910.0,2.25,15.5,14.5,14.0,2.0,2.0,2.75,3.0,rmdrd
Abderrahmane Sefrioui,2000433189.0,2.5,17.0,15.0,14.33,2.5,1.0,2.0,2.5,rmdrd
