Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Adil Aouchiche,49048441.0,13.0,13.17,9.0,11.75,14.25,12.67,13.33,11.75,11.75,14.5,13.75,10.62,13.0,9.83,14.75,12.0,14.5,14.25,12.5,12.0,7.0,alaves
Xabier Garmendia,2000631378.0,16.0,14.67,12.0,11.25,15.5,15.17,11.0,15.5,11.25,14.5,12.0,12.62,14.7,10.33,15.62,15.67,18.0,13.5,14.75,14.0,3.0,alaves
Luca Sangalli,67190076.0,4.5,12.5,3.5,12.0,13.25,11.5,12.33,13.5,12.0,11.75,11.25,15.75,12.4,11.83,10.75,12.33,12.0,13.25,12.5,13.33,11.0,alaves
Ibrahim Sangaré,48042717.0,17.5,11.5,11.0,13.0,12.5,12.83,12.0,12.0,13.0,11.25,13.0,12.0,12.1,13.17,12.5,12.17,11.5,13.0,15.25,10.5,14.0,alaves
Schurrle,83223653.0,7.0,14.67,9.0,11.0,12.5,14.83,12.33,13.75,11.0,13.5,13.0,9.5,14.9,11.17,12.38,13.83,15.0,13.0,11.25,11.5,9.5,alaves
Suleimane Rodrigues,2000190096.0,12.5,11.17,8.0,11.0,12.5,11.5,13.33,10.0,11.0,11.25,10.5,10.75,11.1,11.17,11.75,10.83,10.5,15.0,13.25,11.83,9.0,alaves
Rubén Garrido,2000515088.0,11.5,14.5,8.5,10.75,12.5,12.0,12.5,14.75,10.75,11.0,12.75,11.0,13.3,8.33,12.88,14.17,14.0,13.5,13.75,9.17,11.0,alaves
Ramiro Gabarri,2000198124.0,7.0,10.67,12.0,8.75,14.5,13.17,13.67,9.25,8.75,14.5,10.25,9.38,11.7,6.83,15.75,10.5,13.0,15.5,14.0,14.33,4.0,albacete
Luis Nsambi,2000631649.0,16.0,15.83,7.0,9.0,15.0,12.83,11.0,16.25,9.0,15.25,10.5,9.62,15.1,8.33,13.0,14.33,15.5,14.25,10.0,12.33,9.0,albacete
Francisco Jesús Carbonell,2000440196.0,9.0,14.17,13.0,12.5,14.0,14.5,12.17,16.0,12.5,12.5,13.5,11.62,14.7,11.67,13.88,14.83,12.0,14.0,12.5,10.67,10.0,albacete
Gustavo Zamora,2000512210.0,9.0,12.33,10.0,8.75,16.5,13.17,10.0,11.0,8.75,13.5,10.5,8.88,12.9,7.33,16.0,11.33,16.0,13.0,11.75,11.0,5.0,albacete
Álex Olmedo,2000034591.0,4.0,12.0,9.0,9.0,15.5,11.67,12.0,13.0,9.0,12.0,9.5,9.25,12.2,7.67,13.0,12.0,10.0,14.5,10.5,10.67,9.0,albacete
Antonio Sánchez,67272744.0,7.0,12.17,10.0,12.75,9.25,12.33,8.5,11.75,12.75,9.0,12.75,12.38,12.2,11.83,11.75,12.0,12.5,9.5,11.75,8.33,12.0,albacete
Chema Nuñez,67232678.0,6.5,11.17,7.0,11.5,12.75,13.33,12.67,11.0,11.5,12.25,11.5,10.0,12.6,10.83,11.75,10.83,11.5,13.5,8.0,12.17,6.0,albacete
Simone Panada,43425634.0,11.0,15.0,10.0,13.5,13.5,15.0,12.67,13.5,13.5,13.0,13.0,12.25,14.8,13.0,14.75,14.33,12.0,14.0,14.5,10.67,12.0,amadrd
0,62127037.0,16.0,16.0,16.0,12.5,16.0,15.67,14.0,14.5,12.5,14.5,12.0,15.5,15.8,11.33,13.25,15.0,17.0,16.0,15.5,15.0,12.0,amadrd
Nikola Stanković,2000211075.0,13.5,12.5,9.5,11.25,14.5,12.67,14.83,12.25,11.25,15.0,12.75,11.75,12.5,9.67,17.25,12.5,13.0,16.0,14.25,11.17,9.0,amadrd
Manoel Azambuja,2000410625.0,10.0,15.5,12.0,14.0,17.0,18.17,15.67,16.0,14.0,18.0,15.0,11.75,16.9,12.67,16.38,16.17,19.0,16.5,14.5,15.67,12.0,amadrd
