Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Borja Sainz,67277845.0,4.0,11.38,14.0,11.33,2.0,1.5,2.25,1.5,alaves
Rafa Mir,67221051.0,2.75,14.5,14.0,11.25,2.25,5.0,1.5,3.0,alaves
Lirim Kastrati,24058534.0,3.75,13.0,18.0,10.33,2.75,3.5,2.0,3.75,alaves
Joseph Ngwem,2000202611.0,2.0,14.38,14.0,11.58,3.75,2.5,4.0,3.0,alaves
Luca Sangalli,67190076.0,2.25,11.88,9.0,13.08,3.5,1.5,2.25,2.75,alaves
Ramiro Gabarri,2000198124.0,1.75,14.62,15.0,10.17,1.75,1.5,2.0,2.0,albacete
Mamadou Coly,2000440193.0,3.0,13.5,15.5,10.33,2.75,3.0,2.25,2.25,albacete
Alberto,2000512206.0,2.0,13.38,13.0,10.17,2.5,1.5,3.25,1.75,albacete
Raúl De Tomás,67156425.0,2.75,9.75,10.5,11.75,1.75,1.5,2.25,2.25,albacete
Kike Barja,67196202.0,2.25,11.38,12.5,11.83,2.0,2.5,2.0,2.0,albacete
Chema Nuñez,67232678.0,3.5,9.62,11.5,10.33,2.25,3.5,2.25,1.75,albacete
Fran Pérez,95078306.0,3.75,11.5,14.5,9.67,2.25,3.5,2.25,2.0,albacete
Marc Jurado,2000032704.0,2.0,14.0,17.0,12.0,1.75,1.5,2.25,3.0,amadrd
Nikola Stanković,2000211075.0,1.5,14.88,17.75,12.58,2.5,2.0,4.0,2.75,amadrd
Manoel Azambuja,2000410625.0,2.25,15.38,16.0,14.42,2.5,1.5,2.25,2.75,amadrd
João Félix,83169822.0,2.0,13.25,12.5,14.33,2.5,3.0,2.0,2.0,amadrd
Pierre Dwomoh,2000006277.0,1.0,13.25,14.5,13.33,2.0,3.0,2.0,2.0,amadrd
Thomas Lemar,85093001.0,3.0,12.0,14.0,12.67,2.0,3.0,2.0,2.0,amadrd
Lee Sang-Hoon,2000495264.0,2.0,15.5,16.5,10.33,1.5,2.0,2.0,2.5,amadrd
Alexander Villarreal,2000499325.0,4.0,14.5,15.5,11.17,2.75,2.5,2.0,2.0,amadrd
Noël Roux,2000188122.0,3.0,15.75,17.5,13.83,2.0,4.0,2.5,2.25,barc
Phil Foden,28108494.0,2.0,15.0,15.5,14.83,2.5,3.0,3.0,2.0,barc
Diego Laínez,51063318.0,2.0,15.25,15.5,14.17,2.0,2.0,1.0,1.0,barc
Rayan Cherki,49056279.0,1.5,15.5,15.0,12.33,2.0,1.0,2.0,2.0,barc
Péricles,2000410450.0,2.0,14.5,16.0,11.83,2.0,2.0,1.5,1.5,barc
Pierre Fournier,2000435814.0,3.0,13.5,17.5,12.83,1.0,2.0,1.5,1.5,barc
Dejan Kulusevski,43295814.0,2.0,15.5,15.0,15.17,3.0,3.0,1.5,3.0,barc
Gabriel Jesus,19220266.0,1.5,13.5,14.5,13.5,1.5,3.0,2.0,3.0,barc
Rodrygo,19306929.0,2.75,14.88,15.0,12.42,2.75,1.5,2.5,2.25,barc
Franck Lacroix,2000192663.0,2.5,15.75,16.0,11.42,2.25,2.5,2.0,3.0,barc
Carlos Bidaurrázaga,2000573859.0,2.0,14.5,14.5,12.17,2.5,1.0,2.0,2.0,bilbao
Íñigo Herrera,2000510687.0,3.5,14.5,16.5,11.17,3.0,3.0,2.5,1.5,bilbao
Romain Bertrand,2000438620.0,2.75,15.5,13.0,13.5,3.0,3.0,1.75,1.5,bilbao
Javier Arrue,2000438617.0,2.0,14.5,16.0,10.17,2.0,2.0,1.5,1.5,bilbao
Fran Alonso,2000570282.0,2.5,13.75,16.0,11.58,1.75,2.0,3.5,2.5,bilbao
Aimar Oroz,67276375.0,3.25,11.75,13.0,11.67,2.5,3.5,2.5,2.25,bilbao
Mikel Garai,2000438623.0,2.75,15.25,13.5,12.33,2.0,2.5,1.5,2.75,bilbao
Javier Karanka,2000193733.0,2.0,12.88,15.0,10.5,2.0,2.5,3.5,1.5,bilbao
Luka Jovanović,2000604683.0,2.0,13.0,15.0,9.83,1.5,1.0,2.0,3.0,cadiz
Gerardo Gallardo,2000440602.0,2.75,11.62,17.0,10.0,2.5,2.5,3.5,3.25,cadiz
Henry Onyekuru,18093594.0,2.5,12.38,15.0,11.17,2.75,2.5,2.25,2.0,cadiz
Terry Ashton,2000505936.0,1.5,13.0,16.0,12.0,2.0,3.0,3.0,2.5,cadiz
Jose Antonio Molina,2000571459.0,3.25,13.12,12.5,11.33,3.0,3.5,2.0,2.5,cadiz
Saúl Rodríguez,2000440182.0,2.0,13.5,16.0,12.0,1.5,2.0,3.0,3.0,coruna
Tòfol Montiel,43459237.0,2.0,12.0,13.5,11.67,1.5,2.0,2.5,2.5,coruna
Matías Cavalleri,75049257.0,2.25,12.62,14.5,11.92,3.25,2.5,1.75,2.25,coruna
Alberto Barace,2000663353.0,1.5,12.0,14.5,12.0,3.5,2.0,1.5,2.5,coruna
Nabil Touaizi,28113829.0,3.5,13.5,14.5,10.33,2.25,4.5,2.75,2.0,coruna
Joaquín Correa,14042683.0,3.5,10.25,12.0,13.0,2.25,2.5,2.0,2.25,coruna
Nicolas Pépé,85136376.0,1.75,10.38,13.0,10.0,2.25,2.5,2.5,2.75,coruna
Xabier Santamaría,2000202642.0,2.0,12.88,12.0,10.58,2.75,2.5,2.0,2.75,coruna
Tasos Chatzigiovanis,36096701.0,2.5,11.12,15.0,9.42,2.5,2.0,3.25,2.25,coruna
Oier Zarraga,67260201.0,2.25,13.38,14.5,13.33,3.0,3.0,2.0,3.5,espanyol
Óscar Melendo,67214687.0,2.75,13.0,14.0,13.25,2.5,2.5,3.25,1.5,espanyol
Francisco Conceição,83261140.0,3.25,12.12,13.5,12.33,2.0,2.5,3.0,1.75,espanyol
Jorge De Frutos,67231100.0,2.5,11.5,14.5,12.08,2.75,3.0,2.5,3.0,espanyol
Ricky-Jade Jones,29236380.0,1.25,13.5,18.0,12.17,2.75,3.0,3.0,2.5,espanyol
Miguel Menino,83320117.0,2.0,13.38,14.0,12.5,3.0,1.5,2.75,2.75,espanyol
Tymoteusz Puchacz,96086694.0,3.5,13.88,15.5,12.42,1.75,2.5,4.0,1.75,espanyol
Noé Blasco,2000440885.0,2.0,12.75,14.0,11.5,1.0,1.0,1.5,3.0,espanyol
Iván Martínez,2000510865.0,3.0,13.88,14.0,13.5,2.0,2.0,2.25,1.75,granada
Serafín,2000512562.0,2.25,15.0,17.0,10.17,2.25,3.5,2.0,1.75,granada
Moussa Djenepo,6601602.0,2.75,13.12,15.0,12.0,2.0,2.5,2.5,3.0,granada
Antonio Javier García,2000571328.0,3.5,14.62,15.5,11.5,2.75,4.0,2.75,1.75,granada
Domingo Funcasta,2000510087.0,2.0,12.38,15.5,12.42,2.75,4.0,3.0,2.5,granada
Jesse Lingard,28047560.0,2.0,8.38,10.0,13.83,2.75,2.5,3.0,2.75,granada
Edimilson Fernandes,98030084.0,4.0,11.25,10.5,11.33,2.5,4.5,2.5,2.0,granada
Félix,2000192673.0,1.75,12.5,13.0,11.92,2.25,2.0,3.25,3.0,granada
Migue Ortiz,2000630559.0,2.0,14.25,13.5,12.0,2.0,4.0,2.5,2.0,granada
Emiel Janssens-Callewaert,2000189953.0,4.25,12.88,14.5,9.83,2.25,1.5,3.5,2.5,laspalmas
Carlos Hernandez,2000511264.0,2.75,13.5,17.5,13.33,2.5,1.5,3.25,1.5,laspalmas
Anders Nygaard,2000569028.0,2.0,14.0,12.5,13.33,1.5,1.0,2.0,3.0,laspalmas
Gil Dias,55082920.0,1.5,11.38,13.0,10.58,2.5,2.0,4.5,2.75,laspalmas
Leo Díaz,2000630127.0,2.0,12.75,17.0,11.5,2.0,3.0,3.5,2.5,laspalmas
Àlex Collado,67246435.0,2.5,11.88,13.0,12.17,3.25,2.0,2.5,3.25,leganes
Che Nunnely,37055838.0,2.25,12.5,16.5,11.17,2.5,2.0,2.0,2.5,leganes
Freddy Vargas,86061304.0,3.25,13.25,13.0,12.58,1.75,3.5,2.5,2.5,leganes
Ángel Cabello,2000438822.0,2.5,14.62,13.0,12.17,1.5,1.5,2.0,1.75,leganes
Víctor Gómez,67257950.0,1.25,12.12,14.5,11.0,3.0,2.0,2.25,2.25,leganes
Olaus Skarsem,89051875.0,2.5,9.5,13.0,10.92,2.5,2.5,2.25,2.25,leganes
Gianluca Bellucci,2000508898.0,1.0,13.0,12.5,11.67,2.0,3.0,1.0,1.0,leganes
Ifeanyi Mathew,53141633.0,3.0,12.5,11.0,12.83,2.5,2.0,2.0,3.0,leganes
Nils Mortimer,67265795.0,1.75,12.5,14.5,11.08,1.75,2.5,3.0,2.75,leganes
Miguel,2000192899.0,2.5,14.38,15.75,11.67,2.0,3.5,3.0,2.5,leganes
Jose Carlos,2000438639.0,3.25,14.0,15.5,11.83,2.25,3.5,2.0,1.75,realhisp
Adrian Molina,2000570287.0,2.5,14.25,16.0,10.0,4.25,1.5,2.0,2.75,realhisp
Fabio Blanco,2000034357.0,2.0,13.62,16.0,10.17,2.25,2.5,3.75,1.75,realhisp
Giovanni Cabrera,2000439549.0,2.75,14.25,14.0,12.5,1.5,3.0,2.25,1.5,realhisp
Martín Martínez,2000439252.0,2.25,12.88,12.5,11.33,2.25,1.5,2.75,2.0,realhisp
Kylian Mbappé,85139014.0,1.5,15.25,19.0,14.83,1.5,1.0,1.5,2.5,rmdrd
Raheem Sterling,28054109.0,2.5,14.25,14.5,14.33,2.5,2.0,3.0,2.5,rmdrd
Lê,2000410610.0,2.5,15.62,17.0,13.08,3.0,2.0,2.5,1.75,rmdrd
Vinícius Júnior,19302146.0,2.0,13.88,16.5,14.42,2.0,3.0,1.75,1.75,rmdrd
Boris Peters,2000506902.0,1.5,15.0,17.0,11.5,2.0,4.0,2.5,2.0,rmdrd
Jadon Sancho,28108490.0,2.75,13.5,16.0,12.0,3.25,2.0,3.25,2.25,rmdrd
Odsonne Edouard,48036880.0,2.5,13.75,12.5,11.83,2.0,1.0,2.0,2.5,rmdrd
Ciprian Trandafir,2000189363.0,2.5,14.5,15.5,11.83,2.5,2.0,1.25,3.25,rmdrd
Roberto Bonilla,2000569765.0,3.75,16.0,14.0,13.67,2.25,4.5,2.0,3.5,rmdrd
Piotr Jabłoński,2000623979.0,1.5,14.5,15.0,13.5,2.0,4.0,2.0,1.5,rsana
Luka Bransteter,2000054638.0,2.5,14.25,15.0,13.67,2.0,2.0,2.0,1.5,rsana
Adam Hlozek,31041522.0,2.5,14.25,16.0,11.5,2.0,2.0,1.5,1.5,rsana
Tibo De Vos,2000663034.0,2.0,13.5,16.0,11.83,2.0,3.0,2.5,2.0,rsana
Mikel Oyarzábal,67220143.0,1.5,14.0,13.5,14.5,2.0,2.0,1.5,3.5,rsana
Gabriel Martinelli,19351309.0,1.0,13.25,16.0,14.33,3.0,2.0,3.0,3.5,rsana
Kai Ocaña,2000194470.0,2.0,15.0,15.5,12.83,2.5,2.0,2.5,2.5,rsana
Felipe,2000510074.0,2.5,15.25,13.0,12.33,2.0,2.0,1.5,2.0,rsana
Koldo Valencia,2000663358.0,2.5,11.0,14.5,12.0,1.5,2.0,3.0,2.0,rsana
Isaac Lihadji,49048366.0,2.75,14.12,15.0,12.67,2.5,2.0,2.25,2.5,sevilla
Raphinha,19242277.0,1.75,11.5,14.0,12.83,1.75,3.0,2.25,1.75,sevilla
Munir,67174735.0,2.5,11.12,11.0,12.5,3.0,2.5,2.5,1.5,sevilla
Valeri Gavazov,2000215456.0,1.5,11.62,15.0,9.92,3.75,2.5,3.25,3.5,sevilla
Rogelinho,2000439844.0,2.25,10.75,16.0,10.5,2.5,1.5,2.0,2.0,sevilla
Lucas Ocampos,14031132.0,2.5,11.38,11.5,13.42,2.75,1.5,2.0,2.25,sevilla
Morten Thorsby,53098756.0,1.25,14.12,13.5,14.25,2.75,1.5,3.0,3.0,valencia
Gabriel Jesus,19220266.0,1.5,13.5,14.5,13.5,1.5,3.0,2.0,3.0,valencia
Nico Serrano,67295206.0,2.25,13.12,15.0,10.25,2.0,3.0,3.25,2.0,valencia
Aron Ehlers,2000194937.0,2.5,13.38,15.5,13.17,2.75,2.5,3.5,2.25,valencia
Alberto Leon Fernández,2000631656.0,2.5,12.75,17.0,9.75,2.5,4.0,3.75,2.75,vallecano
Yann Karamoh,85144982.0,3.5,11.12,15.0,9.5,2.5,1.5,3.5,3.0,vallecano
Roberto,2000440887.0,2.25,14.25,15.5,11.92,2.0,2.0,2.75,3.5,vallecano
Eugenio,2000632614.0,2.25,13.25,16.0,12.08,3.0,2.5,2.0,2.25,vallecano
Juan Artola,67260216.0,2.25,9.75,13.0,11.42,3.0,2.0,2.25,2.5,vallecano
Mama Baldé,55070279.0,2.75,11.62,14.0,10.67,2.25,3.5,3.25,2.5,vallecano
Gaizka Larrazabal,67256616.0,3.25,13.0,13.5,11.67,3.0,3.5,2.25,1.75,vallecano
Julio Villalba,79028819.0,2.0,12.62,12.0,13.17,2.5,2.5,2.5,1.75,vallecano
Mohamed Cissé,2000565877.0,2.0,14.5,15.5,12.17,1.5,2.0,2.5,1.0,vallecano
Christian Kouamé,43201838.0,2.5,13.62,16.0,13.58,1.75,2.0,2.0,2.0,vigo
Yago Freitas,2000570843.0,1.5,14.75,16.0,11.17,3.0,1.0,2.5,2.5,vigo
Gorka Alarcón,2000194477.0,1.75,14.75,15.0,9.67,2.25,2.0,3.0,3.25,vigo
Dawid Kownacki,96059679.0,1.75,12.88,13.5,13.33,2.75,3.0,2.0,2.25,vigo
Reiss Nelson,28107919.0,3.0,12.5,14.5,10.83,1.75,4.5,2.25,2.5,vigo
Emil Bohinen,53126104.0,1.75,12.88,13.5,11.92,2.25,2.0,3.0,3.5,vigo
Nino,2000511282.0,2.75,11.75,13.0,11.67,2.75,2.0,2.25,3.0,vigo
Samuel Chukwueze,67269484.0,2.25,14.0,16.0,12.33,2.0,1.5,3.25,2.25,villareal
Javi Ontiveros,67211745.0,1.0,12.5,14.5,11.67,1.0,3.0,2.5,1.5,villareal
Faustino,2000438001.0,2.0,15.75,17.0,11.67,1.5,2.0,2.0,3.0,villareal
Mohamed Cisse,2000509917.0,2.5,13.5,15.0,11.08,2.5,3.0,2.25,3.5,villareal
Gianfranco Giuffrè,2000272929.0,2.5,13.12,15.0,11.17,2.5,2.0,3.0,2.5,villareal
John Córdoba,2000416582.0,3.0,15.25,14.0,11.67,2.0,2.5,2.75,1.75,villareal
Francisco Conceição,83261140.0,3.25,12.12,13.5,12.33,2.0,2.5,3.0,1.75,villareal
Álex,2000509919.0,1.75,12.38,15.5,12.5,2.0,3.5,2.25,3.0,villareal
Ismaïla Sarr,48042766.0,3.5,13.5,15.5,12.17,2.25,3.0,1.75,2.25,zaragoza
Ruben Vargas,98041215.0,1.75,13.38,14.0,12.42,3.0,2.0,2.5,3.25,zaragoza
Fernando Silva,2000439540.0,2.25,15.38,17.5,12.92,2.75,3.0,1.75,4.25,zaragoza
Luis Carbonell,95078291.0,1.25,13.25,13.5,11.33,2.25,2.0,2.5,2.75,zaragoza
Javi Mas,2000511079.0,2.25,13.75,13.25,13.5,2.25,3.0,2.25,3.0,zaragoza
Malcom,19229435.0,2.25,13.5,15.0,12.33,3.0,2.5,2.5,2.25,zaragoza
Marvin,67277459.0,4.5,11.75,15.0,9.67,3.25,3.5,2.0,1.5,zaragoza
Jorge Tato,2000571897.0,2.25,13.75,16.5,11.42,2.75,2.0,2.0,2.75,zaragoza
