Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
José Curras,67294881.0,3.5,13.0,13.5,14.08,1.75,3.0,1.75,2.75,alaves
Arnau Comas,67258409.0,2.75,13.25,14.0,12.75,2.5,1.5,3.5,1.75,alaves
Samir Kacem,2000433838.0,2.25,13.88,14.0,14.5,2.5,4.0,1.75,1.75,alaves
Arnar Bragason,2000357424.0,2.75,14.62,12.5,13.08,2.5,3.5,2.25,2.5,alaves
David Martínez,14136117.0,2.25,12.88,13.5,12.75,2.75,1.5,2.5,2.25,alaves
Ibrahim Sangaré,48042717.0,3.0,14.5,11.0,12.17,2.0,4.5,3.0,2.0,alaves
Juan Ángel Muñoz,2000512204.0,1.5,12.38,12.0,14.0,2.25,1.5,2.5,2.25,albacete
Junior Esparragoza,2000179937.0,2.5,14.0,12.5,13.75,2.25,2.5,2.5,2.75,albacete
Ricardo Peralta,2000438819.0,2.25,11.75,11.5,14.33,2.0,4.0,1.5,3.0,albacete
Antonio Sánchez,67272744.0,2.0,11.88,11.75,12.08,3.0,3.0,2.75,3.0,albacete
Fali,67155014.0,2.0,7.88,7.25,14.5,2.75,2.0,3.25,4.0,albacete
Marc Jurado,2000032704.0,2.0,14.0,17.0,12.0,1.75,1.5,2.25,3.0,amadrd
Nehuén Pérez,14181374.0,2.5,15.0,15.5,15.33,2.5,1.0,2.0,2.5,amadrd
Malang Sarr,48036830.0,1.0,15.5,15.5,14.5,2.5,1.0,2.5,2.5,amadrd
Gonzalo Sánchez,2000416515.0,3.0,16.0,18.0,14.17,2.0,3.0,1.5,3.0,amadrd
José Giménez,78060464.0,1.5,11.0,10.0,15.83,2.5,1.0,3.25,2.75,amadrd
Dimo Krastev,22081455.0,2.75,14.62,13.25,11.75,3.0,3.0,2.5,3.5,amadrd
Ronald Araújo,78085068.0,3.0,13.75,14.5,15.0,2.0,2.0,3.0,3.0,barc
Alessandro Bastoni,43252460.0,2.0,15.5,14.0,15.17,3.5,1.5,3.5,1.75,barc
Juan Vela,2000489085.0,2.75,15.38,14.75,13.5,3.0,2.5,3.0,3.25,barc
Pau Torres,67217522.0,2.5,12.25,13.5,14.5,2.0,2.0,2.0,2.0,barc
Benoît Badiashile,49038942.0,3.25,15.5,15.0,13.92,2.75,1.5,1.75,1.75,barc
Yeray,67192475.0,2.5,11.25,12.5,14.92,3.0,1.5,1.75,2.5,bilbao
Unai Núñez,67214595.0,3.25,12.75,12.5,14.25,2.75,1.5,2.0,1.75,bilbao
Josema,2000682315.0,3.75,16.0,12.5,15.92,2.75,3.0,1.75,3.25,bilbao
Unai Vencedor,67260207.0,2.25,15.5,15.0,14.17,1.75,2.0,2.0,3.25,bilbao
Íñigo Merino,2000442705.0,1.5,12.12,12.0,14.42,3.0,2.0,3.5,3.5,bilbao
Adrián Corral,2000057468.0,2.25,13.38,14.75,12.08,2.25,2.0,3.0,2.25,cadiz
Timo Baumgartl,92065892.0,2.75,11.12,10.0,12.92,2.25,2.0,2.75,2.25,cadiz
Tarsi Bakero,2000193403.0,1.5,13.88,14.25,13.08,2.25,3.5,3.0,2.75,cadiz
Cacá,19350725.0,2.25,12.12,12.25,13.5,2.0,2.0,2.25,3.0,cadiz
Juan Luis,2000664823.0,3.5,11.5,12.0,13.92,2.5,2.5,3.75,2.0,cadiz
Luis Muñoz,90065199.0,2.75,10.75,11.0,13.75,2.0,2.5,1.75,2.25,coruna
Karim Pérez,2000193717.0,3.75,14.38,12.5,12.92,2.25,1.5,2.25,2.25,coruna
Leander Dendoncker,18057380.0,3.0,10.25,9.5,13.08,2.5,2.0,3.0,1.5,coruna
Enock Kwateng,85134692.0,4.0,11.88,11.5,13.25,2.75,2.5,1.75,1.5,coruna
Dani,2000571661.0,4.0,13.0,10.25,12.75,2.0,2.0,2.75,2.25,coruna
César Ramírez,2000194011.0,1.75,13.5,11.0,15.08,3.5,3.0,1.25,2.75,espanyol
Isak Amundsen,53178292.0,3.75,14.75,13.0,14.08,2.75,1.5,1.75,1.25,espanyol
Dušan Stojinović,62218369.0,1.5,12.38,12.0,12.0,3.0,3.0,3.5,3.25,espanyol
Chumi,95036003.0,2.0,12.25,12.0,13.08,3.0,3.0,2.0,2.5,espanyol
Guillem Molina,67260507.0,3.25,12.5,15.0,12.75,2.25,2.0,3.0,3.75,espanyol
Toni Herrero,67277687.0,2.5,12.5,14.0,13.17,2.0,1.0,1.5,2.0,espanyol
Carlos,2000202592.0,2.25,13.62,14.25,11.33,3.0,2.5,2.5,3.5,espanyol
Cristian Manea,57120897.0,2.75,13.25,14.5,12.75,2.25,1.5,3.5,1.5,granada
Lovre Vujčić,2000188309.0,1.5,14.0,14.0,12.67,2.5,2.0,1.0,3.0,granada
Jorge Cuenca,67248170.0,2.75,13.38,13.5,13.08,3.25,2.0,2.25,2.75,granada
Ismael Casas,67271373.0,4.25,12.88,15.0,13.58,2.5,1.5,1.5,2.5,granada
Ulises Campus,2000273292.0,2.25,13.12,13.25,14.67,2.25,2.0,3.75,2.0,granada
Saúl Salcedo,79026928.0,2.25,11.5,10.0,14.08,2.5,3.0,2.0,3.5,granada
Alberto Quintana,67280840.0,3.0,11.88,12.75,12.83,2.0,3.5,3.25,2.5,granada
Denis Vavro,63025710.0,3.0,13.75,12.75,14.42,2.25,2.0,2.5,2.25,granada
Antonio Raúl Escuín,2000440594.0,2.25,14.38,13.0,13.75,3.75,2.0,1.5,2.0,granada
Clement Nwabueze,2000710897.0,3.5,14.5,13.0,13.17,1.5,2.0,1.0,2.5,laspalmas
Eugene Kulakov,2000434056.0,2.5,13.75,13.0,12.83,2.0,3.0,2.5,3.5,laspalmas
Fajar Bayhaqi,2000439532.0,1.75,12.75,10.5,14.5,1.75,2.0,3.0,2.0,laspalmas
Imanol,67276239.0,3.0,12.0,13.0,14.08,2.25,2.5,3.25,2.0,laspalmas
Jordan Torunarigha,91137260.0,3.5,11.75,14.0,12.5,2.5,2.0,1.5,3.0,laspalmas
Nikola Katic,24047814.0,2.25,11.75,9.5,12.92,2.0,4.0,2.25,3.0,laspalmas
Rasmus Lauritsen,27069979.0,2.0,12.88,12.25,14.75,2.5,2.0,3.0,3.0,leganes
Gabriel Torres,2000438016.0,2.5,13.25,12.0,13.33,3.0,2.0,2.5,2.0,leganes
Patric,67100019.0,2.75,8.88,6.75,15.5,3.0,2.0,2.5,3.5,leganes
Dominik Kruzliak,63026929.0,3.25,9.62,7.5,14.25,3.25,2.5,1.75,1.75,leganes
Omar Rekik,91187786.0,1.5,11.25,14.5,13.17,1.0,1.0,2.0,3.0,realhisp
Benjamín Kuscevic,75032824.0,2.5,11.62,11.0,13.25,2.5,1.5,3.0,1.5,realhisp
Valentín Delmás,2000192672.0,3.25,13.75,12.5,13.58,2.0,2.5,2.0,2.0,realhisp
Mujaid Sadick,67249928.0,2.0,13.12,12.75,13.17,2.75,2.5,3.75,3.25,realhisp
Friday Opara,2000442249.0,2.25,13.0,11.5,13.08,2.75,3.0,1.75,4.0,realhisp
Kostyantyn Vivcharenko,71113673.0,3.0,13.5,14.5,13.92,3.0,4.5,1.75,1.5,realhisp
Joselito,2000510697.0,3.75,12.75,13.0,14.25,3.5,2.0,3.0,1.75,realhisp
Takehiro Tomiyasu,45095490.0,2.5,15.0,15.0,14.17,2.25,4.0,1.75,1.75,rmdrd
Boubacar Kamara,48043084.0,1.75,15.25,15.5,14.75,3.0,2.5,1.75,2.0,rmdrd
Éder Militão,19273276.0,2.5,15.25,15.0,14.67,2.0,2.0,2.5,2.5,rmdrd
Zinho Vanheusden,18091405.0,1.5,13.25,13.0,14.0,1.0,1.0,2.0,2.5,rmdrd
Edmond Tapsoba,13196616.0,1.5,14.12,14.0,13.5,1.75,3.0,1.75,2.25,rmdrd
William Saliba,49039004.0,2.0,15.5,15.0,14.0,3.0,3.0,2.5,1.5,rsana
Robin Le Normand,48037162.0,3.5,14.0,13.5,14.17,2.0,2.0,1.5,1.5,rsana
Renato Pereira,2000190646.0,2.5,15.0,13.0,13.83,3.0,3.0,2.5,2.0,rsana
Ignacio Vallina,2000570634.0,1.5,14.5,14.5,15.67,3.0,2.0,2.5,1.0,rsana
David Carmo,83111598.0,1.0,13.25,12.0,13.67,2.0,1.0,1.0,1.0,rsana
Lukas Mohr,2000432897.0,2.5,14.0,14.5,13.17,3.0,3.0,1.0,1.5,rsana
Denis Zakaria,98034601.0,1.0,14.0,14.0,13.83,3.0,2.0,2.5,2.0,rsana
António Silva,83320135.0,2.0,14.0,17.0,12.5,1.0,3.0,2.5,1.5,rsana
John Damiano,2000435431.0,2.0,13.75,13.0,16.17,2.0,2.0,1.0,2.0,rsana
Souza,2000607666.0,2.5,15.5,14.0,15.33,2.0,1.0,2.5,2.0,rsana
Emmanuel,2000569770.0,2.75,13.88,12.25,15.42,2.0,2.5,3.75,2.75,sevilla
José Marsà,67279755.0,2.0,14.5,15.5,13.67,2.0,2.0,1.75,2.5,sevilla
José María Noguera,2000438352.0,2.5,14.25,14.0,14.0,3.0,4.0,2.5,1.5,sevilla
Federico Real,2000193194.0,3.0,13.5,13.75,14.42,1.75,1.5,2.0,2.0,sevilla
Dario Maresic,16170605.0,2.75,14.75,13.5,13.5,2.75,2.5,2.75,2.5,sevilla
Jordan Henderson,28005568.0,3.0,8.75,5.5,16.33,2.5,4.0,2.5,2.5,sevilla
Andri Fannar Sigurgeirsson,2000439839.0,1.75,13.0,13.25,14.08,2.75,3.5,3.5,2.75,sevilla
Urko González de Zárate,2000058330.0,2.0,12.75,15.0,11.83,3.0,3.0,3.5,1.5,valencia
Rubén Iranzo,2000032467.0,2.0,15.0,15.5,13.17,3.0,1.0,1.0,2.0,valencia
Enrico Brancadori,2000436507.0,1.5,16.5,16.0,14.67,2.5,1.0,1.5,2.0,valencia
Mouctar Diakhaby,48036643.0,3.0,13.88,12.5,14.25,2.0,3.5,2.25,1.25,valencia
Georges Teixeira,2000187375.0,3.0,13.38,13.0,13.42,3.25,2.5,3.25,2.25,valencia
Nicolas Cozza,49037761.0,2.0,14.5,13.0,13.17,1.5,1.0,1.5,2.0,valencia
Cristhian Mosquera,2000030816.0,2.5,13.88,13.0,12.42,1.75,4.5,2.25,1.75,valencia
Nikola Colic,2000212623.0,2.75,13.88,13.0,14.75,2.75,2.5,1.75,1.5,vallecano
Ramón Santos,2000440896.0,2.0,14.0,14.75,13.25,2.0,3.5,3.0,2.0,vallecano
Xabier Gourgues,2000663362.0,3.0,13.25,13.5,14.5,1.5,1.0,1.5,2.5,vallecano
Jordi,2000513013.0,1.75,13.62,13.75,13.25,2.75,2.0,3.25,3.25,vallecano
Silvan Hefti,98038279.0,3.0,13.0,13.0,12.75,2.75,2.5,2.75,2.5,vallecano
Carlos Abraham,2000440884.0,3.0,12.75,11.5,14.42,3.0,5.0,1.75,2.5,vallecano
Santi Comesaña,67224142.0,2.0,11.0,11.75,12.92,3.25,3.0,3.0,3.0,vallecano
Álvaro García,89062864.0,4.5,9.88,11.5,12.08,2.5,2.5,2.25,2.0,vallecano
Luís Rodrigues,2000436535.0,3.0,13.75,11.0,14.0,1.5,1.0,2.0,2.5,vigo
Ricardo Graça,83107071.0,2.0,13.75,13.5,12.83,2.25,1.5,3.0,1.75,vigo
Germán,2000194475.0,3.0,14.75,13.0,13.5,3.0,3.0,2.5,2.0,vigo
Ali Tweed,2000432931.0,3.25,12.5,13.0,13.5,3.5,1.5,2.25,2.5,vigo
Timo Zaal,2000022712.0,3.0,13.38,15.0,12.42,2.0,4.5,2.75,1.5,vigo
Junior Esparragoza,2000179937.0,2.5,14.0,12.5,13.75,2.25,2.5,2.5,2.75,vigo
Pedro Esperancinha,2000437963.0,1.5,15.25,12.25,14.58,2.25,3.5,3.0,2.0,vigo
Odilon Kossounou,93127195.0,2.25,12.75,14.25,13.33,2.25,2.5,2.75,3.0,villareal
Didier,2000509916.0,2.0,15.75,15.0,14.17,1.0,1.0,1.5,2.0,villareal
Iván Muñoz,67295020.0,2.5,13.12,14.0,13.0,2.0,3.0,1.75,2.75,villareal
Oriol Busquets,67225653.0,2.75,13.5,13.5,13.83,2.5,4.5,1.75,3.25,villareal
Dmytro Smalyukh,2000461897.0,1.75,14.25,13.5,14.0,3.0,4.0,3.25,2.5,villareal
Abdul Mumin,27128916.0,1.5,14.75,14.5,13.0,3.5,3.0,3.0,2.5,villareal
Alejandro Francés,67281886.0,2.25,14.5,14.0,14.25,2.0,3.5,2.5,2.25,zaragoza
Arkadiusz Marciniak,2000232548.0,1.75,15.62,14.25,12.5,3.25,2.5,2.75,3.5,zaragoza
Quique Clemente,67246261.0,2.25,13.12,14.25,13.67,3.25,2.5,3.25,3.5,zaragoza
Francisco Jesús,2000511084.0,1.25,13.38,11.5,11.42,3.0,2.0,3.5,3.0,zaragoza
