Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
José Curras,67294881,0,1,1,0,1,0,0,0,0,0,0,0,0,0,alaves
Vyacheslav Karavaev,58076747,0,1,0,1,1,0,0,0,0,0,0,0,0,0,alaves
Juan Ángel Muñoz,2000512204,0,1,1,0,0,1,0,0,0,0,0,0,0,0,albacete
Diego Moreno,2000024303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,albacete
Ángel Luis Arcas,2000571805,0,1,0,0,1,0,0,1,0,0,0,1,0,0,albacete
Marc Jurado,2000032704,0,1,1,0,1,0,0,0,0,0,1,0,0,0,amadrd
José Giménez,78060464,0,1,1,0,0,1,0,0,0,0,0,0,0,0,amadrd
Noël Roux,2000188122,0,1,0,1,0,0,0,0,1,0,1,0,0,0,barc
Juan Vela,2000489085,0,1,1,1,0,0,0,0,0,0,0,0,0,0,barc
Joan Planchart,2000509911,0,1,0,0,0,1,0,0,1,0,0,0,0,0,barc
Tomás Esteves,83228786,0,1,0,0,1,0,0,0,0,0,0,0,0,0,barc
Asier Grande,2000048078,0,1,0,0,1,0,0,0,0,0,0,0,0,0,bilbao
Yeray,67192475,0,1,1,0,0,0,0,0,0,0,0,0,0,0,bilbao
Unai Núñez,67214595,0,1,1,0,0,0,0,0,0,0,0,0,0,0,bilbao
Julen Letamendia,2000570277,0,1,0,1,0,1,1,0,0,0,0,0,0,0,bilbao
Cameron Wells,2000431769,0,1,0,1,0,0,1,0,0,0,0,0,0,0,cadiz
Cacá,19350725,0,1,1,0,0,1,0,0,0,0,0,0,0,0,cadiz
Nico Mickelson,53138009,0,1,0,1,1,0,0,0,0,0,0,0,0,0,cadiz
Carlos Fernando,2000194985,0,1,0,0,1,0,0,0,0,0,0,0,0,0,coruna
Luis Muñoz,90065199,0,1,1,0,0,1,0,0,1,0,0,0,0,0,coruna
Karim Pérez,2000193717,0,1,1,0,0,1,0,0,1,0,0,0,0,0,coruna
Enock Kwateng,85134692,0,1,1,0,1,0,0,0,0,0,0,0,0,0,coruna
Xabier Santamaría,2000202642,0,1,0,0,0,0,0,1,0,0,1,1,0,0,coruna
Acyr,2000408996,0,1,0,1,0,0,1,0,0,0,0,0,0,0,coruna
César Ramírez,2000194011,0,1,1,0,1,1,0,0,0,0,0,0,0,0,espanyol
Isak Amundsen,53178292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,espanyol
Lucas Forsberg,93141098,0,1,0,1,1,0,0,0,0,0,0,0,0,0,espanyol
Chumi,95036003,0,1,1,0,0,1,0,0,0,0,0,0,0,0,espanyol
Guillem Molina,67260507,0,1,1,0,0,0,0,0,0,0,0,0,0,0,espanyol
Cristian Manea,57120897,0,1,1,0,1,0,0,0,0,0,0,0,0,0,granada
Lovre Vujčić,2000188309,0,1,1,0,0,0,0,0,0,0,0,0,0,0,granada
Ismael Casas,67271373,0,1,1,1,1,0,0,0,0,0,0,0,0,0,granada
Clement Nwabueze,2000710897,0,1,1,0,0,1,0,0,0,0,0,0,0,0,laspalmas
Eugene Kulakov,2000434056,0,1,1,0,0,1,0,0,0,0,0,0,0,0,laspalmas
Nikola Katic,24047814,0,1,1,1,0,0,0,0,0,0,0,0,0,0,laspalmas
Jose Alcaide,2000437774,0,1,0,1,0,0,0,0,0,0,0,0,0,0,laspalmas
Ryan Johansson,90086790,0,1,0,1,1,1,0,0,1,0,0,0,0,0,leganes
Rasmus Lauritsen,27069979,0,1,1,0,0,1,0,0,0,0,0,0,0,0,leganes
Víctor Gómez,67257950,0,1,0,0,1,0,0,0,0,0,1,0,0,0,leganes
Patric,67100019,0,1,1,0,1,1,0,0,0,0,0,0,0,0,leganes
Sergi Rosanas,67265793,0,1,0,1,1,0,0,0,0,0,0,0,0,0,leganes
