Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Borja Sainz,67277845.0,4.0,11.38,14.0,11.33,2.0,1.5,2.25,1.5,alaves
Xabier Garmendia,2000631378.0,3.5,15.62,14.5,14.17,3.25,3.0,1.75,3.25,alaves
Ander Imaz,2000439533.0,2.5,13.5,16.0,9.75,2.25,4.0,2.0,3.0,alaves
Rafa Mir,67221051.0,2.75,14.5,14.0,11.25,2.25,5.0,1.5,3.0,alaves
Alexander Sørloth,53063430.0,3.0,13.75,12.5,13.42,2.5,3.0,1.5,3.25,alaves
Lirim Kastrati,24058534.0,3.75,13.0,18.0,10.33,2.75,3.5,2.0,3.75,alaves
Joseph Ngwem,2000202611.0,2.0,14.38,14.0,11.58,3.75,2.5,4.0,3.0,alaves
Karim El-Tayeb,2000068663.0,2.0,8.5,14.0,12.58,3.5,2.5,2.5,2.5,alaves
Raúl De Tomás,67156425.0,2.75,9.75,10.5,11.75,1.75,1.5,2.25,2.25,albacete
Bright Adjei,2000660374.0,1.5,12.5,12.0,11.83,2.0,1.0,3.5,1.5,albacete
Chema Nuñez,67232678.0,3.5,9.62,11.5,10.33,2.25,3.5,2.25,1.75,albacete
Ezequiel Aranda,14246685.0,3.5,14.38,15.0,13.42,3.25,2.0,1.75,2.75,albacete
João Félix,83169822.0,2.0,13.25,12.5,14.33,2.5,3.0,2.0,2.0,amadrd
Oğuz Civelek,2000232509.0,3.0,16.0,16.5,12.83,2.0,2.5,3.5,1.75,amadrd
Pierre Dwomoh,2000006277.0,1.0,13.25,14.5,13.33,2.0,3.0,2.0,2.0,amadrd
Lorenzo Granelli,2000437491.0,1.5,16.75,15.5,13.5,2.0,3.0,2.5,1.0,amadrd
Rayan Cherki,49056279.0,1.5,15.5,15.0,12.33,2.0,1.0,2.0,2.0,barc
Radovan Drakulić,2000211170.0,2.5,17.0,16.0,13.5,2.0,3.0,2.0,2.0,barc
Péricles,2000410450.0,2.0,14.5,16.0,11.83,2.0,2.0,1.5,1.5,barc
Pierre Fournier,2000435814.0,3.0,13.5,17.5,12.83,1.0,2.0,1.5,1.5,barc
Dejan Kulusevski,43295814.0,2.0,15.5,15.0,15.17,3.0,3.0,1.5,3.0,barc
Gabriel Jesus,19220266.0,1.5,13.5,14.5,13.5,1.5,3.0,2.0,3.0,barc
Rodrygo,19306929.0,2.75,14.88,15.0,12.42,2.75,1.5,2.5,2.25,barc
Harry Kane,28049320.0,2.25,10.0,9.5,16.25,2.0,3.5,2.5,1.25,barc
Franck Lacroix,2000192663.0,2.5,15.75,16.0,11.42,2.25,2.5,2.0,3.0,barc
Gennady Korshunov,2000238109.0,2.75,14.0,15.0,11.17,2.25,1.5,2.75,2.0,barc
Carlos Bidaurrázaga,2000573859.0,2.0,14.5,14.5,12.17,2.5,1.0,2.0,2.0,bilbao
Romain Bertrand,2000438620.0,2.75,15.5,13.0,13.5,3.0,3.0,1.75,1.5,bilbao
Javier Arrue,2000438617.0,2.0,14.5,16.0,10.17,2.0,2.0,1.5,1.5,bilbao
Mikel Garai,2000438623.0,2.75,15.25,13.5,12.33,2.0,2.5,1.5,2.75,bilbao
Jon Magunazelaia,2000438619.0,2.25,12.5,13.0,13.0,2.75,2.5,2.5,2.5,bilbao
Henry Onyekuru,18093594.0,2.5,12.38,15.0,11.17,2.75,2.5,2.25,2.0,cadiz
Toni Dorado,2000197158.0,1.75,12.88,10.0,12.25,2.5,1.0,2.25,2.75,cadiz
Terry Ashton,2000505936.0,1.5,13.0,16.0,12.0,2.0,3.0,3.0,2.5,cadiz
Toni Martínez,67216151.0,2.25,12.75,12.5,13.42,3.0,2.5,2.5,3.25,cadiz
Yesinguer Vinasco,2000415655.0,2.0,13.88,13.0,11.33,3.0,1.5,2.5,1.5,cadiz
Juanmi Ávila,2000441358.0,1.5,13.12,10.5,11.67,2.75,2.0,3.5,2.5,cadiz
Ion Etxabe,2000514435.0,3.0,10.62,15.0,10.83,2.5,2.0,3.0,2.5,cadiz
Jose Antonio Molina,2000571459.0,3.25,13.12,12.5,11.33,3.0,3.5,2.0,2.5,cadiz
Saúl Rodríguez,2000440182.0,2.0,13.5,16.0,12.0,1.5,2.0,3.0,3.0,coruna
Tòfol Montiel,43459237.0,2.0,12.0,13.5,11.67,1.5,2.0,2.5,2.5,coruna
Alberto Barace,2000663353.0,1.5,12.0,14.5,12.0,3.5,2.0,1.5,2.5,coruna
Iago Salamanca,2000710728.0,3.75,10.62,11.25,12.08,3.0,3.5,1.5,2.75,coruna
Nabil Touaizi,28113829.0,3.5,13.5,14.5,10.33,2.25,4.5,2.75,2.0,coruna
Joaquín Correa,14042683.0,3.5,10.25,12.0,13.0,2.25,2.5,2.0,2.25,coruna
Ricardo,2000443686.0,3.25,13.25,16.5,11.0,2.5,4.5,2.75,1.25,coruna
David,2000441683.0,1.75,13.38,13.5,11.75,2.75,2.0,3.0,3.5,espanyol
Ricky-Jade Jones,29236380.0,1.25,13.5,18.0,12.17,2.75,3.0,3.0,2.5,espanyol
José Luis Ruano,2000572819.0,2.75,12.88,16.5,9.83,2.75,4.0,2.75,1.25,espanyol
Iván Martínez,2000510865.0,3.0,13.88,14.0,13.5,2.0,2.0,2.25,1.75,granada
Moussa Djenepo,6601602.0,2.75,13.12,15.0,12.0,2.0,2.5,2.5,3.0,granada
Luis Suárez,76046285.0,3.25,14.0,15.0,13.75,2.75,3.0,2.0,3.5,granada
Jose Luis,2000438355.0,3.0,13.88,15.0,13.75,2.0,3.0,2.0,2.0,granada
Antonio Javier García,2000571328.0,3.5,14.62,15.5,11.5,2.75,4.0,2.75,1.75,granada
Jesse Lingard,28047560.0,2.0,8.38,10.0,13.83,2.75,2.5,3.0,2.75,granada
Emiel Janssens-Callewaert,2000189953.0,4.25,12.88,14.5,9.83,2.25,1.5,3.5,2.5,laspalmas
Carlos Hernandez,2000511264.0,2.75,13.5,17.5,13.33,2.5,1.5,3.25,1.5,laspalmas
Anders Nygaard,2000569028.0,2.0,14.0,12.5,13.33,1.5,1.0,2.0,3.0,laspalmas
Marian Vasilache,2000328740.0,3.0,14.75,12.5,11.75,2.25,1.5,2.0,1.75,laspalmas
Isaiah Álvarez,2000630129.0,3.5,12.5,14.0,10.5,3.75,1.5,2.75,2.0,laspalmas
Ángel Cabello,2000438822.0,2.5,14.62,13.0,12.17,1.5,1.5,2.0,1.75,leganes
Olaus Skarsem,89051875.0,2.5,9.5,13.0,10.92,2.5,2.5,2.25,2.25,leganes
Javier Pascua,2000573866.0,3.0,12.75,14.5,10.58,2.75,2.5,3.0,2.0,leganes
Nils Mortimer,67265795.0,1.75,12.5,14.5,11.08,1.75,2.5,3.0,2.75,leganes
Fran López,67279609.0,3.25,11.62,13.0,11.92,3.25,1.5,1.75,2.0,leganes
Álvaro Santamaría,67298126.0,2.5,13.5,13.5,11.33,3.0,2.5,2.25,1.75,leganes
Abel Angulo,2000438635.0,2.5,12.12,11.0,12.83,2.25,2.0,3.0,2.75,realhisp
Atanas Yordanov,2000215422.0,2.25,14.5,15.5,10.17,1.75,4.5,2.0,2.0,realhisp
Alfonso Miranda,2000629593.0,3.0,14.25,14.5,10.67,2.25,3.0,2.25,3.25,realhisp
Giovanni Cabrera,2000439549.0,2.75,14.25,14.0,12.5,1.5,3.0,2.25,1.5,realhisp
Ignatius Ganago,49045927.0,3.5,14.5,14.5,11.83,2.5,3.5,2.25,1.5,realhisp
Marc Trives,2000439546.0,2.5,11.12,13.0,11.33,2.25,2.0,2.5,1.5,realhisp
Kylian Mbappé,85139014.0,1.5,15.25,19.0,14.83,1.5,1.0,1.5,2.5,rmdrd
Raheem Sterling,28054109.0,2.5,14.25,14.5,14.33,2.5,2.0,3.0,2.5,rmdrd
Lê,2000410610.0,2.5,15.62,17.0,13.08,3.0,2.0,2.5,1.75,rmdrd
Vinícius Júnior,19302146.0,2.0,13.88,16.5,14.42,2.0,3.0,1.75,1.75,rmdrd
Boris Peters,2000506902.0,1.5,15.0,17.0,11.5,2.0,4.0,2.5,2.0,rmdrd
Odsonne Edouard,48036880.0,2.5,13.75,12.5,11.83,2.0,1.0,2.0,2.5,rmdrd
Roberto Bonilla,2000569765.0,3.75,16.0,14.0,13.67,2.25,4.5,2.0,3.5,rmdrd
Luka Bransteter,2000054638.0,2.5,14.25,15.0,13.67,2.0,2.0,2.0,1.5,rsana
Adam Hlozek,31041522.0,2.5,14.25,16.0,11.5,2.0,2.0,1.5,1.5,rsana
Tibo De Vos,2000663034.0,2.0,13.5,16.0,11.83,2.0,3.0,2.5,2.0,rsana
Mikel Oyarzábal,67220143.0,1.5,14.0,13.5,14.5,2.0,2.0,1.5,3.5,rsana
Gabriel Martinelli,19351309.0,1.0,13.25,16.0,14.33,3.0,2.0,3.0,3.5,rsana
Gaetano Oristanio,43425611.0,2.0,14.0,14.5,12.33,2.5,2.0,1.0,2.5,rsana
Felipe,2000510074.0,2.5,15.25,13.0,12.33,2.0,2.0,1.5,2.0,rsana
Munir,67174735.0,2.5,11.12,11.0,12.5,3.0,2.5,2.5,1.5,sevilla
Gonçalo Ramos,83209468.0,2.25,12.75,12.5,13.25,2.25,3.0,3.25,2.25,sevilla
Rogelinho,2000439844.0,2.25,10.75,16.0,10.5,2.5,1.5,2.0,2.0,sevilla
Lucas Ocampos,14031132.0,2.5,11.38,11.5,13.42,2.75,1.5,2.0,2.25,sevilla
Rasmus Højlund,27160181.0,2.25,12.25,14.0,12.33,1.75,3.0,3.25,2.0,sevilla
Alvaro,2000510252.0,2.75,16.0,15.0,13.33,2.25,3.5,2.5,1.25,sevilla
Bartol Barišić,24065111.0,3.0,13.5,12.0,14.0,3.5,2.0,1.5,1.0,valencia
Gabriel Jesus,19220266.0,1.5,13.5,14.5,13.5,1.5,3.0,2.0,3.0,valencia
Nico Serrano,67295206.0,2.25,13.12,15.0,10.25,2.0,3.0,3.25,2.0,valencia
Joaquín Salgado,2000272916.0,3.0,13.25,16.5,11.0,3.0,1.0,2.5,2.0,valencia
Alberto Leon Fernández,2000631656.0,2.5,12.75,17.0,9.75,2.5,4.0,3.75,2.75,vallecano
Yann Karamoh,85144982.0,3.5,11.12,15.0,9.5,2.5,1.5,3.5,3.0,vallecano
Roberto,2000440887.0,2.25,14.25,15.5,11.92,2.0,2.0,2.75,3.5,vallecano
Eugenio,2000632614.0,2.25,13.25,16.0,12.08,3.0,2.5,2.0,2.25,vallecano
Juan Artola,67260216.0,2.25,9.75,13.0,11.42,3.0,2.0,2.25,2.5,vallecano
Mama Baldé,55070279.0,2.75,11.62,14.0,10.67,2.25,3.5,3.25,2.5,vallecano
Julio Villalba,79028819.0,2.0,12.62,12.0,13.17,2.5,2.5,2.5,1.75,vallecano
Mohamed Cissé,2000565877.0,2.0,14.5,15.5,12.17,1.5,2.0,2.5,1.0,vallecano
Christian Kouamé,43201838.0,2.5,13.62,16.0,13.58,1.75,2.0,2.0,2.0,vigo
Yago Freitas,2000570843.0,1.5,14.75,16.0,11.17,3.0,1.0,2.5,2.5,vigo
Dawid Kownacki,96059679.0,1.75,12.88,13.5,13.33,2.75,3.0,2.0,2.25,vigo
Reiss Nelson,28107919.0,3.0,12.5,14.5,10.83,1.75,4.5,2.25,2.5,vigo
Faustino,2000438001.0,2.0,15.75,17.0,11.67,1.5,2.0,2.0,3.0,villareal
Mohamed Cisse,2000509917.0,2.5,13.5,15.0,11.08,2.5,3.0,2.25,3.5,villareal
Fernando Niño,67258829.0,2.0,11.88,13.0,13.58,2.0,1.5,3.0,2.5,villareal
Yesinguer Vinasco,2000415655.0,2.0,13.88,13.0,11.33,3.0,1.5,2.5,1.5,villareal
Álex,2000509919.0,1.75,12.38,15.5,12.5,2.0,3.5,2.25,3.0,villareal
Ismaïla Sarr,48042766.0,3.5,13.5,15.5,12.17,2.25,3.0,1.75,2.25,zaragoza
Dídac,2000437768.0,3.5,13.25,12.5,14.5,2.5,1.0,1.5,2.0,zaragoza
Jorge Cañadas,2000511078.0,3.0,15.0,14.0,10.83,2.5,3.5,2.25,1.75,zaragoza
Fernando Silva,2000439540.0,2.25,15.38,17.5,12.92,2.75,3.0,1.75,4.25,zaragoza
Luis Carbonell,95078291.0,1.25,13.25,13.5,11.33,2.25,2.0,2.5,2.75,zaragoza
Jesus Carrasco,2000439537.0,2.0,12.25,15.0,10.0,2.5,3.0,2.5,3.0,zaragoza
Ander Imaz,2000439533.0,2.5,13.5,16.0,9.75,2.25,4.0,2.0,3.0,zaragoza
Jorge Tato,2000571897.0,2.25,13.75,16.5,11.42,2.75,2.0,2.0,2.75,zaragoza
