Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC,Team
Andrés Céspedes,2000043877,11.72,9.8,9.8,9.49,9.67,9.67,9.28,9.28,9.28,9.32,9.44,9.44,9.54,8.76,alaves
Carlos Abad,67198215,11.48,9.6,9.6,9.51,9.44,9.44,9.47,9.07,9.07,9.68,8.84,8.84,9.48,8.55,alaves
Stefan Ranđelović,62247042,11.62,10.07,10.07,9.61,10.0,10.0,9.9,9.85,9.85,10.19,9.76,9.76,10.11,9.18,alaves
Mauricio Morán,2000192669,11.74,9.55,9.55,9.37,9.3,9.3,9.09,8.84,8.84,9.04,8.76,8.76,8.95,8.12,albacete
Guillermo Centurión,78095397,11.17,9.16,9.16,9.03,8.9,8.9,8.89,8.72,8.72,9.09,8.61,8.61,8.99,8.0,albacete
Sem Westerveld,37079077,10.23,7.41,7.41,7.57,6.96,6.96,6.71,6.49,6.49,6.64,6.27,6.27,6.52,6.25,albacete
Jan Oblak,64016316,12.17,9.75,9.75,9.9,9.31,9.31,9.77,9.05,9.05,9.84,8.68,8.68,9.33,8.58,amadrd
Matteo Godfroid,18114989,11.85,10.17,10.17,10.2,9.95,9.95,9.68,9.65,9.65,9.86,9.63,9.63,9.88,9.66,amadrd
Unai Simón,67200923,13.71,11.63,11.63,11.55,11.36,11.36,11.14,11.04,11.04,11.36,11.03,11.03,11.45,10.83,barc
0,35017428,12.12,10.04,10.04,10.16,9.72,9.72,9.97,9.55,9.55,10.24,9.13,9.13,9.84,9.28,barc
Diego Aizpurua,2000193388,13.17,10.72,10.72,10.35,10.44,10.44,10.23,9.96,9.96,10.09,9.82,9.82,10.27,9.37,bilbao
Arkaitz Jauregi,2000350400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bilbao
Alfredo Trelles,2000200467,11.43,9.14,9.14,9.05,8.77,8.77,8.77,8.38,8.38,8.64,8.28,8.28,8.61,7.72,cadiz
Juan Soriano,67193103,11.67,9.78,9.78,9.78,9.46,9.46,9.29,9.04,9.04,9.37,8.91,8.91,9.24,9.1,cadiz
José Aurelio Suárez,67153377,11.39,9.7,9.7,9.47,9.54,9.54,9.37,9.27,9.27,9.57,9.19,9.19,9.48,8.94,coruna
Saúl,2000664224,11.58,8.72,8.72,8.77,8.14,8.14,8.29,7.87,7.87,8.09,7.66,7.66,8.07,7.18,coruna
Gregor Kobel,98040383,12.39,10.3,10.3,10.32,9.96,9.96,9.76,9.64,9.64,9.88,9.54,9.54,9.88,9.54,espanyol
