Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Andrés Céspedes,2000043877.0,14.5,11.12,14.5,12.42,11.5,3.5,15.0,14.0,alaves
Carlos Abad,67198215.0,14.75,10.62,9.0,11.92,12.0,4.5,15.0,13.0,alaves
Stefan Ranđelović,62247042.0,11.5,10.88,11.5,13.83,13.5,6.5,13.0,12.5,alaves
Mauricio Morán,2000192669.0,14.5,13.5,10.25,12.17,13.0,7.0,14.0,10.5,albacete
Guillermo Centurión,78095397.0,13.5,9.62,11.0,11.0,11.25,10.5,9.5,12.0,albacete
Sem Westerveld,37079077.0,11.5,8.25,7.0,10.83,11.5,10.0,13.5,9.5,albacete
Jan Oblak,64016316.0,18.0,9.25,6.5,14.33,16.0,4.0,16.5,16.0,amadrd
Matteo Godfroid,18114989.0,13.5,11.75,12.0,10.67,12.0,6.0,15.0,13.0,amadrd
Unai Simón,67200923.0,16.5,11.5,13.5,13.67,15.5,7.0,15.5,15.0,barc
Marc-André ter Stegen,35017428.0,18.0,10.25,7.0,15.33,15.0,12.0,13.0,19.0,barc
Diego Aizpurua,2000193388.0,15.0,14.0,11.0,13.33,12.5,16.0,13.5,11.5,bilbao
Arkaitz Jauregi,2000350400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bilbao
Alfredo Trelles,2000200467.0,16.0,10.25,10.0,12.83,13.5,1.0,13.5,11.5,cadiz
Juan Soriano,67193103.0,14.5,13.0,7.25,13.33,12.25,15.5,13.5,12.0,cadiz
José Aurelio Suárez,67153377.0,12.25,11.88,9.5,11.92,10.5,7.5,11.0,12.5,coruna
Saúl,2000664224.0,14.0,9.88,7.25,12.83,11.25,6.0,12.75,9.0,coruna
Gregor Kobel,98040383.0,13.5,12.38,10.75,12.83,14.0,10.0,14.5,14.5,espanyol
Cezary Miszta,96122113.0,14.5,11.62,9.0,13.17,11.75,6.5,16.0,13.0,espanyol
Arnau Tenas,67265794.0,16.5,11.12,10.0,11.83,11.25,14.5,14.5,13.0,granada
Cristian Rivero,67246343.0,14.0,7.75,12.75,12.17,13.75,5.5,15.0,12.5,granada
Koke Vegas,67196252.0,14.0,11.12,8.75,12.75,13.25,9.0,13.5,13.0,laspalmas
Alfredo Iglesias,2000194460.0,12.0,11.0,10.25,12.17,11.75,2.0,15.75,8.75,laspalmas
Javi Izquierdo,67288498.0,15.5,11.88,9.25,12.25,14.5,7.0,12.5,11.0,leganes
Aarón Escandell,67192427.0,14.75,9.75,7.5,11.5,13.75,6.0,14.5,13.0,leganes
Ramiro Macagno,14157119.0,14.5,10.75,12.25,13.17,11.25,6.5,15.0,12.5,realhisp
Jairo,2000737759.0,12.0,10.75,12.0,9.83,11.0,2.0,13.0,9.5,realhisp
Dragan Rosić,62167554.0,12.0,11.5,10.25,12.33,12.25,8.5,13.0,12.5,realhisp
Thibaut Courtois,18026122.0,18.5,8.75,4.5,15.17,15.0,5.0,18.0,16.5,rmdrd
Francisco Mora,2000437769.0,15.0,14.62,8.0,12.5,13.25,2.0,14.0,13.5,rmdrd
Kim Christian Høyenhall,2000182998.0,15.0,12.5,10.5,11.0,13.0,2.0,13.5,13.5,rsana
Álex Remiro,67183918.0,15.0,11.25,11.5,12.67,14.0,8.0,14.0,15.0,rsana
Arijanet Murić,28108492.0,14.5,11.5,13.75,13.17,11.0,5.0,15.5,13.0,sevilla
Gautier Larsonneur,85133818.0,16.5,12.88,11.5,13.42,14.0,12.0,12.0,13.5,valencia
Salvador Poveda,2000137183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,valencia
Predrag Rajković,62076152.0,14.0,12.12,9.75,13.08,15.75,14.0,13.5,13.5,valencia
Pedro Javier López,2000202554.0,14.5,12.25,10.5,13.25,12.0,9.0,15.0,12.0,vallecano
Alex Hernando,2000197164.0,14.0,9.25,12.0,13.25,12.25,8.0,9.75,12.75,vallecano
Rubén Blanco,67156610.0,16.5,11.25,10.5,13.08,13.5,7.0,14.5,13.5,vigo
Sergio Rico,67171745.0,15.0,8.25,4.75,12.67,11.75,6.5,13.0,12.5,vigo
Emrah Ağın,2000244749.0,15.0,12.38,11.25,14.17,14.75,11.0,13.5,12.5,villareal
Carles,2000192884.0,13.25,12.38,10.5,12.83,12.5,7.5,15.0,12.5,villareal
José Vicente Muñoz,2000509912.0,9.5,11.5,12.25,11.83,11.75,2.0,14.0,12.0,villareal
Pablo,2000193992.0,16.0,13.0,13.0,13.17,12.5,1.0,13.5,12.0,zaragoza
Martín Merino,2000201919.0,14.5,10.62,4.75,12.0,9.25,12.5,14.0,9.5,zaragoza
