Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Javi López,67293674,0,0,0,1,0,0,1,0,0,1,0,0,0,0,alaves
Borja Sainz,67277845,0,0,0,0,0,0,0,1,0,1,1,0,0,1,alaves
Ander Imaz,2000439533,0,0,0,0,0,0,0,0,0,1,0,0,1,1,alaves
Lirim Kastrati,24058534,0,0,0,0,0,0,0,1,0,1,1,0,1,1,alaves
Asier Rodríguez,2000572954,0,0,0,0,0,0,0,0,0,1,0,0,1,0,alaves
Birger Meling,29126536,0,0,0,1,0,0,1,0,0,1,0,0,1,0,alaves
Rubén Garrido,2000515088,0,0,0,0,0,0,0,0,1,1,0,0,0,0,alaves
Ramiro Gabarri,2000198124,0,0,0,0,0,0,0,0,1,1,1,1,1,0,albacete
Alberto,2000512206,0,0,0,0,0,0,0,0,0,1,1,1,1,0,albacete
Kike Barja,67196202,0,0,0,0,0,0,0,1,0,1,1,0,1,0,albacete
Fran Pérez,95078306,0,0,0,0,0,0,0,1,0,1,1,0,1,0,albacete
Juan Manuel,2000510085,0,0,0,1,0,0,1,0,0,1,0,0,0,0,amadrd
Thomas Lemar,85093001,0,0,0,1,0,0,0,1,1,1,1,1,1,0,amadrd
Jonay Morán,2000194461,0,0,0,0,0,0,0,0,1,1,0,1,0,0,barc
Diego Laínez,51063318,0,0,0,0,0,0,0,1,0,1,1,1,1,0,barc
Rayan Cherki,49056279,0,0,0,0,0,0,0,0,0,1,1,1,1,1,barc
Pierre Fournier,2000435814,0,0,0,0,0,0,0,0,0,1,1,0,1,1,barc
Rodrygo,19306929,0,0,0,0,0,0,0,1,0,1,1,0,1,1,barc
Íñigo Herrera,2000510687,0,0,0,0,0,0,0,0,1,1,1,0,1,0,bilbao
Aimar Oroz,67276375,0,0,0,0,0,0,0,0,1,1,1,1,1,0,bilbao
Jon Magunazelaia,2000438619,0,0,0,0,0,0,0,0,1,1,0,1,1,1,bilbao
Maximilian Mittelstädt,91143714,0,0,0,1,0,0,1,0,0,1,0,0,0,0,cadiz
Henry Onyekuru,18093594,0,0,0,0,0,0,0,0,0,1,1,0,1,1,cadiz
Jan Crettaz,2000571662,0,0,0,0,0,1,0,0,1,1,0,0,0,0,coruna
Kepa Uriarte,67277833,0,0,0,0,0,0,0,0,1,1,0,0,1,0,coruna
Saúl Rodríguez,2000440182,0,0,0,0,0,0,0,0,0,1,1,1,1,1,coruna
Matías Cavalleri,75049257,0,0,0,0,0,0,0,1,0,1,1,0,1,0,coruna
Joaquín Correa,14042683,0,0,0,0,0,0,0,0,1,1,1,1,1,1,coruna
