Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Javi López,67293674.0,3.0,13.88,14.75,11.5,2.75,2.0,3.25,2.25,alaves
Birger Meling,29126536.0,2.25,10.5,11.0,13.58,2.0,2.5,3.75,2.0,alaves
Josep,2000513274.0,2.25,15.75,15.0,12.42,2.25,2.5,1.75,3.0,albacete
Juan Manuel,2000510085.0,2.5,15.75,14.0,13.83,2.5,4.0,1.5,2.5,amadrd
Sergio Reguilón,67211900.0,3.5,14.25,13.5,14.75,2.0,3.0,1.5,2.5,barc
Julen Letamendia,2000570277.0,2.0,14.0,14.0,15.67,2.75,2.5,3.0,3.5,bilbao
Oier López,67277836.0,3.5,13.25,13.5,13.25,2.75,3.0,1.75,2.75,bilbao
Cameron Wells,2000431769.0,2.25,14.25,15.5,12.08,1.75,2.0,1.75,1.75,cadiz
Maximilian Mittelstädt,91143714.0,2.75,11.5,13.25,12.58,2.25,2.5,2.0,2.0,cadiz
Tommaso Augello,43096264.0,2.0,10.0,9.5,13.25,2.75,2.5,2.75,2.0,coruna
Acyr,2000408996.0,3.0,9.0,6.5,15.75,2.5,3.0,1.75,2.0,coruna
Toni Herrero,67277687.0,2.5,12.5,14.0,13.17,2.0,1.0,1.5,2.0,espanyol
Tymoteusz Puchacz,96086694.0,3.5,13.88,15.5,12.42,1.75,2.5,4.0,1.75,espanyol
Josep,2000513274.0,2.25,15.75,15.0,12.42,2.25,2.5,1.75,3.0,espanyol
Imanol,67276239.0,3.0,12.0,13.0,14.08,2.25,2.5,3.25,2.0,laspalmas
Javi Galán,67243881.0,2.0,11.25,12.25,14.58,2.25,4.5,2.75,2.5,laspalmas
Braian Cufré,14131295.0,1.75,11.88,13.5,13.5,2.0,4.0,1.75,3.0,leganes
Sebastián Cabrera,75036622.0,3.25,12.88,13.5,14.08,2.75,1.5,2.0,2.75,leganes
Eduardo Sarriegi,2000438820.0,1.75,12.62,13.0,13.75,2.5,1.5,3.5,2.5,realhisp
Pablo Pérez,2000014927.0,2.75,13.25,15.25,12.42,2.25,2.0,2.75,3.0,realhisp
Adrian Molina,2000570287.0,2.5,14.25,16.0,10.0,4.25,1.5,2.0,2.75,realhisp
Kostyantyn Vivcharenko,71113673.0,3.0,13.5,14.5,13.92,3.0,4.5,1.75,1.5,realhisp
Talla Mendy,2000510695.0,2.5,13.0,15.0,12.83,3.0,2.5,3.0,2.0,realhisp
Angeliño,28095342.0,2.5,13.25,12.5,13.83,1.0,1.0,2.5,2.5,rmdrd
Fabrice Mbassi,2000191910.0,2.25,15.5,14.5,14.0,2.0,2.0,2.75,3.0,rmdrd
Brandon Williams,28115834.0,2.5,13.5,15.5,14.0,2.0,3.0,1.5,3.0,rsana
Pablo,2000572050.0,3.0,15.0,15.5,9.83,1.0,2.0,3.0,2.0,rsana
Rubén,2000510866.0,3.5,16.0,11.5,14.08,2.5,3.0,2.0,2.25,sevilla
Mads Pedersen,27088224.0,3.5,12.25,13.0,12.75,2.0,4.0,1.75,3.5,sevilla
José Gayà,67178177.0,2.5,13.25,14.0,14.67,3.0,3.0,1.5,2.5,valencia
Sheldon Peltier,2000187635.0,3.5,15.0,15.0,14.0,3.0,1.0,2.0,2.5,valencia
Jordi,2000513013.0,1.75,13.62,13.75,13.25,2.75,2.0,3.25,3.25,vallecano
Manu Sánchez,67284340.0,2.5,12.5,14.0,13.75,2.75,2.5,2.5,2.25,vallecano
Uğur Özbay,2000432893.0,2.5,13.75,12.0,12.17,2.0,2.0,2.5,2.0,vallecano
Andrejs Ciganiks,37075484.0,3.5,13.12,12.0,11.08,1.5,3.0,1.75,2.5,vigo
Aarón Martín,67196209.0,3.25,11.12,14.0,14.17,3.5,1.5,2.5,2.5,vigo
Alfonso Pedraza,67212046.0,3.0,12.75,12.5,13.92,2.5,4.0,2.0,2.0,villareal
Alejandro Balde,67296654.0,2.5,13.75,14.0,12.75,2.5,3.0,2.0,2.75,zaragoza
Eric Kahl,93142833.0,2.25,13.88,14.5,12.92,3.75,2.0,2.0,2.25,zaragoza
