Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Arnau Comas,67258409.0,15.0,12.17,14.0,12.75,11.0,10.0,10.17,11.75,12.75,8.5,12.25,13.75,11.0,12.83,13.75,11.67,5.5,11.75,14.5,8.5,14.0,alaves
Samir Kacem,2000433838.0,13.0,12.67,11.0,10.5,13.0,11.67,11.0,13.25,10.5,9.5,11.0,14.88,11.4,11.33,14.12,14.17,6.0,13.0,14.75,7.83,15.0,alaves
Arnar Bragason,2000357424.0,12.0,10.67,10.0,12.0,10.75,12.0,9.5,10.5,12.0,9.25,13.25,14.0,10.4,12.67,13.5,12.33,9.0,10.5,14.5,9.67,17.0,alaves
Luca Sangalli,67190076.0,4.5,12.5,3.5,12.0,13.25,11.5,12.33,13.5,12.0,11.75,11.25,15.75,12.4,11.83,10.75,12.33,12.0,13.25,12.5,13.33,11.0,alaves
Ibrahim Sangaré,48042717.0,17.5,11.5,11.0,13.0,12.5,12.83,12.0,12.0,13.0,11.25,13.0,12.0,12.1,13.17,12.5,12.17,11.5,13.0,15.25,10.5,14.0,alaves
Juan Ángel Muñoz,2000512204.0,16.0,13.67,11.0,12.75,8.75,11.33,7.83,14.5,12.75,7.25,10.75,12.0,12.2,12.5,12.25,14.33,6.0,8.25,12.0,6.0,13.0,albacete
Junior Esparragoza,2000179937.0,13.0,11.67,9.0,11.75,7.0,11.83,7.33,12.0,11.75,6.5,12.0,12.75,11.3,12.5,13.0,12.67,9.0,8.5,13.5,5.33,13.0,albacete
Álex Olmedo,2000034591.0,4.0,12.0,9.0,9.0,15.5,11.67,12.0,13.0,9.0,12.0,9.5,9.25,12.2,7.67,13.0,12.0,10.0,14.5,10.5,10.67,9.0,albacete
Antonio Sánchez,67272744.0,7.0,12.17,10.0,12.75,9.25,12.33,8.5,11.75,12.75,9.0,12.75,12.38,12.2,11.83,11.75,12.0,12.5,9.5,11.75,8.33,12.0,albacete
Fali,67155014.0,13.0,13.5,14.0,11.75,12.0,10.0,10.17,13.25,11.75,8.5,12.25,16.0,11.6,12.5,7.75,13.0,9.5,10.5,9.25,8.0,13.0,albacete
Simone Panada,43425634.0,11.0,15.0,10.0,13.5,13.5,15.0,12.67,13.5,13.5,13.0,13.0,12.25,14.8,13.0,14.75,14.33,12.0,14.0,14.5,10.67,12.0,amadrd
