Player,UID,AMC,AP,T,SS,AM,EG
Loris Pane,2000512504.0,10.6,11.4,10.6,11.3,11.4,11.9
Gabriele Casagrande,2000514039.0,10.65,11.65,10.65,10.55,10.5,11.75
Nicola Mauri,2000512034.0,9.7,9.2,9.7,9.05,9.2,9.15
Lorenzo Ruiz Díaz,2000508202.0,11.25,12.4,11.25,11.65,11.65,12.7
Alessio Termini,2000508199.0,12.7,13.1,12.7,12.5,12.85,13.35
Rubén Mele,2000508198.0,11.45,12.35,11.45,11.5,11.45,12.9
Riccardo Rosso,2000508196.0,11.9,13.1,11.9,11.55,11.4,12.5
Ruggero Arpini,2000437690.0,11.2,12.0,11.2,12.3,12.1,12.1
Ivano Tavella,2000435429.0,12.65,13.15,12.65,12.85,13.25,13.45
Prince Ntumba,2000198757.0,12.8,13.5,12.8,12.85,13.3,13.4
Jose Carlos Flores,2000193714.0,10.55,10.85,10.55,11.0,10.95,11.45
Edward Asamoah,2000193328.0,10.5,9.8,10.5,10.05,10.25,9.15
Marco Garofalo,2000190074.0,10.05,9.3,10.05,9.05,9.75,8.9
Giacomo Faticanti,2000024755.0,13.2,13.25,13.2,12.9,13.25,13.25
Randy Schneider,84153605.0,14.1,14.4,14.1,13.9,14.55,14.4
Eric Dier,55032265.0,12.7,11.7,12.7,11.5,11.9,10.4
Emmanuel Gyabuaa,43372274.0,13.35,13.2,13.35,12.7,12.7,12.95
Felice D'Amico,43297400.0,11.9,12.5,11.9,11.85,12.4,12.9
Nadir Zortea,43252462.0,11.95,11.65,11.95,11.55,12.15,11.65
Paolo Ghiglione,43140923.0,12.75,12.65,12.75,12.45,12.8,12.5
Marco Asensio,67197125.0,12.7,13.5,12.7,13.5,13.4,13.5
Fabio Assalino,2000568432.0,11.9,12.5,11.9,12.15,12.2,12.7
Liao Jing,2000434024.0,8.6,7.65,8.6,7.2,7.8,6.45
Lorenzo Gaggero,2000324502.0,12.4,13.0,12.4,13.7,13.3,13.2
Jan Bednarek,96047750.0,12.3,11.5,12.3,11.3,11.45,10.6
Oussama Idrissi,37052727.0,13.25,13.75,13.25,13.4,13.55,13.75
Dion Drena Beljo,24061498.0,12.6,13.1,12.6,13.0,13.0,13.5
Claudio Rotunno,2000436308.0,13.55,12.75,13.55,12.05,12.5,12.25
Samuele Innocenti,2000323875.0,12.8,13.2,12.8,12.1,12.5,12.95
Christian Fogelblad,2000397952.0,13.0,13.4,13.0,13.4,13.75,13.75
Giovanni Vezzani,2000570776.0,12.4,13.3,12.4,12.35,12.55,13.1
Michele Mascia,2000568039.0,10.05,10.15,10.05,10.15,10.4,10.75
Ola Brynhildsen,53125145.0,12.2,12.4,12.2,12.8,12.65,13.05
Francis Uzoho,67248183.0,9.15,8.35,9.15,7.9,8.4,7.45
Philip Ericson,2000606082.0,9.5,8.2,9.5,7.5,8.0,7.25
Filip Stanković,43425978.0,11.35,10.15,11.35,9.1,10.0,9.2
Fábio Afonso,2000436530.0,13.85,14.15,13.85,15.55,15.3,14.4
Gianluca Gaetano,43317758.0,12.8,13.6,12.8,13.5,13.75,14.0
Giovanni Olivieri,2000568427.0,11.25,10.8,11.25,10.6,10.6,10.5
Steph Dheer,2000513407.0,13.6,13.2,13.6,12.55,13.05,12.25
Rui Silva,55067163.0,9.3,8.35,9.3,8.2,8.55,7.5
Shurandy Sambo,37060947.0,12.85,12.55,12.85,12.2,12.5,12.65
Robert Gal,2000629194.0,13.1,12.7,13.1,11.9,12.2,11.9
Simón Carbonell,2000510246.0,13.4,13.1,13.4,12.3,13.1,12.4
Mattia Viviani,43298484.0,13.55,13.5,13.55,12.45,13.5,13.45
Giorgos Kyriakopoulos,36090959.0,12.55,12.35,12.55,12.0,12.5,12.55
