Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Loris Pane,2000512504.0,4.17,12.75,13.0,11.0,8.33,14.0,7.5,9.33
Gabriele Casagrande,2000514039.0,4.0,11.12,13.5,11.83,6.5,10.0,8.25,8.83
Nicola Mauri,2000512034.0,12.17,14.0,13.5,8.0,7.17,7.83,9.0,12.33
Lorenzo Ruiz Díaz,2000508202.0,3.67,13.38,11.75,12.33,11.33,13.17,10.5,9.92
Alessio Termini,2000508199.0,4.17,13.0,8.5,12.33,12.17,13.33,13.0,10.92
Rubén Mele,2000508198.0,5.33,12.62,10.5,13.67,12.17,13.0,11.5,9.17
Riccardo Rosso,2000508196.0,4.17,11.12,15.5,12.5,9.0,13.5,9.0,9.58
Ruggero Arpini,2000437690.0,5.17,11.0,9.75,12.33,13.67,13.5,6.75,12.0
Ivano Tavella,2000435429.0,8.17,12.62,12.5,13.33,12.33,15.0,8.0,10.0
Prince Ntumba,2000198757.0,6.33,12.88,12.0,13.0,12.67,12.67,10.0,11.42
Jose Carlos Flores,2000193714.0,2.83,12.62,15.5,9.33,10.33,13.0,9.0,8.75
Edward Asamoah,2000193328.0,10.67,13.5,10.0,7.0,6.5,7.0,8.75,10.67
Marco Garofalo,2000190074.0,12.67,12.88,11.25,7.5,7.5,6.67,14.0,11.08
Giacomo Faticanti,2000024755.0,10.0,13.5,11.0,13.0,10.5,13.5,10.25,12.33
Randy Schneider,84153605.0,8.83,12.62,14.0,15.17,12.33,15.0,7.5,12.67
Eric Dier,55032265.0,15.0,8.25,8.5,10.0,10.0,11.33,14.0,15.33
Emmanuel Gyabuaa,43372274.0,11.83,14.0,13.5,11.33,12.0,12.17,8.5,12.5
Felice D'Amico,43297400.0,4.83,12.38,13.5,14.0,10.33,12.67,7.0,11.92
Nadir Zortea,43252462.0,11.67,13.0,13.5,11.67,11.0,11.67,9.5,12.17
Paolo Ghiglione,43140923.0,11.67,12.75,12.25,12.83,11.17,12.0,13.0,12.75
Marco Asensio,67197125.0,6.83,10.25,11.5,15.33,13.33,15.33,8.5,11.5
Fabio Assalino,2000568432.0,5.67,12.88,16.0,11.0,10.33,13.33,9.5,10.92
Liao Jing,2000434024.0,4.83,8.75,11.0,7.17,3.33,5.33,5.75,12.25
Lorenzo Gaggero,2000324502.0,6.0,11.75,12.5,13.0,15.0,13.5,12.0,10.75
Jan Bednarek,96047750.0,14.0,12.5,10.5,9.83,7.5,9.83,13.0,14.92
Oussama Idrissi,37052727.0,4.5,10.62,12.0,14.67,13.5,15.0,8.0,12.5
Dion Drena Beljo,24061498.0,4.33,14.5,13.5,14.0,15.0,13.83,15.5,12.42
Claudio Rotunno,2000436308.0,11.0,15.12,13.5,10.5,8.83,10.67,14.5,14.75
Samuele Innocenti,2000323875.0,9.83,13.38,13.0,14.0,11.67,12.17,11.5,10.17
Christian Fogelblad,2000397952.0,6.5,14.5,15.0,13.67,12.83,12.67,13.5,11.58
Giovanni Vezzani,2000570776.0,6.67,11.88,11.0,12.83,12.83,13.33,9.5,12.17
Michele Mascia,2000568039.0,4.5,13.88,15.25,8.33,8.17,12.33,6.75,11.67
Ola Brynhildsen,53125145.0,6.5,13.5,14.5,11.83,12.5,13.83,6.0,12.42
Francis Uzoho,67248183.0,5.33,12.75,12.0,7.67,6.17,6.17,10.5,12.67
Philip Ericson,2000606082.0,6.83,11.88,7.25,6.83,3.83,5.0,9.75,12.67
Filip Stanković,43425978.0,6.83,12.75,12.0,8.5,5.5,8.17,9.75,13.0
Fábio Afonso,2000436530.0,7.83,14.5,16.0,12.5,15.5,15.0,12.5,12.75
Gianluca Gaetano,43317758.0,5.5,13.12,14.0,14.5,11.33,14.67,9.0,10.83
Giovanni Olivieri,2000568427.0,13.17,14.0,12.75,8.67,7.67,8.33,6.75,12.75
Steph Dheer,2000513407.0,12.33,13.25,10.0,11.0,9.83,12.0,13.25,13.92
Rui Silva,55067163.0,5.33,6.62,4.0,6.33,5.67,7.33,8.0,12.25
Shurandy Sambo,37060947.0,13.67,14.5,13.0,12.17,10.5,12.0,9.5,13.42
Robert Gal,2000629194.0,11.67,14.25,13.5,9.67,9.67,11.33,14.0,14.17
Simón Carbonell,2000510246.0,14.33,16.0,9.5,11.33,7.33,11.33,12.5,15.67
Mattia Viviani,43298484.0,11.33,13.12,14.0,14.67,10.83,13.0,11.5,13.83
Giorgos Kyriakopoulos,36090959.0,12.67,13.0,13.5,12.17,9.67,12.0,10.0,13.08
