Player,UID,Position
Loris Pane,2000512504,"M/AM (R), ST (C)"
Gabriele Casagrande,2000514039,"M (R), AM (RC)"
Nicola Mauri,2000512034,"D (RC), WB (R)"
Lorenzo Ruiz Díaz,2000508202,"AM (RL), ST (C)"
Alessio Termini,2000508199,"AM (L), ST (C)"
Rubén Mele,2000508198,"M/AM (C), ST (C)"
Riccardo Rosso,2000508196,"M (L), AM (RL), ST (C)"
Ruggero Arpini,2000437690,"AM (L), ST (C)"
Ivano Tavella,2000435429,"AM (LC), ST (C)"
Prince Ntumba,2000198757,"M/AM (C), ST (C)"
Jose Carlos Flores,2000193714,"AM (RC), ST (C)"
Edward Asamoah,2000193328,"D (RC), DM, M (C)"
Marco Garofalo,2000190074,"D (RC), DM"
Giacomo Faticanti,2000024755,"DM, M/AM (C)"
Randy Schneider,84153605,"DM, M/AM (C)"
Eric Dier,55032265,"D (C), DM, M (C)"
Emmanuel Gyabuaa,43372274,"DM, M (C)"
Felice D'Amico,43297400,"M (L), AM (RLC), ST (C)"
Nadir Zortea,43252462,D/WB/M/AM (R)
Paolo Ghiglione,43140923,D/WB/M/AM (R)
Marco Asensio,67197125,M/AM (RLC)
Fabio Assalino,2000568432,AM (L)
Liao Jing,2000434024,GK
Lorenzo Gaggero,2000324502,ST (C)
Jan Bednarek,96047750,"D (RC), DM"
Oussama Idrissi,37052727,M/AM (RLC)
Dion Drena Beljo,24061498,ST (C)
Claudio Rotunno,2000436308,"D (C), DM"
Samuele Innocenti,2000323875,M/AM (C)
Christian Fogelblad,2000397952,"M (RC), AM (R)"
Giovanni Vezzani,2000570776,"AM (C), ST (C)"
Michele Mascia,2000568039,"M (LC), AM (L)"
Ola Brynhildsen,53125145,M/AM (RL)
Francis Uzoho,67248183,GK
Philip Ericson,2000606082,GK
Filip Stanković,43425978,GK
Fábio Afonso,2000436530,ST (C)
Gianluca Gaetano,43317758,"M/AM (RLC), ST (C)"
Giovanni Olivieri,2000568427,"DM, M (C)"
Steph Dheer,2000513407,"D (C), DM, M (C)"
Rui Silva,55067163,GK
Shurandy Sambo,37060947,"D (RC), WB/M (R)"
Robert Gal,2000629194,D (RC)
Simón Carbonell,2000510246,"D (C), DM, M (C)"
Mattia Viviani,43298484,"DM, M (C)"
Giorgos Kyriakopoulos,36090959,D/WB/M (L)
