Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Loris Pane,2000512504.0,11.4,11.4,11.4,11.4,11.8,11.8,11.3,11.3,11.08,11.08
Gabriele Casagrande,2000514039.0,10.5,10.5,10.5,10.5,12.2,12.2,10.55,10.55,11.54,11.54
Nicola Mauri,2000512034.0,9.2,9.2,9.2,9.2,10.55,10.55,9.05,9.05,10.29,10.29
Lorenzo Ruiz Díaz,2000508202.0,11.65,11.65,11.65,11.65,12.85,12.85,11.65,11.65,12.46,12.46
Alessio Termini,2000508199.0,12.85,12.85,12.85,12.85,12.1,12.1,12.5,12.5,12.25,12.25
Rubén Mele,2000508198.0,11.45,11.45,11.45,11.45,11.25,11.25,11.5,11.5,11.29,11.29
Riccardo Rosso,2000508196.0,11.4,11.4,11.4,11.4,12.75,12.75,11.55,11.55,12.12,12.12
Ruggero Arpini,2000437690.0,12.1,12.1,12.1,12.1,10.8,10.8,12.3,12.3,10.12,10.12
Ivano Tavella,2000435429.0,13.25,13.25,13.25,13.25,12.45,12.45,12.85,12.85,11.71,11.71
Prince Ntumba,2000198757.0,13.3,13.3,13.3,13.3,12.85,12.85,12.85,12.85,12.38,12.38
Jose Carlos Flores,2000193714.0,10.95,10.95,10.95,10.95,12.1,12.1,11.0,11.0,11.58,11.58
Edward Asamoah,2000193328.0,10.25,10.25,10.25,10.25,10.0,10.0,10.05,10.05,9.79,9.79
Marco Garofalo,2000190074.0,9.75,9.75,9.75,9.75,9.0,9.0,9.05,9.05,9.83,9.83
Giacomo Faticanti,2000024755.0,13.25,13.25,13.25,13.25,12.05,12.05,12.9,12.9,11.75,11.75
Randy Schneider,84153605.0,14.55,14.55,14.55,14.55,13.4,13.4,13.9,13.9,12.42,12.42
Eric Dier,55032265.0,11.9,11.9,11.9,11.9,9.75,9.75,11.5,11.5,10.46,10.46
Emmanuel Gyabuaa,43372274.0,12.7,12.7,12.7,12.7,13.05,13.05,12.7,12.7,12.29,12.29
Felice D'Amico,43297400.0,12.4,12.4,12.4,12.4,12.55,12.55,11.85,11.85,11.62,11.62
Nadir Zortea,43252462.0,12.15,12.15,12.15,12.15,12.15,12.15,11.55,11.55,11.71,11.71
Paolo Ghiglione,43140923.0,12.8,12.8,12.8,12.8,12.25,12.25,12.45,12.45,12.38,12.38
Marco Asensio,67197125.0,13.4,13.4,13.4,13.4,12.2,12.2,13.5,13.5,11.58,11.58
Fabio Assalino,2000568432.0,12.2,12.2,12.2,12.2,13.75,13.75,12.15,12.15,13.04,13.04
Liao Jing,2000434024.0,7.8,7.8,7.8,7.8,6.55,6.55,7.2,7.2,6.42,6.42
Lorenzo Gaggero,2000324502.0,13.3,13.3,13.3,13.3,11.95,11.95,13.7,13.7,11.96,11.96
Jan Bednarek,96047750.0,11.45,11.45,11.45,11.45,10.2,10.2,11.3,11.3,10.67,10.67
Oussama Idrissi,37052727.0,13.55,13.55,13.55,13.55,12.75,12.75,13.4,13.4,11.96,11.96
Dion Drena Beljo,24061498.0,13.0,13.0,13.0,13.0,12.65,12.65,13.0,13.0,13.12,13.12
Claudio Rotunno,2000436308.0,12.5,12.5,12.5,12.5,12.3,12.3,12.05,12.05,12.67,12.67
Samuele Innocenti,2000323875.0,12.5,12.5,12.5,12.5,12.15,12.15,12.1,12.1,12.04,12.04
Christian Fogelblad,2000397952.0,13.75,13.75,13.75,13.75,13.9,13.9,13.4,13.4,13.83,13.83
Giovanni Vezzani,2000570776.0,12.55,12.55,12.55,12.55,12.4,12.4,12.35,12.35,11.92,11.92
Michele Mascia,2000568039.0,10.4,10.4,10.4,10.4,12.55,12.55,10.15,10.15,11.58,11.58
Ola Brynhildsen,53125145.0,12.65,12.65,12.65,12.65,13.6,13.6,12.8,12.8,12.33,12.33
Francis Uzoho,67248183.0,8.4,8.4,8.4,8.4,7.55,7.55,7.9,7.9,8.04,8.04
Philip Ericson,2000606082.0,8.0,8.0,8.0,8.0,7.15,7.15,7.5,7.5,7.58,7.58
Filip Stanković,43425978.0,10.0,10.0,10.0,10.0,8.3,8.3,9.1,9.1,8.54,8.54
Fábio Afonso,2000436530.0,15.3,15.3,15.3,15.3,14.2,14.2,15.55,15.55,13.92,13.92
Gianluca Gaetano,43317758.0,13.75,13.75,13.75,13.75,13.3,13.3,13.5,13.5,12.58,12.58
Giovanni Olivieri,2000568427.0,10.6,10.6,10.6,10.6,11.3,11.3,10.6,10.6,10.54,10.54
Steph Dheer,2000513407.0,13.05,13.05,13.05,13.05,11.4,11.4,12.55,12.55,11.71,11.71
Rui Silva,55067163.0,8.55,8.55,8.55,8.55,5.95,5.95,8.2,8.2,6.29,6.29
Shurandy Sambo,37060947.0,12.5,12.5,12.5,12.5,12.75,12.75,12.2,12.2,12.21,12.21
Robert Gal,2000629194.0,12.2,12.2,12.2,12.2,12.8,12.8,11.9,11.9,13.0,13.0
Simón Carbonell,2000510246.0,13.1,13.1,13.1,13.1,11.5,11.5,12.3,12.3,11.67,11.67
Mattia Viviani,43298484.0,13.5,13.5,13.5,13.5,12.8,12.8,12.45,12.45,12.58,12.58
Giorgos Kyriakopoulos,36090959.0,12.5,12.5,12.5,12.5,12.5,12.5,12.0,12.0,12.08,12.08
