Player,UID,AF,CF,DLF,F9,P,PF,TM
Loris Pane,2000512504.0,11.5,10.3,10.5,11.0,11.5,10.5,9.3
Gabriele Casagrande,2000514039.0,9.65,9.15,9.4,9.85,9.65,11.0,9.15
Nicola Mauri,2000512034.0,10.9,8.45,10.4,9.65,10.9,11.1,10.1
Lorenzo Ruiz Díaz,2000508202.0,12.25,11.35,12.2,12.2,12.25,11.55,12.05
Alessio Termini,2000508199.0,11.55,12.3,13.0,12.4,11.55,11.0,12.1
Rubén Mele,2000508198.0,11.5,11.75,12.7,12.0,11.5,10.95,12.2
Riccardo Rosso,2000508196.0,10.75,10.9,10.6,10.65,10.75,11.5,10.1
Ruggero Arpini,2000437690.0,12.0,11.9,13.05,12.65,12.0,10.7,11.9
Ivano Tavella,2000435429.0,12.75,12.5,12.95,12.9,12.75,11.8,11.35
Prince Ntumba,2000198757.0,12.75,11.8,13.4,13.15,12.75,11.9,12.05
Jose Carlos Flores,2000193714.0,12.45,10.35,10.4,10.35,12.45,11.7,9.9
Edward Asamoah,2000193328.0,10.15,8.65,10.0,9.2,10.15,10.9,9.8
Marco Garofalo,2000190074.0,9.95,9.5,10.5,8.95,9.95,10.4,10.65
Giacomo Faticanti,2000024755.0,12.15,12.15,12.6,12.5,12.15,12.15,11.95
Randy Schneider,84153605.0,13.35,13.15,14.2,14.2,13.35,12.6,11.85
Eric Dier,55032265.0,9.3,12.2,12.4,12.05,9.3,11.1,12.3
Emmanuel Gyabuaa,43372274.0,12.6,12.0,12.8,12.25,12.6,13.15,12.1
Felice D'Amico,43297400.0,12.45,10.6,12.0,12.25,12.45,11.0,9.75
Nadir Zortea,43252462.0,12.6,11.7,12.25,12.3,12.6,12.35,11.5
Paolo Ghiglione,43140923.0,12.2,12.15,12.45,12.55,12.2,11.65,12.05
Marco Asensio,67197125.0,12.3,12.6,13.0,13.6,12.3,11.2,11.5
Fabio Assalino,2000568432.0,12.75,10.6,11.4,11.85,12.75,12.6,10.85
Liao Jing,2000434024.0,7.3,6.35,7.4,6.7,7.3,7.8,6.25
Lorenzo Gaggero,2000324502.0,13.3,13.35,13.4,12.45,13.3,12.45,13.2
Jan Bednarek,96047750.0,10.15,11.05,11.3,10.1,10.15,11.45,11.0
Oussama Idrissi,37052727.0,12.5,12.65,13.05,13.5,12.5,12.15,11.7
Dion Drena Beljo,24061498.0,14.2,13.45,13.9,12.65,14.2,13.25,14.3
Claudio Rotunno,2000436308.0,12.35,11.95,12.5,11.55,12.35,12.5,12.5
Samuele Innocenti,2000323875.0,12.05,12.55,12.95,12.25,12.05,12.2,12.25
Christian Fogelblad,2000397952.0,14.05,12.9,13.7,13.8,14.05,12.7,13.1
Giovanni Vezzani,2000570776.0,12.5,11.9,11.8,11.4,12.5,11.8,11.35
Michele Mascia,2000568039.0,12.65,8.8,10.45,10.45,12.65,11.25,10.4
Ola Brynhildsen,53125145.0,14.05,11.3,12.1,12.4,14.05,12.3,10.95
Francis Uzoho,67248183.0,9.55,8.0,10.35,8.3,9.55,9.65,9.8
Philip Ericson,2000606082.0,7.6,7.05,8.55,7.2,7.6,8.45,8.65
Filip Stanković,43425978.0,9.2,9.75,10.85,8.75,9.2,9.95,9.5
Fábio Afonso,2000436530.0,15.95,14.15,14.05,13.85,15.95,15.0,13.25
Gianluca Gaetano,43317758.0,13.25,12.35,12.7,13.4,13.25,12.1,11.75
Giovanni Olivieri,2000568427.0,10.75,9.9,10.9,10.25,10.75,11.9,10.45
Steph Dheer,2000513407.0,11.15,12.75,13.0,12.1,11.15,11.7,13.1
Rui Silva,55067163.0,6.1,7.75,9.2,8.3,6.1,6.7,7.8
Shurandy Sambo,37060947.0,12.65,11.4,12.35,12.1,12.65,12.5,11.4
Robert Gal,2000629194.0,12.2,12.0,12.0,11.2,12.2,13.4,12.6
Simón Carbonell,2000510246.0,11.4,11.8,13.2,11.9,11.4,12.6,12.6
Mattia Viviani,43298484.0,12.9,12.7,13.95,13.4,12.9,12.5,12.4
Giorgos Kyriakopoulos,36090959.0,12.0,11.7,12.4,12.35,12.0,12.45,11.5
